original,translate
#Combat Manuevers,#Combat Manoeuvres
Wild Swing,Wild Swing
Executes an Attack with +4 bonus to Damage,Executes an Attack with +4 bonus to Damage
Critical Strike,Critical Strike
Executes an Attack that automatically scores a Critical Hit if successful,Executes an Attack that automatically scores a Critical Hit if successful
Defend Ally,Defend Ally
Mark Target,Mark Target
The Target gets the Marked Condition which confers a -2 penalty to Dodge for the rest of the encounter,"The Marked Condition is applied to the Target, which confers a -2 penalty to Dodge for the rest of the encounter"
Radiate Fear,Radiate Fear
Blizzard Aura,Blizzard Aura
Aura of Fire,Aura of Fire
Fire Lance,Fire Lance
Howl of Terror,Howl of Terror
Lightning Lash,Lightning Lash
Spit Acid,Spit Acid
Spit Poison,Spit Poison
Spray Acid,Spray Acid
Attack!,Attack!
Forwards!,Forwards!
Regroup!,Regroup!
Stand Your Ground!,Stand Your Ground!
Precise Strike,Precise Strike
Rapid Shot,Rapid Shot
The character makes a ranged attack,The character makes a ranged attack
"If that attack is successful, they may make another, free attack","If that attack is successful, they may make another, free attack"
Pierce Armor,Pierce Armour
Vein Strike,Vein Strike
Savage Strike,Savage Strike
Shake the Earth,Shake the Earth
Shield Rush,Shield Rush
Perform an attack that pushes your opponent back one square if successfull,"If successful, performs an attack that pushes the target back by one square"
Deals normal damage,Deals normal damage
Spellburn,Spellburn
Storm of Steel,Storm of Steel
Stunning Blow,Stunning Blow
Thrust And Parry,Thrust and Parry
Dash,Dash
Hide in Combat,Hide in Combat
You gain the ability to hide whilst in Combat,You gain the ability to enter stealth during Combat
Attacking whilst hidden triggers the Backstab attack,Attacking whilst hidden triggers the Backstab attack
Infect,Infect
Ice Breath,Ice Breath
Imperial Litany,Imperial Litany
Hamstring,Hamstring
Second Wind,Second Wind
#Passive Abilitiy,#Passive Ability
Backstabber,Backstabber
Allows the character to perform Backstab Attacks against voulnerable targets,Allows the character to perform Backstab Attacks against vulnerable targets
Evasive,Evasive
Disengaging from Melee does not cause your turn to end,Disengaging from Melee does not cause your turn to end
Fancy Footwork,Fancy Footwork
