original,translate
#General,#General
Picked up,Picked up
Something just struck the ship!,Something just struck the ship!
Locked!,Locked!
Equipped {ITEM},Equipped {ITEM}
Unequipped {ITEM},Unequipped {ITEM}
I spotted something!,I spotted something!
You add,You add
to your party,to your party
is now leading the party!,is now leading the party!
Game Saved,Game Saved
I don't see any enemies!,I don't see any enemies!
Picked up some items,Picked up some items
Cannot use a ranged weapon in melee,Cannot use a ranged weapon in melee
It's too dark to make out anything!,It's too dark to make out anything!
Used {ITEM},Used {ITEM}
Crafted,Crafted
Can't be far now?,Can't be far now?
Added Ability,Added Ability
