original,translate
#Archetype Classes,#Archetype Classes
Cleric,Cleric
The Cleric offers close-range support to their party through close ranged buffs and restorative spells,The Cleric offers close-range support to their party through buffs and restorative spells
Magos,Magos
"The Magos is a ranged strikers that can cast powerful, and often destructive, spells",The Magos is a user of magic that casts powerful and often destructive spells from a distance
Rogue,Rogue
The Rogue combines important non-combat skills with a large damage output against single targets,The Rogue combines important non-combat skills with a large damage output against single targets
Wanderer,Wanderer
Warrior,Warrior
A Warrior is a front-line fighter who can take and deal large amounts of damage,A Warrior is a front-line fighter who can take and deal large amounts of damage
#Classes,#Classes
Armsmaster,Armsmaster
The Armsmaster is a Warrior that does not have a specialized Feat Tree,The Armsmaster is a Warrior that does not have a specialised Feat Tree
Instead the Armsmaster has access to all the combat-centered Feat Trees and they start with extra Development Points to represent their martial expertise,"Instead, the Armsmaster has access to all the combat-centred Feat Trees, and they start with extra Development Points to represent their martial expertise"
Bard,Bard
The Bard mixes the Rogue’s decent combat skills and high maneuverability with the use of arcane magic,The Bard mixes the combat skills and manoeuvrability of a Rogue with the use of arcane magicks
Battlemagos,Battlemagos
The Battlemagos is a Magos specializing in the destructive spells of the Fire Magic School,The Battlemagos is a Magos specialising in the destructive spells of the Fire Magic School
"Unlike other Magi, they also get access to a few basic combat-related Feats and may wear light armor","Unlike other Magi, they also get access to a few basic combat-related Feats and may wear light armour"
Berserker,Berserker
Champion,Champion
The Champion is a Cleric who excels in the use of blades and armor whilst still having limited divine spell-casting abilities,The Champion is a Cleric who excels in the use of blades and armour whilst still having limited divine spell-casting abilities
Duelist,Duellist
Guild-Magos,Guild-Magos
A Guild-Magos is a spellcaster who can develop all the different Arcane Spell Schools fully,A Guild-Magos is a spellcaster who can fully develop in all the Arcane Spell Schools
This comes at the cost of having absolutely no combat related Feats,This comes at the cost of having absolutely no combat related Feats whatsoever
Hierophant,Hierophant
A Hierophant is a Cleric who can develop all the different Divine Spell Schools fully,A Hierophant is a Cleric who can develop all the different Divine Spell Schools fully
Hospitaller,Hospitaller
The Hospitaller is a Cleric who serves as a front line healer,The Hospitaller is a Cleric who serves as a front line healer
"Well armed and armored, they can stand their ground against overwhelming foes whilst also getting access to the highest tiers of the Body Magic School","Well-armed, well-armoured, and also gaining access to the highest tier of the Body Magic School, they can stand their ground against overwhelming foes"
Inquisitor,Inquisitor
Officer,Officer
The Officer is a skilled warrior who serves as a force multiplier through their tactical skills,The Officer is a skilled warrior who serves as a force multiplier through their tactical skills
"Issuing orders across the battlefield, they vastly improve the performance of their fellow party-members","Issuing orders across the battlefield, they vastly improve the performance of their fellow party members"
Ranger,Ranger
The Ranger is a Warrior specializing in ranged combat and with access to limited nature magic,The Ranger is a Warrior specialising in ranged combat and with access to limited nature magic
Skald,Skald
Sorcerer,Sorcerer
Thief,Thief
The Thief is a Rogue who uses Stealth to set up devestating Backstab attacks,The Thief is a Rogue who uses Stealth to set up devastating Backstab attacks
#NPC Classes,#NPC Classes
Archer,Archer
Beast,Beast
Agile Beast,Agile Beast
Savage Beast,Savage Beast
Common Beast,Common Beast
Lesser Vermin,Lesser Vermin
Tough Beast,Tough Beast
Vermin,Vermin
Resolute Beast,Resolute Beast
Bravo,Bravo
Brute,Brute
"Magi are ranged strikers that can cast powerful, destructive ranged spells","Members of an order of Magicks, the Magi are users of magic that casts powerful and often destructive spells from a distance"
Commoner,Commoner
Laborer,Labourer
Noble,Noble
Tough Warrior,Tough Warrior
Fighter,Fighter
Wretch,Wretch
