original,translate
#Apperances,#Appearances
Carylla,Carylla
#Difficulties,#Difficulties
Narrative,Narrative
Narrative mode is the difficulty for players who would like to experience the game’s story and setting with a minimum of focus on combat and grinding,Narrative mode is best suited for players primarily seeking to experience the game's story with combat being a secondary way to add flavour to the narrative
Easy,Easy
Easy mode is a great way for players who are new to this style of roleplaying game to experience Skald,Easy mode is best suited to beginners and newcomers to this style of role-playing game who wish for a light introduction to its concepts through Skald
Combat is forgiving and there should be little need to optimize character builds,"Combat should be relatively forgiving, with little need to optimise character builds and load-outs"
Dice rolls are weighted in the player’s favor,Dice rolls are also weighted in the player’s favour
Normal,Normal
Normal mode is the game’s intended difficulty setting,"Normal mode is the default difficulty, and the intended way to experience Skald"
There is only very limited artificial smoothing of certain dice rolls,"Dice rolls only see minor alterations, to artificially smooth them and improve the experience"
Hard,Hard
Hard mode is intended to offer the player a challenge without feeling unfair,"Hard mode is best suited for experienced players seeking a reasonable, but not unfair, challenge"
Dice rolls are slightly weighted in the opponent's favor making them more deadly,"Dice rolls are slightly weighted in the opponent's favour, making foes more punishing; putting additional emphasis on player preparation and consistency"
#Encounters,#Encounters
Brigands,Brigands
You’ve been beset by brigands!,You’ve been beset by brigands!
Stand and deliver!,Stand and deliver!
Abandoned Cargo,Abandoned Cargo
There is some abandoned cargo strewn on the road ahead of you,There is some abandoned cargo strewn on the road ahead of you
Horrors from the deep,Horrors from the deep
You're being attacked by enormous fell-crabs!,You're being attacked by enormous fell-crabs!
Crawlers,Crawlers
Foul creatures swarm from holes in the ground!,Foul creatures swarm from holes in the ground!
Devolved,Devolved
"More beast than man, devolved troglodytes charge towards you!","More beast than man, devolved troglodytes charge towards you!"
Flotsam,Flotsam
You come across some flotsam,You come across some flotsam
Avoid,Avoid
You avoid the encounter,You avoid the encounter
Giant Insects,Giant Insects
Giant insects scurry towards you!,Giant insects scurry towards you!
Giant insects swarm you!,Giant insects swarm you!
White Hounds,White Hounds
Foul slavering beasts barrel towards you!,Foul slavering beasts barrel towards you!
Crabs,Crabs
You're being swarmed by monsterously over-grown crabs!,You're being swarmed by monstrously over-grown crabs!
Rot Crabs,Rot Crabs
Horribly changes crustaceans shamble towards you!,Horribly changed crustaceans shamble towards you!
Spider Crabs,Spider-Crabs
You're being charged by Spider-Crabs!,You're being charged by Spider-Crabs!
Fell Hounds,Fell Hounds
