original,translate
Select,Select
Abort,Abort
Pick a Difficulty,Pick a Difficulty
Character Creation,Character Creation
Class,Class
Background,Background
Attributes,Attributes
Appearance,Appearance
Welcome to character creation!,Welcome to character creation!
Start by picking a DIFFICULTY for your playthrough,Start by picking a DIFFICULTY for your playthrough
Are you sure you want to abort?,Are you sure you wish to abort?
Difficulty can be changed during play,The Difficulty can be adjusted during play
Bard,Bard
Battlemagos,Battlemagos
Champion,Champion
Hierophant,Hierophant
Hospitaller,Hospitaller
Officer,Officer
Ranger,Ranger
Thief,Thief
Select a Class,Select a Class
ARMSMASTER,ARMSMASTER
Archetype,Archetype
Warrior,Warrior
The Main Attribute for this Class is Strength,The Main Attribute for this Class is Strength
Start,Start
DP,DP
HP/Lvl,HP/Lvl
Magic/Lvl,Magic/Lvl
May use any armor,May use any armour
"May use all weapons of type Blade, Axe, Club and Bow","May use all weapons of the types Blade, Axe, Club, and Bow"
"Next, select a CLASS for your character!","Next, select a CLASS for your character!"
Classes define a character's role in the party by adding certain exclusive abilities,Classes define a character's role in the party by adding certain exclusive abilities
DEVELOPMENT POINTS,DEVELOPMENT POINTS
Development Points are gained when leveling up and used to buy ranks in Feats,"Development Points are gained when leveling up, spent to acquire ranks in Feats"
This unlocks new Abilities for the Character making them more powerful,This unlocks new Abilities for the Character making them more powerful
MAIN ATTRIBUTE,MAIN ATTRIBUTE
The Main Attribute is the Attribute that is the most important for this Class,The Main Attribute is the Attribute that is the most important for this Class
STRENGTH,STRENGTH
Attribute - Primary,Attribute - Primary
A measure of a character's brawn and physical power,A measure of a character's brawn and physical power
ATTUNEMENT PER LEVEL,ATTUNEMENT PER LEVEL
"Indicates how much of the game’s Magic resource, Attunement, is gained every time the character levels up","Indicates how much of the game’s Magic resource, Attunement, is gained every time the character levels up"
VITALITY PER LEVEL,VITALITY PER LEVEL
"Indicates how much of the game’s Hitpoint resource, Vitality, is gained every time the character levels up","Indicates how much of the game’s Hitpoint resource, Vitality, is gained every time the character levels up"
BARD,BARD
Rogue,Rogue
The Bard mixes the Rogue’s decent combat skills and high maneuverability with the use of arcane magic,The Bard mixes the Rogue’s combat skills and high manoeuvrability with the use of arcane magics
The Main Attribute for this Class is Presence,The Main Attribute for this Class is Presence
May wear Light armor,May wear Light armour
"May use Light and Medium weapons of type Blade, Axe, Club and Bow","May use Light and Medium weapons of the types Blade, Axe, Club, and Bow"
ROGUE,ROGUE
The Rogue combines important non-combat skills with a large damage output against single targets,The Rogue combines important non-combat skills with a large damage output against single targets
BATTLEMAGOS,BATTLEMAGOS
"Unlike other Magi, they also get access to a few basic combat-related Feats and may wear light armor","Unlike other Magi, they also get access to a few basic combat-related Feats and may wear light armour"
The Main Attribute for this Class is Intellect,The Main Attribute for this Class is Intellect
"May use Light weapons of type Blade, Club and Bow","May use Light weapons of the types Blade, Club and Bow"
CHAMPION,CHAMPION
Cleric,Cleric
The Champion is a Cleric who excels in the use of blades and armor whilst still having limited divine spell-casting abilities,The Champion is a Cleric who excels in the use of blades and armour whilst still having limited divine spell-casting abilities
May use all weapons of type Blade and Club,May use all weapons of the types Blade and Club
GUILD-MAGOS,GUILD-MAGOS
This comes at the cost of having absolutely no combat related Feats,This comes at the cost of having absolutely no combat related Feats whatsoever
May not wear armor,May not wear armour
HIEROPHANT,HIEROPHANT
A Hierophant is a Cleric who can develop all the different Divine Spell Schools fully,A Hierophant is a Cleric who can develop all the different Divine Spell Schools fully
May use Light and Medium weapons of type Club,May use Light and Medium weapons of the type Club
HOSPITALLER,HOSPITALLER
The Hospitaller is a Cleric who serves as a front line healer,The Hospitaller is a Cleric who serves as a front line healer
"Well armed and armored, they can stand their ground against overwhelming foes whilst also getting access to the highest tiers of the Body Magic School","Well-armed and well-armoured, they can stand their ground against overwhelming foes whilst also getting access to the highest tiers of the Body Magic School"
OFFICER,OFFICER
The Officer is a skilled warrior who serves as a force multiplier through their tactical skills,The Officer is a skilled warrior who serves as a force multiplier through their tactical skills
"Issuing orders across the battlefield, they vastly improve the performance of their fellow party-members","Issuing orders across the battlefield, they vastly improve the performance of their fellow party-members"
RANGER,RANGER
The Ranger is a Warrior specializing in ranged combat and with access to limited nature magic,The Ranger is a Warrior specializing in ranged combat and with access to limited nature magic
THIEF,THIEF
The Thief is a Rogue who uses Stealth to set up devestating Backstab attacks,The Thief is a Rogue who uses Stealth to set up devastating Backstab attacks
The Main Attribute for this Class is Agility,The Main Attribute for this Class is Agility
STEALTH,STEALTH
Attribute - Skill,Attribute - Skill
Stealth is used during adventuring,Stealth is used during adventuring
In particular it determines if NPCs notice the party as it moves around,In particular it determines if NPCs notice the party as it moves around
AGILITY,AGILITY
"A measure of hand-eye coordination, nimbleness and dexterity","A measure of hand-eye coordination, nimbleness and dexterity"
BACKSTAB,BACKSTAB
A character that has activated the Ability to Backstab will automatically perform Backstabbing Attacks against opponents that are either Flanked or Vulnerable,A character that has activated the Ability to Backstab will automatically perform Backstabbing Attacks against opponents that are either Flanked or Vulnerable
A successful Backstab Attack adds the character’s Backstab Bonus Multiplied by the Weapon’s Crit Modifier to the damage roll,A successful Backstab Attack adds the character’s Backstab Bonus Multiplied by the Weapon’s Crit Modifier to the damage roll
FLANKING,FLANKING
A character can be Flanked if opponents occupy the tile above and below it or to the left and right of it,A character can be Flanked if opponents occupy the tiles either above and below it or to the left and right of it
Attacking a Flanked target allows the Attacker to add their Flanking Bonus to the Attack Roll,Attacking a Flanked target allows the Attacker to add their Flanking Bonus to the Attack Roll
Rogues may Backstab Flanked Characters,Rogues may Backstab Flanked Characters
BACKSTAB BONUS,BACKSTAB BONUS
"If a successful Backstab Attack is performed, this Attribute is multiplied by the Weapon’s Crit multiplier and added to the total Damage","If a successful Backstab Attack is performed, this Attribute is multiplied by the Weapon’s Crit multiplier and added to the total Damage"
VULNERABLE,VULNERABLE
A Vulnerable character cannot defend themselves,A Vulnerable character cannot defend themselves
This makes them much easier to hit and it also means they can be Backstabbed,This makes them much easier to hit and it also means they can be Backstabbed
WARRIOR,WARRIOR
A Warrior is a front-line fighter who can take and deal large amounts of damage,A Warrior is a front-line fighter who can take and deal large amounts of damage
PRESENCE,PRESENCE
A character's ability to read and react to the surrounding environment and people,A character's ability to read and react to the surrounding environment and people
ATTUNEMENT,ATTUNEMENT
Attribute - Magic,Attribute - Magic
CLERIC,CLERIC
The Cleric offers close-range support to their party through close ranged buffs and restorative spells,The Cleric offers close-range support to their party through buffs and restorative spells
BODY MAGIC SCHOOL,BODY MAGIC SCHOOL
The value of this attribute indicates the highest Spell Tier of Body magic spells you may cast,The value of this attribute indicates the highest Spell Tier of Body magic spells you may cast
SPELL TIER,SPELL TIER
"By studying different Schools of Spellcasting, a character gains Spell Tiers in that School","By studying different Schools of Spellcasting, a character gains Spell Tiers in that School"
Spell Tiers qualify a character to learn spells and different spells have different Tier requirements,Spell Tiers qualify a character to learn spells and different spells have different Tier requirements
MAGOS,MAGOS
"The Magos is a ranged strikers that can cast powerful, and often destructive, spells",The Magos is a user of magic that casts powerful and often destructive spells from a distance
INTELLECT,INTELLECT
"Mental acuity, recall and analytical skill","Mental acuity, recall, and analytical skill"
FIRE MAGIC SCHOOL,FIRE MAGIC SCHOOL
The value of this attribute indicates the highest Spell Tier of Fire magic spells you may cast,The value of this attribute indicates the highest Spell Tier of Fire magic spells you may cast
Acolyte,Acolyte
Courtier,Courtier
Entertainer,Entertainer
Ex-Legionary,Former Legionnaire
Guilder,Guilder
Laborer,Labourer
Monastic,Monastic
Noble,Noble
Nomad,Nomad
Snake-Cultist,Snake-Cultist
Street Rat,Street Rat
Thug,Thug
Vagabond,Vagabond
Wildling,Wildling
Select a Background,Select a Background
ACOLYTE,ACOLYTE
You claim a connection with the divine that goes far deeper than most,You claim a connection with the divine that goes far deeper than most
"Whether legitimate of not, you’re always ready to dispense holy wisdom; Be it Imperial gospel or the profane ramblings of the heretic","Whether legitimate of not, you’re always ready to dispense holy wisdom; Be it Imperial gospel or the profane ramblings of the heretic"
+5 Attunement,+5 Attunement
Select a BACKGROUND for your character,Select a BACKGROUND for your character
"BACKGROUNDS add points in skills, influence starting conditions and narrative content","BACKGROUNDS add points in skills, influence starting conditions and narrative content"
COURTIER,COURTIER
Your time spent kissing noble arses has made you a master of navigating the cut-throat politics of the Imperial lay-courts,Your sycophant brown-nosing of nobles has granted you both experience in the diplomatic world of the Imperial lay-courts and an acute ability to read the subtle body language of others
+1 Awareness,+1 Awareness
+1 Diplomacy,+1 Diplomacy
NOBLE,NOBLE
"An individual of old blood, you learned long ago that wealth and connections tend to open doors that are otherwise closed to the filthy masses","An descendant of a pure-blooded heritage, it's second nature to you that having sufficient wealth and knowing how to properly display it avoid many obstacles; the same guard who bows and opens the castle gates to you slams it shut to the filthy beggar"
+1 Lore,+1 Lore
DIPLOMACY,DIPLOMACY
