original,translate
#Lore,#Lore
Adler's Helm,Adler's Helm
Adler's Helm is a mining town and the main settlement on Gradla,Adler's Helm is a mining town and the main settlement on Gradla
House Berryn,House Berryn
The House of Berryn is one of the richest and most influential houses in the North,The House of Berryn is one of the richest and most influential houses in the North
The current head is the lord Cato Berryn,The current head is the lord Cato Berryn
Erdahn,Erdahn
The continent where the Gallian Empire rose,The continent where the Gallian Empire rose
The central portion of Erdahn is known as 'the Heartland',The central portion of Erdahn is known as 'the Heartland'
Eryll,Eryll
A mid-sized island to the north of Idra,A mid-sized island to the north of Idra
The only settlement on Eryll is the village of Firgol,The only settlement on Eryll is the village of Firgol
The Eternity Vale,The Eternity Vale
The sacred valley containing the mausoleums of dead Emperors,The sacred valley containing the mausoleums of dead Emperors
The site is a source of immense magical energy and as such it is fervently guarded and maintained by the Court of the Magi,The site is a source of immense magical energy and as such it is fervently guarded and maintained by the Court of the Magi
Excubitor,Excubitor
Excubitors are the personal guard of the Emperors and the only humans to see them without their masks,Excubitors are the personal guard of the Emperors and the only humans to see them without their masks
The name literally means “the ones out of bed” as it is said that they never sleep,"Literally meaning “the ones out of bed”, named thus as it is said that they never sleep"
Firgol,Firgol
Firgol is a small village on the island of Eryll,Firgol is a small village on the island of Eryll
Firgol is known for its orchards,Firgol is known for its orchards
Free-Lenders Guild,Free-Lenders Guild
A league of independent banks and financial institutions that have grown to prominence within the Empire in recent years,A league of independent banks and financial institutions that have grown to prominence within the Empire in recent years
Freythen,Freythen
A group of separatists who are plotting for the eventual overthrow of Imperial power in the Freymark,A group of separatists who are plotting for the eventual overthrow of Imperial power in the Freymark
Gallian the Great,Gallian the Great
Gallian,Gallian
Gallian the Great was the first Emperor and founder of the Empire more than three millennia ago,Gallian the Great was the first Emperor and founder of the Empire more than three millennia ago
Gallian’s origin and much of his life is shrouded in mystery and apocrypha but it is written he came from the south and brought the laws of men and magics to the savage warlords of the Heartlands,Gallian’s origin and much of his life is shrouded in mystery and apocrypha but it is written he came from the south and brought the laws of men and magics to the savage warlords of the Heartlands
It is also said that he was born of three women and at the end of his reign did not die but rather became one with the reticulum,It is also said that he was born of three women and at the end of his reign did not die but rather became one with the reticulum
See Gallian’s Ascension,See Gallian’s Ascension
The Gallian Empire,The Gallian Empire
Gallian Empire,Gallian Empire
A large but waning empire founded nearly 3000 years ago by the mythical first Emperor,A large but waning empire founded over 3000 years ago by the mythical first Emperor
Gallian’s Ascension,Gallian’s Ascension
"At the end of the reign of the first emperor, Gallian, he is said to have ascended and become one with the reticulum","Gallian, at the end of his reign as first emperor, is said to have ascended and become one with the reticulum"
"This was taken as a sign of not only his divinity, but the divinity and legitimacy of every Magos-Emperor since then","This was taken as a sign of not only his own divinity and legitimacy as ruler, but that too of every Magos-Emperor since"
Gallian’s Ascension (GA) is used today as the start of the modern Imperial Calendar,"Gallian's Ascension is used to this day to signify the beginning of the modern Imperial Calendar, its years being designated with the abbreviated ""GA"""
Gradla,Gradla
"The northernmost island of the Outer Isles, Gradla is cold and barren","The northernmost island of the Outer Isles, Gradla is cold, barren, and sparsely settled land"
"It’s sparsely settled and legend has it, it’s the site of the ruined monastery known as the Black Priory",Yet legends still sing songs that this frigid wasteland houses the site of a monastery known only as the Black Priory
The only main settlement on Gradla is Adler's Helm,The only main settlement on Gradla is Adler's Helm
Horryn,Horryn
A once prosperpus port and fishing village on the island of Idra,A once prosperous port and fishing village on the island of Idra
Hyalomancers,Hyalomancers
