original,translate
#Colors,#Colors
Black,Black
Blue,Blue
Light Blue,Light Blue
Brown,Brown
Light Brown,Light Brown
Cyan,Cyan
Gray,Grey
DarkGray,Dark Grey
Light Gray,Light Grey
Green,Green
Light Green,Light Green
Red,Red
Light Red,Pink
Violet,Violet
White,White
Yellow,Yellow
"The major, defining attributes for the character","The major, defining attributes for the character"
These influence most other attributes in the game,These influence most other attributes in the game
Cancel,Cancel
All progress will be lost,All progress will be lost
Disable,Disable
Loot,Loot
Inv,Inv
Container,Container
Drop / Pick Up,Drop / Pick Up
Get All,Get All
Transfer Stack,Transfer Stack
Transfer Item,Transfer Item
Unequip,Unequip
Place development points in them (gained as you level up) to gain benefits and new Abilities,"The development points gained by levelling up can be placed into them, granting new Abilities and conferring additional benefits"
Save and Exit,Save and Exit
Male Human,Male Human
Woman Human,Female Human
Xp To Go,Xp To Go
Active Conditions,Active Conditions
Move Character,Move Character
Can be removed by magic,Can be removed by magic
Adds Status Tag,Adds Status Tag
This list will only show entries with non-zero values,This list will only show entries with non-zero values
The amount of experience to go until the character levels up,The amount of experience remaining until the character levels up
The current level of this character,The current level of this character
Cast a spell,Cast a spell
There are no weapons nearby to attack,There are no weapons nearby to attack
You can't enter combat without enemies within combat range,You can't enter combat without enemies within combat range
You wait a short while,You wait a short while
Pass a turn,Pass a turn
View Inventory,View Inventory
View the Journal,View the Journal
Time,Time
X Pos,X Pos
Y Pos,Y Pos
Water blocks your path!,Water blocks your path!
A simple wooden door. (,A simple wooden door. (
A double wooden door. (,A double wooden door. (
It cannot be opened from this side. (,It cannot be opened from this side. (
"A massive, reinforced door. (","A massive, reinforced door. ("
HP,HP
Overcast Dawn,Overcast Dawn
Raining Dawn,Raining Dawn
Foggy Dawn,Foggy Dawn
Fog and Rain Dawn,Fog and Rain Dawn
Overcast Day,Overcast Day
Raining Day,Raining Day
Foggy Day,Foggy Day
Fog and Rain Day,Fog and Rain Day
Raining Day,Raining Day
Overcast Dusk,Overcast Dusk
Raining Dusk,Raining Dusk
Fog and Rain Dusk,Fog and Rain Dusk
Foggy Dusk,Foggy Dusk
Overcast Night,Overcast Night
Raining Night,Raining Night
Fog and Rain Night,Fog and Rain Night
Foggy Night,Foggy Night
#Crafting,#Crafting
{ITEM} ,{ITEM} 
Recipes,Recipes
Workstation,Workstation
Craft,Craft
Clear,Clear
You currently don't have any recepies to add to the crafting table,You currently don't have any recipes to add to the crafting table
Try experimenting with ingredients or look for recipes in the world,Try experimenting with ingredients or look for recipes in the world
An unknown recipe,An unknown recipe
"To craft items, you must add ingredients to the crafting grid","To craft items, you must add ingredients to the crafting grid"
Do this by double-clicking on ingredients from your inventory,Do this by double-clicking on ingredients from your inventory
Clicking a recipe to view ingredients required,Clicking a recipe to view ingredients required
Green recipes are available,Green recipes are available
No crafting ingredients added!,No crafting ingredients added!
This is not a valid recipe!,This is not a valid recipe!
2d6 +,2d6 +
crafting,crafting
Crafted 1 {ITEM},Crafted 1 {ITEM}
Crafted 2 {ITEM},Crafted 2 {ITEM}
#Skill Checks,#Skill Checks
STATIC TEST,STATIC TEST
DICE ROLL TEST,DICE ROLL TEST
Roll Dice,Roll Dice
+ 2d6,+ 2d7
must roll,must roll
or above on 2d6 to succeed on this,or above on 2d6 to succeed on this
AGILITY vs,AGILITY vs
FORTITUDE vs,FORTITUDE vs
INTELLECT vs,INTELLECT vs
PRESENCE vs,PRESENCE vs
STRENGTH vs,STRENGTH vs
ATHLETICS vs,ATHLETICS vs
AWARENESS vs,AWARENESS vs
CRAFTING vs,CRAFTING vs
DIPLOMACY vs,DIPLOMACY vs
HEALING vs,HEALING vs
LORE vs,LORE vs
STEALTH vs,STEALTH vs
SURVIVAL vs,SURVIVAL vs
THIEVERY vs,THIEVERY vs
{PLAYER} has a AGILITY score of,{PLAYER} has a AGILITY score of
{PLAYER} only has a AGILITY score of,{PLAYER} only has a AGILITY score of
{PLAYER} has a FORTITUDE score of,{PLAYER} has a FORTITUDE score of
{PLAYER} only has a FORTITUDE score of,{PLAYER} only has a FORTITUDE score of
{PLAYER} has a INTELLECT score of,{PLAYER} has a INTELLECT score of
{PLAYER} only has a INTELLECT score of,{PLAYER} only has a INTELLECT score of
{PLAYER} has a PRESENCE score of,{PLAYER} has a PRESENCE score of
{PLAYER} only has a PRESENCE score of,{PLAYER} only has a PRESENCE score of
{PLAYER} has a STRENGTH score of,{PLAYER} has a STRENGTH score of
{PLAYER} only has a STRENGTH score of,{PLAYER} only has a STRENGTH score of
{PLAYER} has a ATHLETICS score of,{PLAYER} has a ATHLETICS score of
{PLAYER} only has a ATHLETICS score of,{PLAYER} only has a ATHLETICS score of
{PLAYER} has a AWARENESS score of,{PLAYER} has a AWARENESS score of
{PLAYER} only has a AWARENESS score of,{PLAYER} only has a AWARENESS score of
{PLAYER} has a CRAFTING score of,{PLAYER} has a CRAFTING score of
{PLAYER} only has a CRAFTING score of,{PLAYER} only has a CRAFTING score of
{PLAYER} has a DIPLOMACY score of,{PLAYER} has a DIPLOMACY score of
{PLAYER} only has a DIPLOMACY score of,{PLAYER} only has a DIPLOMACY score of
{PLAYER} has a HEALING score of,{PLAYER} has a HEALING score of
{PLAYER} only has a HEALING score of,{PLAYER} only has a HEALING score of
{PLAYER} has a LORE score of,{PLAYER} has a LORE score of
{PLAYER} only has a LORE score of,{PLAYER} only has a LORE score of
{PLAYER} has a STEALTH score of,{PLAYER} has a STEALTH score of
{PLAYER} only has a STEALTH score of,{PLAYER} only has a STEALTH score of
{PLAYER} has a SURVIVAL score of,{PLAYER} has a SURVIVAL score of
{PLAYER} only has a SURVIVAL score of,{PLAYER} only has a SURVIVAL score of
{PLAYER} has a THIEVERY score of,{PLAYER} has a THIEVERY score of
{PLAYER} only has a THIEVERY score of,{PLAYER} only has a THIEVERY score of
vs Difficulty,vs Difficulty
Athletics (,Athletics (
Awareness (,Awareness (
Crafting (,Crafting (
Diplomacy (,Diplomacy (
Healing (,Healing (
Lore (,Lore (
Stealth (,Stealth (
Survival (,Survival (
Thievery (,Thievery (
beats Difficulty (,beats Difficulty (
ATHLETICS 4+,ATHLETICS 4+
ATHLETICS 5+,ATHLETICS 5+
ATHLETICS 6+,ATHLETICS 6+
ATHLETICS 7+,ATHLETICS 7+
ATHLETICS 8+,ATHLETICS 8+
ATHLETICS 9+,ATHLETICS 9+
ATHLETICS 10+,ATHLETICS 10+
AWARENESS 4+,AWARENESS 4+
AWARENESS 5+,AWARENESS 5+
AWARENESS 6+,AWARENESS 6+
