original,translate
#Combat Manuevers,#전투 기술
Wild Swing,마구 휘두르기
Critical Strike,치명타
Defend Ally,아군 보호
Mark Target,표적 지정
The Target gets the Marked Condition which confers a -2 penalty to Dodge for the rest of the encounter,"대상에게 [표적] 상태가 적용되어, 전투가 종료될 때까지 회피에 -2 페널티를 부여합니다"
Radiate Fear,공포 발산
Blizzard Aura,눈보라 오라
Aura of Fire,화염 오라
Fire Lance,화염 창
Howl of Terror,공포의 울부짖음
Lightning Lash,번개 채찍
Spit Acid,산성 침 뱉기
Spit Poison,독 침 뱉기
Spray Acid,산성 분사
Attack!,공격!
Forwards!,전진!
Regroup!,재정비!
Stand Your Ground!,물러서지 마라!
Precise Strike,정밀 타격
Rapid Shot,속사
The character makes a ranged attack,캐릭터가 원거리 공격을 수행합니다
"If that attack is successful, they may make another, free attack","공격이 성공하면, 추가로 무료 공격을 1회 더 수행할 수 있습니다"
Pierce Armor,방어구 관통
Vein Strike,혈관 타격
Savage Strike,맹렬한 일격
Shake the Earth,대지 진동
Shield Rush,방패 돌진
Perform an attack that pushes your opponent back one square if successfull,"성공 시, 대상을 한 칸 뒤로 밀어내는 공격을 수행합니다"
Deals normal damage,일반 피해를 입힙니다
Spellburn,마력 연소
Storm of Steel,강철의 폭풍
Stunning Blow,기절 타격
Thrust And Parry,찌르기와 막기
Dash,돌진
Hide in Combat,전투 중 은신
You gain the ability to hide whilst in Combat,전투 중 은신 상태에 들어갈 수 있는 능력을 얻습니다
Attacking whilst hidden triggers the Backstab attack,은신 중 공격하면 기습(Backstab) 공격이 발동됩니다
Infect,감염
Ice Breath,얼음 숨결
Imperial Litany,제국의 기도문
Hamstring,힘줄 끊기
Second Wind,재기의 바람
#Passive Abilitiy,#지속 능력
Backstabber,기습 공격자
Allows the character to perform Backstab Attacks against voulnerable targets,취약한 대상에게 기습(Backstab) 공격을 수행할 수 있습니다
Evasive,회피 기동
Disengaging from Melee does not cause your turn to end,근접 교전에서 이탈해도 턴이 종료되지 않습니다
Fancy Footwork,현란한 발놀림
Swapping Places with allies not longer causes your Turn to end,아군과 위치를 교체해도 더 이상 턴이 종료되지 않습니다
Activate Spellcasting,주문 시전 활성화
Allows the character to begin studying schools of spellcasting,캐릭터가 주문 학파 연구를 시작할 수 있습니다
"To learn spells, pick and invest in one or more such schools","주문을 배우려면 하나 이상의 학파를 선택하고 투자하십시오"
Increased Agiliy,민첩 증가
Increased Heavy Armor Use,중갑 숙련도 증가
Increased Light Armor Use,경갑 숙련도 증가
Increased Medium Armor Use,평갑 숙련도 증가
Increased Athletics,운동 능력 증가
Increased Attunement,마력 조율 증가
Spell Aura Radius Increase,주문 오라 범위 증가
Increased Awareness,인지력 증가
Increased Backstab Damage,기습 피해량 증가
Pack Mule,짐꾼
Increased Crafting,제작 능력 증가
Critical Resistance,치명타 저항
Increased Diplomacy,화술 증가
Increased Dodge,회피 증가
Fletching,화살 제작
Doubles the chance of recovering a spent arrow after combat,전투 후 이미 발사된 화살을 회수할 확률이 두 배가 됩니다
Increased Fortitude,인내력 증가
Increased Gold Drops,골드 획득량 증가
Increased Healing,치유량 증가
Increased Initiative,주도권 증가
Increased Intellect,지능 증가
Increased Lore,학식 증가
Increased Max Cascade,최대 연쇄 증가
Increased Movement,이동력 증가
Increased Presence,존재감 증가
Increased Spell Aptitude,주문 적성 증가
Increased Stealth,은신 능력 증가
Increased Strength,힘 증가
You are powerfully built,당신은 강인한 신체를 가졌습니다
