original,translate
#Armor,#방어구
Heavy Armor Use,중갑 숙련도
Reduced the encumberance of the armor when using this type of armor,이 유형의 방어구를 착용할 때 무게 페널티가 감소합니다
Light Armor Use,경갑 숙련도
Mage Armor Use,마법사 갑옷 숙련도
Medium Armor Use,평갑 숙련도
Shield Use,방패 숙련도
Added to Dodge when using a shield,방패 사용 시 회피가 증가합니다
Unarmored Mastery,비무장 숙련도
Added to Dodge when unarmored,비무장 상태일 때 회피가 증가합니다
#Combat Attributes,#전투 속성
Crit Chance,치명타 확률
Describes the percentage of Hits that are upgraded to Critical Hits,공격 적중이 치명타로 강화될 확률을 나타냅니다
Melee Dmg,근접 피해
A bonus that is added to the melee damage range based on the characters strength,힘(Strength)에 기반하여 잠재적 근접 피해량을 증가시키는 보너스입니다
This is added to the current weapon's damage range for a total damage range,이 수치는 현재 무기의 피해 범위에 더해져 최종 피해 범위를 결정합니다
Initiative,주도권
Initiative determines who goes first in combat,주도권은 전투에서 유닛이 턴을 가져가는 순서를 결정합니다
Melee To Hit,근접 명중
The character's skill at attacking with melee weapons,캐릭터의 근접 무기 공격 숙련도를 나타냅니다
Determines hit chance,명중 확률을 결정합니다
Ranged To Hit,원거리 명중
The characters skill at attacking with ranged weapons,캐릭터의 원거리 무기 공격 숙련도를 나타냅니다
#ConditionResistances,#상태 이상 저항
Blindness Resistance,실명 저항
Resistance to a condition represents the percentage chance to avoid contracting the condition,상태 이상 저항은 해당 상태 이상에 걸리는 것을 피할 확률(백분율)을 나타냅니다
An attribute value of 100% or above means immunity to the condition in question,100% 이상의 수치는 해당 상태 이상에 대한 면역과 같습니다
Charm Resistance,매혹 저항
Confusion Resistance,혼란 저항
Crit,치명타
Hits Resistance,피격 저항
Deafness Resistance,청각 장애 저항
Disease Resistance,질병 저항
Immobilization Resistance,이동 불가 저항
Insanity Resistance,광기 저항
Panic Resistance,공황 저항
Paralysis Resistance,마비 저항
Poison Resistance,독 저항
Silence Resistance,침묵 저항
Sleep Resistance,수면 저항
#DamageBonuses,#피해량 보너스
Damage Bonus vs,대상별 피해량 보너스
Abominations,흉물
Creature Damage bonuses increase the Damage dealt against certain types of creatures,생명체 피해량 보너스는 특정 유형의 생명체에게 입히는 피해를 증가시킵니다
Animals,동물
Undead,언데드
Vermin,해충
Magic Damage Bonus,마법 피해량 보너스
Damage bonuses increase the Damage dealt when using the indicated attack type,피해량 보너스는 해당 공격 유형을 사용할 때 입히는 피해를 증가시킵니다
Melee Damage Bonus,근접 피해량 보너스
Ranged Damage Bonus,원거리 피해량 보너스
Unarmed Damage Bonus,비무장 피해량 보너스
Acid Damage Bonus,산성 피해량 보너스
Damage Type bonuses increase the Damage dealt when the Damage is of the indicated type,피해 유형 보너스는 해당 속성의 피해를 입힐 때 피해량을 증가시킵니다
Blunt Damage Bonus,타격 피해량 보너스
Cold Damage Bonus,냉기 피해량 보너스
Corruption Damage Bonus,부패 피해량 보너스
Fire Damage Bonus,화염 피해량 보너스
Kinetic Damage Bonus,운동 피해량 보너스
Piercing Damage Bonus,찌르기 피해량 보너스
Slashing Damage Bonus,베기 피해량 보너스
Sublime Damage Bonus,숭고함 피해량 보너스
Axe Damage Bonus,도끼 피해량 보너스
Weapon Damage bonuses increase the Damage dealt when using the indicated Weapon type,무기 피해량 보너스는 해당 무기 유형을 사용할 때 입히는 피해를 증가시킵니다
Bow Damage Bonus,활 피해량 보너스
Club Damage Bonus,곤봉 피해량 보너스
Heavy Weapon Damage Bonus,대형 무기 피해량 보너스
Light Weapon Damage Bonus,소형 무기 피해량 보너스
Medium Weapon Damage Bonus,중형 무기 피해량 보너스
Polearm Damage Bonus,폴암 피해량 보너스
Sword Damage Bonus,검 피해량 보너스
#DamageResistances,#피해 저항
Energy Damage Resistance,에너지 피해 저항
Damage Resistance reduces incoming Damage of the indicated type by a percentage amount equal to the attribute value,피해 저항은 속성값과 동일한 비율(%)만큼 해당 유형의 들어오는 피해를 감소시킵니다
A value of 100% or higher means immunity to this damage type,100% 이상의 수치는 해당 피해 유형에 대한 면역과 같습니다
A negative value means a vulnerability to the damage type,음수 값은 해당 피해 유형에 대한 취약점으로 작용합니다
"If this is the case, incoming Damage will be increased","이 경우, 들어오는 피해가 증가합니다"
Magical Damage Resistance,마법 피해 저항
Non-Magical Damage Resistance,비마법 피해 저항
Physical Damage Resistance,물리 피해 저항
Acid Damage Resistance,산성 피해 저항
Cold Damage Resistance,냉기 피해 저항
Corruption Damage Resistance,부패 피해 저항
Electric Damage Resistance,전기 피해 저항
Fire Damage Resistance,화염 피해 저항
Kinetic Damage Resistance,운동 피해 저항
Sublime Damage Resistance,숭고함 피해 저항
Blunt Damage Resistance,타격 피해 저항
Piercing Damage Resistance,찌르기 피해 저항
Slashing Damage Resistance,베기 피해 저항
Psychic Damage Resistance,정신 피해 저항
#Defences,#방어
Dodge,회피
DODGE,회피
The ability to avoid incoming attacks and other reflex-based dangers,들어오는 공격이나 반사 신경이 필요한 기타 위험을 피하는 캐릭터의 숙련도를 나타냅니다
"In other words, this determines how hard a character is to hit","즉, 캐릭터를 맞히기가 얼마나 어려운지를 결정합니다"
Toughness,강인함
The character’s ability to withstand adverse physical effects such as disease and poison,질병이나 독과 같은 부정적인 신체 효과를 견디는 캐릭터의 능력입니다
Willpower,의지력
Willpower describes a character’s ability to withstand mind-affecting conditions such as those caused by spells,"캐릭터가 가진 정신적 인내력의 정도를 나타내며, 주문 등으로 인한 정신 지배 상태를 견디는 능력입니다"
#HitBonuses,#명중 보너스
Bonus - Axes,보너스 - 도끼
Critical bonuses increase your critical chance for the indicated weapon type,치명타 보너스는 해당 무기 유형의 치명타 확률을 증가시킵니다
Bonus - Bows,보너스 - 활
Bonus - Clubs,보너스 - 곤봉
Bonus Light,보너스 - 소형 무기
This bonus applies to Light Weapons,이 보너스는 소형 무기에 적용됩니다
Bonus - Blades,보너스 - 검
Bonus - Unarmed,보너스 - 비무장
Hit Bonus - Maneuvers,명중 보너스 - 기술
Maneuver Hit Bonuses are added to the To Hit roll when performing Combat Maneuvers,기술 명중 보너스는 전투 기술(Combat Manoeuvre)을 수행할 때 명중 굴림에 추가됩니다
Hit Bonus - Abominations,명중 보너스 - 흉물
Creature Hit Bonuses are added to the To Hit roll when attacking the indicated creature type,생명체 명중 보너스는 해당 유형의 생명체를 공격할 때 명중 굴림에 추가됩니다
