original,translate
#Backgrounds,#배경
Acolyte,수습 사제
You claim a connection with the divine that goes far deeper than most,당신은 남들보다 훨씬 깊은 신성과의 연결을 주장합니다
"Whether legitimate of not, you’re always ready to dispense holy wisdom; Be it Imperial gospel or the profane ramblings of the heretic","그것이 사실이든 아니든, 당신은 언제나 성스러운 지혜를 전파할 준비가 되어 있습니다. 그것이 제국의 복음이든 이단자의 불경한 헛소리든 말입니다"
Thug,폭력배
"Punch first, ask questions later","일단 때리고, 질문은 나중에"
"You have perfected the noble art of solving problems with brute force,In club form","알렉산더의 방식에 통달한 당신은, 매듭을 푸는 대신 자르는 식의 결단력 있는 행동으로 문제를 해결하는 고귀한 기술을 완벽하게 익혔습니다"
Courtier,궁정인
Your time spent kissing noble arses has made you a master of navigating the cut-throat politics of the Imperial lay-courts,귀족들에게 아첨을 떨며 보낸 시간 덕분에 제국 평신도 법원의 외교적 세계에서의 경험은 물론, 타인의 미묘한 신체 언어를 읽어내는 예리한 능력을 얻었습니다
Criminal,범죄자
You are an esteemed member of the Empire’s teeming underworld with a special knack for getting in and out of places you shouldn’t be,당신은 제국의 들끓는 암흑가의 존경받는 일원이며, 출입해서는 안 될 장소를 드나드는 특별한 재주가 있습니다
Fortune's Fool,운명의 광대
Deluxe Edition class,디럭스 에디션 직업
You have unnaturally good luck and seem to find much more gold than others after combat,당신은 비정상적으로 운이 좋으며 전투 후 남들보다 훨씬 많은 골드를 발견하는 것 같습니다
Savant,석학
You’re a very fast learner and advance more rapidly through levels,당신은 학습 속도가 매우 빠르며 레벨이 더 빠르게 상승합니다
"Due to being adept in the skills of learning you pick things up rather quickly; having a keen mind and studious sensibilites allows you to gain a deeper understanding from identical experiences, relative to others","학습 능력에 능통한 덕분에 당신은 남들보다 빨리 습득합니다. 명석한 두뇌와 학구적인 감각으로, 타인과 동일한 경험을 하더라도 상대적으로 더 깊은 깨달음을 얻습니다"
Scout,정찰병
You’re remarkably fleet of foot,당신은 발이 놀라울 정도로 빠릅니다
Entertainer,유랑 예인
"In equal parts despised and adored by the wealthy of the Empire, the traveling entertainer can make a pretty penny off their blinding charisma and nimble fingers","제국의 부유층에게 경멸과 사랑을 동시에 받는 유랑 예인은 눈부신 매력과 다재다능한 손재주로 꽤 짭짤한 수입을 올릴 수 있습니다"
Guilder,길드원
"Like so many of the Empires young and promising, you were recruited into guild service at a fairly early age","제국의 유망한 젊은이들이 으레 그렇듯, 당신도 꽤 어린 나이에 길드 업무에 징집되었습니다"
"As the saying goes, work for the illustrious guilds tends to leave you with 'gold in your purse and blood on your hands'","옛말에 이르기를, 저명한 길드를 위해 일하면 ""주머니에는 금이, 손에는 피가"" 남게 된다고 합니다"
Laborer,노동자
You’ve spent years toiling under the oppressive yoke of hard labor,당신은 수년 동안 고된 노동의 억압적인 굴레 아래서 뼈 빠지게 일했습니다
"Though it may not have left you with much coin in your pocket, it has given you an unnatural resistance to hardship","주머니에 돈은 별로 모으지 못했을지 몰라도, 고난에 대한 비정상적인 저항력을 얻었습니다"
Ex-Legionary,전직 군단병
A member of the ‘old breed’; forged and tempered by the hardships of soldiering,"'구세대'의 일원인 당신은 군 생활의 고난 속에서 단련되고 다듬어졌습니다"
You now belong to the ever-growing fraternity of fellow men and women with scarred bodies and broken minds who roam the Empire in search for a quiet piece of land to call home,당신은 이제 상처 입은 몸과 피폐해진 정신을 이끌고 마음 편히 쉴 땅을 찾아 제국을 떠도는, 점점 늘어만 가는 남녀 형제들의 무리에 속하게 되었습니다
Sellsword,용병
"With the once-mighty legions of the Empire in decline, this is an age of sellswords and mercenaries","한때 강력했던 제국 군단이 쇠퇴하면서, 바야흐로 용병과 청부업자의 시대가 도래했습니다"
There is no shortage of those willing to pay professionals to wreak violence on others and you are very good at your job,"타인에게 폭력을 행사하는 대가로 전문가에게 돈을 지불하려는 사람들은 차고 넘칩니다. 바로 당신 같은 전문가에게 말이죠"
Monastic,수도사
You have served one of the holy orders of the Empire from the safety of one of its walled monastic communities,당신은 성벽으로 둘러싸인 수도원 공동체의 안전함 속에서 제국의 성스러운 교단 중 하나를 섬겼습니다
Pray the world has not grown too cruel in your absence,부디 당신이 없는 동안 세상이 너무 잔혹해지지 않았기를 기도하십시오
Noble,귀족
"An individual of old blood, you learned long ago that wealth and connections tend to open doors that are otherwise closed to the filthy masses","순수 혈통의 후손인 당신에게, 충분한 부와 그것을 적절히 과시하는 법을 아는 것이 수많은 장애물을 피하는 길이라는 사실은 너무나 당연합니다. 당신에게 허리 숙여 성문을 열어주는 경비병이 더러운 거지에게는 문을 쾅 닫아버리는 것처럼 말입니다"
Sailor,선원
You’ve heard the call of the Mother of Maelstroms and salt water now runs in your veins,당신은 소용돌이의 어머니가 부르는 소리를 들었고, 이제 당신의 혈관에는 소금물이 흐릅니다
"Whether on the deck of a Guilder caravel or manning the sails of a meager fishing sloop, you feel most at home when you’re at sea","길드 캐러벨의 갑판 위에서든 빈약한 낚싯배의 돛을 다루든, 당신은 바다에 있을 때 가장 편안함을 느낍니다"
Street Rat,부랑아
Spending your formative years fending for yourself on the hard streets of the Empire’s sprawling cities has left you with a preternatural instinct for surviving,인격 형성기를 제국의 거대한 도시의 거친 거리에서 스스로를 지키며 보낸 당신은 생존에 대한 초자연적인 본능을 갖게 되었습니다
No crime is too petty - no meat too mysterious,"어떤 범죄도 너무 사소하지 않고, 어떤 고기도 너무 수상하지 않습니다"
Vagabond,방랑자
"Having spent most of your teenage years’ on the road, you are a free spirit with no allegiance to any one person or place","십 대 시절의 대부분을 길 위에서 보낸 당신은 그 어떤 사람이나 장소에도 얽매이지 않는 자유로운 영혼입니다"
"Drifting from place to place, you go where there is work, food and a warm bed to be had","이곳저곳을 떠돌며, 일거리와 음식, 그리고 따뜻한 잠자리가 있는 곳으로 향합니다"
Wildling,야인
"As the light of civilization fades, the vast wildernesses of the Empire encroach on the civilized folk",문명의 촛불 도서관들이 그 주위를 둘러싼 거대한 황무지로 스며듭니다
Thankfully you don’t count yourself among those,하지만 하나둘씩 불이 꺼져갈 때, 당신은 그들 속에 속하지 않음에 감사함을 느낍니다
The sky is your temple and the howling of wolves your litany,당신은 대신 달빛이 비추는 지식을 탐구하고, 늑대들의 울음소리 합창에서 길을 찾습니다
Nomad,유목민
"You’ve spent years across the seas, living with the desert nomads","물의 바다, 모래의 바다. 당신은 수많은 겨울 동안 그 각각을 유랑했습니다"
"Though ever the outsider, the nomads deemed you trust-worthy enough to become an initiate in the mysteries of their pagan fire-worship","비록 언제나 이방인이었지만, 유목민들은 당신을 그들의 이교도적 불 숭배의 신비에 입문시킬 만큼 신뢰할 만하다고 여겼습니다"
Snake-Cultist,뱀 숭배자
Writhing with serpents in darkened cellars and hidden temples has left you immune to the snake’s kiss,어두운 지하실과 숨겨진 사원에서 뱀들과 뒤엉켜 지낸 덕분에 뱀의 입맞춤에 면역이 생겼습니다
#NPC Backgrounds,#NPC 배경
Citizen,시민
Craftsman,장인
Farmer,농부
Fisherman,어부
Guild Sailor,길드 선원
Insane,광인
Official,관리
Refugee,난민
Servant,하인
Vagrant,부랑자
Shipwrecked,조난자
