original,translate
#Animals,#동물
Chicken,닭
Dog,개
The dog is roaming around restlessly,개가 불안하게 돌아다니고 있습니다
Goat,염소
#Common Humanoids,#일반 인간형
Commoner,평민
Guard,경비병
A guardsman dressed in the livery of the noble house Berryn scowls at you,베린 귀족 가문의 제복을 입은 경비병이 당신을 노려봅니다
Armsmaster Lyra awaits you at the main entrance,무기 전문가 라이라가 정문에서 당신을 기다리고 있습니다
You best talk to her if you've not already done so,아직 그녀와 대화하지 않았다면 이야기해 보는 것이 좋을 겁니다
Guest,손님
Scullion,부엌데기
Good evening m'lord,"좋은 저녁입니다, 나리"
Good evening m'lady,"좋은 저녁입니다, 아가씨"
the red-faced scullion bows slightly,얼굴이 붉어진 부엌데기가 가볍게 고개를 숙입니다
Servants,하인들
Henchman,심복
Brigand Archer,산적 궁수
Brigand Rogue,산적 도적
Brigand Swordsman,산적 검사
Child,아이
Jester,광대
Farmer,농부
Fruit-Picker,과일 따는 사람
Handmaid,시녀
Crewmember,선원
Refugee,난민
"A ragged, hungry refugee from Horryn","호린에서 온 굶주리고 남루한 차림의 난민입니다"
Treasure Hunter,보물 사냥꾼
Fire-Spitter,불 뿜는 사람
Mercenary,용병
"The mercenary looks at you, menacingly","용병이 당신을 위협적으로 쳐다봅니다"
Armorer,방어구 상인
Arms Merchant,무기 상인
Food Merchant,식료품 상인
Potion Merchant,물약 상인
Reagent Merchant,시약 상인
Spell Merchant,주문 상인
Trinket Merchant,장신구 상인
Pilgrim,순례자
Reaver Berserker,약탈자 광전사
Reaver Brute,약탈자 투사
Reaver Scout,약탈자 정찰병
Reaver,약탈자
Reaver Blackguard,약탈자 흑기사
Reaver Mystic,약탈자 신비주의자
Cultist,광신도
Prisoner,죄수
Wretch,비참한 자
Sailor,선원
Captain,선장
Mad Sailor,미친 선원
Mad Sailo,미친 선원
Guild Magos,길드 마법사
Guild Mag,길드 마법사
Wight,망령
Apprentice,수습생
Feral Clone,야생 복제체
#Monsters,#괴물
Giant Bat,거대 박쥐
Giant Beetle,거대 딱정벌레
Rhino Beetle,코뿔소 딱정벌레
Carrion Crawler,부패 벌레
Giant Centipede,거대 지네
Fell Crab,흉포한 게
Corpse Eater,시체 포식자
Giant Crab,거대 게
Crab,게
Rot Crab,부패 게
Spider Crab,거미 게
Brood Guard,무리 수호자
Father,아버지
Deep One Priestess,딥 원 여사제
Deep One Queen,딥 원 여왕
Deep One Warrior,딥 원 전사
Devolved,퇴화한 자
Ghoul,구울
Frost Ghoul,서리 구울
Giant Gnat,거대 모기
Cave Gnat,동굴 모기
Fell Hog,흉포한 멧돼지
Dire Hound,광포한 사냥개
Fell Hound,흉포한 사냥개
Ice Hound,얼음 사냥개
Ice Strider,얼음 활보자
Shadow Stalker,그림자 추적자
Giant Leech,거대 거머리
Albino Leech,알비노 거머리
Bloodletter,흡혈귀
Fell Lizard,흉포한 도마뱀
Alpha Lizard,우두머리 도마뱀
Giant Lizard,거대 도마뱀
Ice Salamander,얼음 도롱뇽
Mold Child,곰팡이 아이
Ooze,점액 괴물
Flesh Ooze,살점 점액 괴물
Medusa Jelly,메두사 젤리
Risen Ooze,되살아난 점액 괴물
Magma Ooze,마그마 점액 괴물
Magmite,마그마이트
Large Ooze,대형 점액 괴물
Giant Rat,거대 쥐
Dire Rat,광포한 쥐
Chitters-In-Darkness,어둠 속의 딱딱거림
Rabid Rat,광견병 걸린 쥐
Shade,망령
Dire Serpent,광포한 뱀
Fell Serpent,흉포한 뱀
Giant Snake,거대 뱀
Fleshstrider,살점 활보자
Flying Polyp,비행 폴립
Dragon's Herald,용의 전령
Evolved,진화한 자
Newborne,갓 태어난 자
Vessel,그릇
Stalker,추적자
Giant Spider,거대 거미
Large Spider,대형 거미
Shambler,비틀거리며 걷는 자
Frost Shambler,서리 비틀거리는 자
#Unique Humanoids,#고유 인간형
Big Lorn,거구 론
Arra the Trader,상인 아라
Doran the Pilot,항해사 도란
Chef Armand,요리사 아르망
Kydeon,키데온
The scarred and graying veteran smiles varmly towards you,상처 입고 머리가 희끗희끗한 베테랑이 당신에게 따뜻하고 친근한 미소를 짓습니다
