original,translate
#Apperances,#외형
Carylla,카릴라
#Difficulties,#난이도
Narrative,스토리
Narrative mode is the difficulty for players who would like to experience the game’s story and setting with a minimum of focus on combat and grinding,스토리 모드는 전투는 이야기에 풍미를 더하는 부차적인 요소로 두고, 주로 게임의 스토리를 경험하고 싶은 플레이어에게 가장 적합합니다
Easy,쉬움
Easy mode is a great way for players who are new to this style of roleplaying game to experience Skald,쉬움 모드는 이런 스타일의 롤플레잉 게임이 처음인 플레이어가 스칼드(Skald)의 개념을 가볍게 익히는 데 가장 적합합니다
Combat is forgiving and there should be little need to optimize character builds,"전투가 비교적 관대하므로, 캐릭터 빌드나 장비를 최적화할 필요가 거의 없습니다"
Dice rolls are weighted in the player’s favor,주사위 굴림 또한 플레이어에게 유리하도록 보정됩니다
Normal,보통
Normal mode is the game’s intended difficulty setting,"보통 모드는 기본 난이도이며, 스칼드를 경험하는 의도된 방식입니다"
There is only very limited artificial smoothing of certain dice rolls,"경험을 개선하기 위해 특정 주사위 굴림에만 약간의 인위적인 보정이 들어갑니다"
Hard,어려움
Hard mode is intended to offer the player a challenge without feeling unfair,"어려움 모드는 숙련된 플레이어에게 적합하며, 불합리하지 않으면서도 합당한 도전을 제공합니다"
Dice rolls are slightly weighted in the opponent's favor making them more deadly,"주사위 굴림이 적에게 약간 유리하게 작용하여 더 위협적이며, 플레이어의 준비와 일관성을 더욱 중요하게 만듭니다"
#Encounters,#조우
Brigands,산적
You’ve been beset by brigands!,산적들에게 포위되었습니다!
Stand and deliver!,꼼짝 마라, 가진 걸 다 내놔!
Abandoned Cargo,버려진 화물
There is some abandoned cargo strewn on the road ahead of you,전방 도로에 버려진 화물이 흩어져 있습니다
Horrors from the deep,심연의 공포
You're being attacked by enormous fell-crabs!,거대한 흉포한 게들의 공격을 받고 있습니다!
Crawlers,벌레
Foul creatures swarm from holes in the ground!,더러운 생명체들이 땅굴에서 쏟아져 나옵니다!
Devolved,퇴화한 자들
"More beast than man, devolved troglodytes charge towards you!","인간이라기보다는 짐승에 가까운, 퇴화한 혈거인들이 당신을 향해 돌진합니다!"
Flotsam,표류물
You come across some flotsam,표류물을 발견했습니다
Giant Insects,거대 곤충
Giant insects scurry towards you!,거대 곤충들이 당신을 향해 기어옵니다!
Giant insects swarm you!,거대 곤충들이 떼 지어 몰려옵니다!
White Hounds,흰 사냥개
Foul slavering beasts barrel towards you!,침을 흘리는 더러운 짐승들이 당신을 향해 질주합니다!
Crabs,게
You're being swarmed by monsterously over-grown crabs!,기괴하게 거대해진 게들이 떼 지어 몰려옵니다!
Rot Crabs,부패 게
Horribly changes crustaceans shamble towards you!,끔찍하게 변이된 갑각류들이 비틀거하며 다가옵니다!
Spider Crabs,거미 게
You're being charged by Spider-Crabs!,거미 게들이 돌진해 옵니다!
Fell Hounds,흉포한 사냥개
You've been beset by prowling Fell-Hounds!,배회하던 흉포한 사냥개들에게 포위되었습니다!
Fell Hogs,흉포한 멧돼지
Fell hogs have caught your scent!,흉포한 멧돼지들이 당신의 냄새를 맡았습니다!
Rats!,쥐!
You're being swarmed by monsterously over-grown rats!,기괴하게 거대해진 쥐들이 떼 지어 몰려옵니다!
Reavers,약탈자
You've been waylaid by Reavers!,약탈자들에게 매복 공격을 당했습니다!
Reaver Patrol,약탈자 순찰대
Reaver Raiding-Party,약탈자 습격대
Giant Lizards,거대 도마뱀
The lizards' jaws snap greedily as reptilian eyes fix you,도마뱀들의 파충류 눈이 당신에게 고정되자 탐욕스러운 턱이 딱딱거립니다
Wandering Merchant,떠돌이 상인
A wandering armorer approaches!,떠돌이 방어구 상인이 다가옵니다!
A wandering arms merchant approaches!,떠돌이 무기 상인이 다가옵니다!
A wandering food merchant approaches!,떠돌이 식료품 상인이 다가옵니다!
A wandering potion merchant approaches!,떠돌이 물약 상인이 다가옵니다!
A wandering reagent merchant approaches!,떠돌이 시약 상인이 다가옵니다!
A wandering spell merchant approaches!,떠돌이 주문 상인이 다가옵니다!
A wandering trinket merchant approaches!,떠돌이 장신구 상인이 다가옵니다!
Shades,망령
"Darker than night, these creatures are pure malice","밤보다 더 어두운 이 생명체들은 순수한 악의 덩어리입니다"
Snakes,뱀
There are snakes in the grass!,풀숲에 뱀이 있습니다!
Serpents,뱀
Overgrown serpents slither towards you!,거대해진 뱀들이 당신을 향해 스르르 다가옵니다!
Slithering Horrors,기어 다니는 공포
Snow-Lizards,설원 도마뱀
"Large, horned lizards leap from the snow to ambush you!","뿔 달린 거대한 도마뱀들이 눈 속에서 튀어나와 당신을 기습합니다!"
Creatures From Beyond,저편의 존재들
The Dragon is awakening!,용이 잠에서 깨어나고 있습니다!
Giant Spiders,거대 거미
