original,translate
#Accessory,#장신구
Armored Boots,철제 장화
Masterwork Armored Boots,명품 철제 장화
Noble's Boots,귀족 장화
Masterwork Noble's Boots,명품 귀족 장화
Leather Boots,가죽 장화
Masterwork Leather Boots,명품 가죽 장화
Travelers Boots,여행자의 장화
Masterwork Travelers Boots,명품 여행자의 장화
The Farstriders,파스트라이더
These legendary boots increase the Carrying Capacity of the wearer by 30 lb as well as conferring a +1 bonus to their Fortitude,이 전설적인 장화는 착용자의 운반 능력을 30lb 증가시키고 인내력에 +1 보너스를 부여합니다
The Tyrant,폭군
This helmet increases the user’s Awareness and Spell Aptitude by +1,이 투구는 착용자의 인지력과 주문 적성을 +1 증가시킵니다
Armored Gauntlets,철제 건틀릿
Masterwork Armored Gauntlets,명품 철제 건틀릿
Noble's Gloves,귀족 장갑
Masterwork Noble's Gloves,명품 귀족 장갑
Leather Gloves,가죽 장갑
Masterwork Leather Gloves,명품 가죽 장갑
Mailed Gauntlets,사슬 건틀릿
Masterwork Mailed Gauntlets,명품 사슬 건틀릿
Travelers Gloves,여행자의 장갑
Masterwork Travelers Gloves,명품 여행자의 장갑
Headwear,모자
Hat,모자
Bonnet,보닛
Leather Coif,가죽 코이프
Rag,두건
Hood,후드
Antlers,사슴뿔
Reaver Crown,약탈자 왕관
"A wide-brimmed, felt hat",챙이 넓은 펠트 모자
It is quite stylish but offers little protection,꽤 멋스럽지만 방어력은 거의 없습니다
Wreath,화관
Mail Coif,사슬 코이프
Coif and Helmet,코이프와 투구
Masterwork Mail Coif,명품 사슬 코이프
Full Helmet,완전 투구
Masterwork Full Helmet,명품 완전 투구
Horned Helmet,뿔 투구
Masterwork Horned Helmet,명품 뿔 투구
Steel Helmet,강철 투구
Masterwork Steel Helmet,명품 강철 투구
Plumed Helmet,깃털 장식 투구
Masterwork Plumed Helmet,명품 깃털 장식 투구
Round Helmet,원형 투구
Soldier's Helmet,병사의 투구
Officer's Helmet,지휘관의 투구
Jester's Cap,광대 모자
#Adventuring Items,#모험 아이템
Crowbar,쇠지렛대
An iron crowbar,강철 쇠지렛대입니다
Perfect for breaking and entering,무단 침입에 완벽한 도구입니다
Lantern,랜턴
A small lantern,작은 랜턴입니다
Press 'T' to equip it whilst exploring,탐험 중 'T'를 눌러 장착하십시오
Thieves' Tools,도둑 도구
Tools used for lockpicking,자물쇠 따기에 사용되는 도구입니다
You lose a few each time you pick a lock so take care to gather a supply,"자물쇠를 딸 때마다 몇 개씩 소모되므로, 여유분을 챙겨두는 것이 좋습니다"
Pickaxe,곡괭이
A pickeaxe used for mining,채광에 사용되는 곡괭이입니다
In the right hands it could be used as a weapon,"제대로 다룰 수만 있다면, 무기로도 쓸 수 있을 겁니다"
Rope,밧줄
A 20-foot coil of hemp rope,20피트 길이의 밧줄 뭉치입니다
Indispensable for spelunkers and mountaineers,동굴 탐험가와 등반가에게 없어서는 안 될 물건입니다
Sewer Map,하수구 지도
A hand-drawn map depicting the sewers underneath Horryn,호린 지하 하수구를 묘사한 손으로 그린 지도입니다
Shovel,삽
Used for digging in the ground!,땅을 파는 데 사용합니다!
#Ammo,#탄약
Bodkin Arrow,보드킨 화살
Broadhead Arrow,브로드헤드 화살
Fire Arrow,불화살
Hunting Arrow,사냥용 화살
Poison Arrow,독화살
Poor Arrow,조잡한 화살
#Armors,#방어구
Light Armor,경갑
Medium Armor,평갑
Heavy Armor,중갑
Breastplate,흉갑
Fine Breastplate,고급 흉갑
Masterwork Breastplate,명품 흉갑
Poor Breastplate,조잡한 흉갑
Chainmail,사슬 갑옷
Fine Chainmail,고급 사슬 갑옷
Masterwork Chainmail,명품 사슬 갑옷
Poor Chainmail,조잡한 사슬 갑옷
The Second Chance,두 번째 기회
Adds the following triggered ability,다음 발동 능력을 추가합니다
"The first time you take Wound Damage each combat, you automatically regain 30-40 Vitality Hit Points","매 전투에서 첫 부상 피해를 입을 때, 30-40의 활력을 즉시 회복합니다"
Full Plate,전신 판금 갑옷
Fine Fullplate,고급 전신 판금 갑옷
Masterwork Fullplate,명품 전신 판금 갑옷
Poor Fullplate,조잡한 전신 판금 갑옷
Half Plate,반신 판금 갑옷
