original,translate
#Chapter 0,#0장
Man Over Board,익수자 발생!
Roland fell overboard,롤랜드가 배 밖으로 떨어졌다. 그 불행한 영혼은 어떻게 되었을까?
An Old Boar,늙은 멧돼지
"I encountered one of my father’s old friends, Kydeon, at the Berryn estate","베린 영지에서 아버지의 오랜 친구인 키데온을 만났다"
It was good to see the old boar again,그 늙은 멧돼지를 다시 보니 반가웠다
Waking up,깨어나다
I woke up in the hold of the Zephyr to find something is wrong on the ship,"이드라로 향하는 제퍼 호의 선창에서 깨어났을 때, 배에 무언가 문제가 생겼음을 알게 되었다"
#Chapter 1,#1장
A Foul Cave,더러운 동굴
I discovered a cave near the spot where I landed on Idra,이드라 해안에 떠밀려온 곳 근처에서 동굴을 발견했다
A foul stench of rotting flesh and seaweed lies thick inside,썩은 살점과 해초의 역겨운 악취가 내부에 짙게 배어 있다
Driina the Sepulchite,세풀카이트 드리나
I was joined by a Sepulchite cleric by the name Driina,세풀카이트 성직자인 드리나가 합류했다
She intends to search for a way into the city of Horryn which has apparently been overrun by cultists,그녀는 광신도들에게 점령당한 것으로 보이는 호린 시로 들어가는 방법을 찾고자 한다
"Before we leave the camp, she insists we make a stop by the camp’s de-facto leader","난민 캠프를 떠나기 전, 그녀는 캠프의 실질적인 지도자를 만나봐야 한다고 주장한다"
Someone named Markus who is holed up in a stable nearby,마르쿠스라는 이름의 그 자는 근처 마구간에 은신해 있다고 한다
A Floating Corpse,떠다니는 시체
I found a lost soul in the underwater cave system under the lighthouse,등대 아래 수중 동굴에서 길 잃은 영혼을 발견했다
The poor wretch must have gotten lost in the darkness and drowned,"그 불쌍한 자는 어둠 속을 헤매다, 이곳에 도사린 위험을 피하거나 다른 출구 또는 보물을 찾으려다 익사한 것이 분명하다"
I must take care I do not share his fate,나 또한 그와 같은 운명을 맞이하지 않도록 조심해야 한다
There was a key on the corpse,시체에 열쇠가 있었다
Embla in Horryn,호린의 엠블라
Frantzo the former innkeeper just told me that Embla stayed at his inn in Horryn in the days leading up to the calamities that saw the city overrun,"전직 여관 주인 프란초는 도시가 점령당하기 전 며칠 동안 엠블라가 호린에 있는 자신의 여관에 머물렀다고 말했다"
The Gates are Sealed,성문은 닫혔다
I searched for a way into Horryn but had little luck,호린으로 들어가는 길을 찾아보았으나 별 소득이 없었다
"For now, it seems I must carve out some other way of surviving on this barren island until an opportunity presents itself","지금으로서는 기회가 올 때까지 이 척박한 섬에서 살아남을 다른 방법을 찾아야 할 것 같다"
"Till then, the island no doubt overflows with desperate wretches in need of assistance","그때까지, 이 섬은 도움이 필요한 절박한 사람들로 넘쳐날 것이 분명하다"
"Till then, Driina suggests we must return to the refugee camp and do all we can to aid them in their desperate plight","그때까지 드리나는 난민 캠프로 돌아가 그들의 절박한 처지를 돕기 위해 할 수 있는 모든 것을 해야 한다고 제안한다"
A Ritual Dagger,의식용 단검
I recovered a strange dagger of indeterminate age from the underwater caves beneath the lighthouse on Idra,이드라 등대 아래 수중 동굴에서 연대를 알 수 없는 기이한 단검을 회수했다
It appears to have been a form of ritual implement and I suspect it might still hold both significance and power,"손잡이의 복잡하고 장식적인 디자인과 발견된 장소로 미루어 볼 때, 이 단검은 먼 과거에 일종의 의식용 도구로 쓰였던 것으로 보인다. 또한 여전히 어떤 의미와 힘을 지니고 있을지도 모른다는 생각이 든다"
Astronomer's Journal,천문학자의 일지
I found a strange journal that seems to have belonged to an Imperial astronomer,제국 천문학자의 것으로 보이는 기이한 일지를 발견했다
"It appears the poor man felt the stars are somehow ""wrong"" after spotting a strange star-cluster in the southeastern quadrant","그 불쌍한 사람은 남동쪽 사분면에서 이상한 성단을 관측한 후 별들이 뭔가 ""잘못되었다""고 느꼈던 것 같다"
A Feast for Lizards,도마뱀들의 만찬
I found scraps of rotting flesh in the lizard-cave on Idra,이드라의 도마뱀 동굴에서 뼈에서 떨어져 나간 썩은 인간의 살점 조각들을 발견했다
I wonder if the reptiles would gorge themselves if they had more flesh?,좀 더 신선한 고기가 있다면 저 파충류들이 배불리 먹어치울지 궁금하다
Goat Gold,염소 금화
"Jakub the farmer, paid me a small bribe to keep quiet about his hidden goats",농부 야쿱은 숨겨둔 염소에 대해 입을 다무는 대가로 내게 금화가 든 작은 주머니를 찔러주었다
