original,translate
Core 1.0.7e,Core 1.0.7e; 한글 에디션
Continue Game,게임 이어하기
New Game,새 게임
Load,불러오기
Save,저장
Start Module,모듈 시작
Settings,설정
Credits,제작진
Quit,종료
Exit,나가기
Reset,초기화
Gameplay,게임플레이
Difficulty,난이도
Display,화면
Audio,오디오
Controls,조작
Fonts,폰트
Enter Map Auto Save,맵 진입 자동 저장
Rest Auto Save,휴식 자동 저장
Tactical Icons Always On,전술 아이콘 항상 표시
Tactical Grid,전술 그리드
Show Stealth Info,은신 정보 표시
Combat Pop-Up Length,전투 팝업 지속 시간
Tutorials,튜토리얼
Controller Sensitivity,컨트롤러 민감도
Language,언어
Enabled,활성화
Disabled,비활성화
DISABLED,비활성화
ENABLED,활성화
Normal,보통
Extensive,확장
DELUXE,디럭스
Nostalgia Mode,향수 모드
Dice Animation,주사위 애니메이션
White - Pips,흰색 - 눈
Russian,러시아어
Gameplay Settings,게임플레이 설정
ENTER MAP AUTO SAVE,맵 진입 자동 저장
The game will auto save whenever you enter a new map,새로운 맵에 진입할 때마다 게임이 자동 저장됩니다
REST AUTO SAVE,휴식 자동 저장
The game will auto save whenever you make camp,야영을 할 때마다 게임이 자동 저장됩니다
TACTICAL ICONS ALWAYS ON,전술 아이콘 항상 표시
The degree to which the game shows tactical symbols and a grid during combat,전투 중 전술 기호와 그리드를 표시하는 방식을 설정합니다
"If set to true, the game will automatically show tactical icons during the planning state","설정 시, 계획 단계에서 자동으로 전술 아이콘을 표시합니다"
"If set to false, the tactical icons will only show when holding down SHIFT","해제 시, SHIFT 키를 누르고 있을 때만 전술 아이콘이 표시됩니다"
TACTICAL GRID,전술 그리드
Whether or not the game shows a grid along with the tactical icons when activated during combat,전투 중 전술 아이콘이 활성화될 때 그리드를 함께 표시할지 여부를 설정합니다
SHOW STEALTH INFO,은신 정보 표시
Setting this to Enabled will show a tooltip box containing info on light levels and stealth modifiers for tiles when you right click them,활성화 시 타일을 우클릭하면 해당 타일의 조도 및 은신 보정치 정보를 포함한 툴팁이 표시됩니다
COMBAT POP-UP LENGTH,전투 팝업 지속 시간
This adjusts how long the on-screen combat pop-up text lingers,전투 중 화면에 나타나는 팝업 텍스트가 유지되는 시간을 조절합니다
"Note that a turn does not progress until all the characters pop-up text is gone, so adjusting this number will also adjust how quickly combat turns pass","모든 캐릭터의 팝업 텍스트가 사라질 때까지 턴이 진행되지 않으므로, 이 수치를 조절하면 전투 턴의 진행 속도도 조절됩니다"
TUTORIALS,튜토리얼
