original,translate
Select,선택
Abort,중단
Pick a Difficulty,난이도 선택
Character Creation,캐릭터 생성
Class,직업
Background,배경
Attributes,능력치
Appearance,외형
Welcome to character creation!,캐릭터 생성에 오신 것을 환영합니다!
Start by picking a DIFFICULTY for your playthrough,플레이할 난이도를 선택하여 시작하십시오
Are you sure you want to abort?,정말 중단하시겠습니까?
Difficulty can be changed during play,난이도는 게임 플레이 중에 변경할 수 있습니다
Bard,음유시인
Battlemagos,전투 마법사
Champion,챔피언
Hierophant,대사제
Hospitaller,구호 기사
Officer,지휘관
Ranger,순찰자
Thief,도둑
Select a Class,직업 선택
ARMSMASTER,무기 전문가
Archetype,원형
Warrior,전사
The Main Attribute for this Class is Strength,이 직업의 주 능력치는 힘입니다
Start,시작
DP,DP
HP/Lvl,HP/레벨
Magic/Lvl,마법/레벨
May use any armor,모든 방어구 사용 가능
"May use all weapons of type Blade, Axe, Club and Bow","검, 도끼, 곤봉, 활 유형의 모든 무기 사용 가능"
"Next, select a CLASS for your character!","다음으로, 캐릭터의 직업을 선택하십시오!"
Classes define a character's role in the party by adding certain exclusive abilities,직업은 특정 전용 능력을 추가하여 파티 내 캐릭터의 역할을 정의합니다
DEVELOPMENT POINTS,개발 점수
Development Points are gained when leveling up and used to buy ranks in Feats,"개발 점수는 레벨 업 시 획득하며, 재주 등급을 구매하는 데 사용됩니다"
This unlocks new Abilities for the Character making them more powerful,이를 통해 캐릭터의 새로운 능력을 잠금 해제하여 더욱 강력하게 만듭니다
MAIN ATTRIBUTE,주 능력치
The Main Attribute is the Attribute that is the most important for this Class,주 능력치는 해당 직업에 가장 중요한 능력치입니다
STRENGTH,힘
Attribute - Primary,능력치 - 주
A measure of a character's brawn and physical power,캐릭터의 근력과 신체적 힘을 나타내는 척도입니다
ATTUNEMENT PER LEVEL,레벨당 마력 조율
"Indicates how much of the game’s Magic resource, Attunement, is gained every time the character levels up","캐릭터가 레벨 업할 때마다 게임의 마법 자원인 '마력 조율'을 얼마나 획득하는지 나타냅니다"
VITALITY PER LEVEL,레벨당 활력
"Indicates how much of the game’s Hitpoint resource, Vitality, is gained every time the character levels up","캐릭터가 레벨 업할 때마다 게임의 체력 자원인 '활력'을 얼마나 획득하는지 나타냅니다"
BARD,음유시인
Rogue,도적
The Bard mixes the Rogue’s decent combat skills and high maneuverability with the use of arcane magic,음유시인은 도적의 전투 기술 및 높은 기동성을 비전 마법과 혼합하여 사용합니다
The Main Attribute for this Class is Presence,이 직업의 주 능력치는 존재감입니다
May wear Light armor,경갑 착용 가능
"May use Light and Medium weapons of type Blade, Axe, Club and Bow","검, 도끼, 곤봉, 활 유형의 소형 및 중형 무기 사용 가능"
ROGUE,도적
The Rogue combines important non-combat skills with a large damage output against single targets,도적은 중요한 비전투 기술과 단일 대상에 대한 높은 피해량을 겸비하고 있습니다
BATTLEMAGOS,전투 마법사
"Unlike other Magi, they also get access to a few basic combat-related Feats and may wear light armor","다른 마법사들과 달리, 이들은 몇 가지 기초적인 전투 관련 재주를 사용할 수 있으며 경갑을 착용할 수 있습니다"
The Main Attribute for this Class is Intellect,이 직업의 주 능력치는 지능입니다
"May use Light weapons of type Blade, Club and Bow","검, 곤봉, 활 유형의 소형 무기 사용 가능"
CHAMPION,챔피언
Cleric,성직자
The Champion is a Cleric who excels in the use of blades and armor whilst still having limited divine spell-casting abilities,챔피언은 검과 방어구 사용에 뛰어나면서도 제한적인 신성 주문 시전 능력을 갖춘 성직자입니다
May use all weapons of type Blade and Club,검과 곤봉 유형의 모든 무기 사용 가능
GUILD-MAGOS,길드 마법사
This comes at the cost of having absolutely no combat related Feats,이는 전투 관련 재주를 전혀 가질 수 없다는 대가를 치릅니다
May not wear armor,방어구 착용 불가
HIEROPHANT,대사제
A Hierophant is a Cleric who can develop all the different Divine Spell Schools fully,대사제는 모든 다양한 신성 마법 학파를 완전히 개발할 수 있는 성직자입니다
May use Light and Medium weapons of type Club,곤봉 유형의 소형 및 중형 무기 사용 가능
HOSPITALLER,구호 기사
The Hospitaller is a Cleric who serves as a front line healer,구호 기사는 최전선 치유사 역할을 하는 성직자입니다
"Well armed and armored, they can stand their ground against overwhelming foes whilst also getting access to the highest tiers of the Body Magic School","잘 무장하고 갑옷을 갖춰 입었으며 신체 마법 학파의 최상위 티어에 접근할 수 있어, 압도적인 적들에 맞서 자리를 지킬 수 있습니다"
OFFICER,지휘관
The Officer is a skilled warrior who serves as a force multiplier through their tactical skills,지휘관은 전술적 기술을 통해 아군의 전력을 증강시키는 숙련된 전사입니다
"Issuing orders across the battlefield, they vastly improve the performance of their fellow party-members","전장에 명령을 내려 동료 파티원들의 성능을 크게 향상시킵니다"
RANGER,순찰자
The Ranger is a Warrior specializing in ranged combat and with access to limited nature magic,순찰자는 원거리 전투에 특화되어 있으며 제한적인 자연 마법을 사용할 수 있는 전사입니다
THIEF,도둑
The Thief is a Rogue who uses Stealth to set up devestating Backstab attacks,도둑은 은신을 사용하여 파괴적인 기습(Backstab) 공격을 준비하는 도적입니다
The Main Attribute for this Class is Agility,이 직업의 주 능력치는 민첩입니다
STEALTH,은신
Attribute - Skill,능력치 - 기술
Stealth is used during adventuring,은신은 모험 중에 사용됩니다
In particular it determines if NPCs notice the party as it moves around,특히 파티가 이동할 때 NPC가 이를 알아차릴 수 있는지를 결정합니다
AGILITY,민첩
"A measure of hand-eye coordination, nimbleness and dexterity","눈과 손의 협응력, 전반적인 날렵함과 손재주를 나타내는 척도입니다"
BACKSTAB,기습 (Backstab)
A character that has activated the Ability to Backstab will automatically perform Backstabbing Attacks against opponents that are either Flanked or Vulnerable,기습 능력을 활성화한 캐릭터는 [측면 공격] 당했거나 [취약함] 상태인 적에게 자동으로 기습 공격을 수행합니다
A successful Backstab Attack adds the character’s Backstab Bonus Multiplied by the Weapon’s Crit Modifier to the damage roll,기습 공격에 성공하면, 캐릭터의 기습 보너스에 무기의 치명타 배수를 곱한 값이 피해량에 추가됩니다
FLANKING,측면 공격
A character can be Flanked if opponents occupy the tile above and below it or to the left and right of it,적이 캐릭터의 위/아래 또는 좌/우 타일을 점유하면 해당 캐릭터는 [측면 공격] 상태가 됩니다
Attacking a Flanked target allows the Attacker to add their Flanking Bonus to the Attack Roll,측면 공격 상태인 대상을 공격하면 공격자는 자신의 [측면 공격 보너스]를 공격 굴림에 추가할 수 있습니다
Rogues may Backstab Flanked Characters,도적은 측면 공격 상태인 캐릭터에게 기습을 가할 수 있습니다
BACKSTAB BONUS,기습 보너스
"If a successful Backstab Attack is performed, this Attribute is multiplied by the Weapon’s Crit multiplier and added to the total Damage","기습 공격에 성공하면, 이 속성값에 무기의 치명타 배수를 곱한 값이 총 피해량에 추가됩니다"
VULNERABLE,취약함
A Vulnerable character cannot defend themselves,취약한 캐릭터는 스스로를 방어할 수 없습니다
This makes them much easier to hit and it also means they can be Backstabbed,이로 인해 훨씬 맞히기 쉬워지며, 기습당할 수도 있습니다
WARRIOR,전사
A Warrior is a front-line fighter who can take and deal large amounts of damage,전사는 최전선에서 싸우며 큰 피해를 견디고 입힐 수 있는 투사입니다
PRESENCE,존재감
A character's ability to read and react to the surrounding environment and people,주변 환경과 사람들을 읽고 반응하는 캐릭터의 능력입니다
ATTUNEMENT,마력 조율
Attribute - Magic,능력치 - 마법
CLERIC,성직자
The Cleric offers close-range support to their party through close ranged buffs and restorative spells,성직자는 근거리 강화 효과와 회복 주문을 통해 파티에 근접 지원을 제공합니다
BODY MAGIC SCHOOL,신체 마법 학파
The value of this attribute indicates the highest Spell Tier of Body magic spells you may cast,이 속성값은 시전할 수 있는 신체 마법 주문의 가장 높은 티어를 나타냅니다
SPELL TIER,주문 티어
"By studying different Schools of Spellcasting, a character gains Spell Tiers in that School","다양한 주문 시전 학파를 연구함으로써 캐릭터는 해당 학파의 주문 티어를 얻습니다"
Spell Tiers qualify a character to learn spells and different spells have different Tier requirements,주문 티어는 캐릭터가 주문을 배울 자격을 부여하며, 주문마다 요구하는 티어가 다릅니다
MAGOS,마법사
"The Magos is a ranged strikers that can cast powerful, and often destructive, spells",마법사는 원거리에서 강력하고 종종 파괴적인 주문을 시전하는 공격 담당입니다
INTELLECT,지능
"Mental acuity, recall and analytical skill","정신적 예리함, 기억력, 분석 기술을 나타냅니다"
FIRE MAGIC SCHOOL,화염 마법 학파
The value of this attribute indicates the highest Spell Tier of Fire magic spells you may cast,이 속성값은 시전할 수 있는 화염 마법 주문의 가장 높은 티어를 나타냅니다
Acolyte,수습 사제
Courtier,궁정인
Entertainer,유랑 예인
Ex-Legionary,전직 군단병
Guilder,길드원
Laborer,노동자
Monastic,수도사
Noble,귀족
Nomad,유목민
Snake-Cultist,뱀 숭배자
Street Rat,부랑아
Thug,폭력배
Vagabond,방랑자
Wildling,야인
Select a Background,배경 선택
ACOLYTE,수습 사제
