original,translate
#Beds,#침대
Bed,침대
Bedroll,침낭
#Containers,#보관함
Armor Stand,방어구 거치대
Armor Stands,방어구 거치대
Backpack,배낭
Arrows,화살
A Barrel,평범한 통입니다. 참 투박하군요!
"A barrel of standard Imperial measurements, used to carry cargo on Guild ships","길드 선박의 화물 운송에 사용되는 제국 표준 규격의 통입니다"
Barrels,통
Bookshelf,책장
Box,상자
A solid box,단단한 상자입니다
Brandy Crates,브랜디 상자
Cabinet,캐비닛
A Chest,상자
A sturdy wooden chest,튼튼한 나무 상자입니다
A shoddy wooden chest,조잡한 나무 상자입니다
Cocoon,고치
The Butcher,도살자
Corpse,시체
Sailor's Corpse,선원의 시체
Kala,칼라
Oleg,올렉
Mauled Corpses,훼손된 시체들
A Crate,나무 상자
A well made wooden crate that carries the brand of the Nautical Guild,항해 길드의 인장이 찍힌 잘 만들어진 나무 상자입니다
Crates,나무 상자들
Small wooden crates,작은 나무 상자들
Alcove,벽감
Shelves,선반
Desk,책상
Apothecary's Desk,약제사의 책상
Flower,꽃
Secret Compartment,비밀 공간
Your Luggage,당신의 짐
A very sturdy wooden chest,매우 튼튼한 나무 상자입니다
A sturdy chest,튼튼한 상자입니다
Table of Notes,메모가 있는 탁자
Sacks,자루 몇 개
Sarcophagus,석관
Reagent Shelf,시약 선반
Smuggler's Corpse,밀수업자의 시체
Table,탁자
Surgical Tools,수술 도구 세트
#Decoratives,#장식물
Cave-In,함몰
Aquarium,수족관
Cauldron,가마솥
An empty cauldron,빈 가마솥입니다
Eyes,눈!
Fountain,분수
Glowstaff,발광 지팡이
Reefs,암초
Empty Grave,빈 무덤
Pile of Straw,짚더미
Infestation,감염
Ancient Pottery,고대 도자기
"Ancient clay pottery covered in strange, ornate circular patterns","기이하고 화려한 원형 패턴으로 뒤덮인 고대 점토 도자기입니다"
Hole,구멍
Scarecrow,허수아비
#Doors,#문
Barred Gate,빗장 걸린 문
Door,문
Gate,관문
A Door,문
A double wooden door,양쪽 여닫이 나무문입니다
A simple wooden door,평범한 나무문입니다
A flimsy wooden door,부실한 나무문입니다
A Hidden Door,숨겨진 문
Stone Slab,석판
"A massive, reinforced door","거대하고 강화된 문입니다"
This door appears to be barricaded from the other side,이 문은 반대편에서 막혀 있는 것 같습니다
It cannot be opened from this side,이쪽에서는 열 수 없습니다
Barred Door,빗장 걸린 문
Inn Door,여관 문
Portal,차원문
Web,거미줄
The web of some giant arachnid,거대 거미의 거미줄입니다
#Inspectables,#조사 가능 물체
The piece of paper seems to contain a work order,이 종이는 작업 지시서로 보입니다
"and as can clearly be observed, the tunnel’s support pillar is close to giving in","...명백히 관찰되듯이, 터널의 지지 기둥이 거의 무너지기 직전입니다"
