original,translate
#Main Quests,#메인 퀘스트
A Twilight Meeting,황혼의 만남
I’ve been summoned to the estate of the lord Cato Berryn,카토 베린 경의 영지로 소환되었다
My father’s old patron,아버지의 옛 후원자이신 분이다
"Though I grew up here, I’ve not been back for decades due to the unfortunate manner in which my father left the service of House Berryn","이곳에서 자랐지만, 아버지가 베린 가문을 떠나게 된 불행한 사정 때문에 수십 년 동안 돌아오지 못했었다"
I do not know why Cato summons me now and I must venture to find out,"카토 경이 왜 지금 나를 불렀는지 모르겠지만, 직접 가서 알아내야 한다"
The lord Berryn has tasked me to find his daughter,베린 경은 내게 자신의 딸을 찾아달라는 임무를 맡겼다
"My childhood friend, Embal","내 어린 시절 친구, 엠블라를 말이다"
Rescue Embla,엠블라 구출
"My father's old patron, Lord Cato Berryn, has tasked me to rescue his daughter from the island of Idra","아버지의 옛 후원자인 카토 베린 경은 이드라 섬에서 자신의 딸을 구출해 달라고 내게 임무를 맡겼다"
She was last seen in the city of Horryn and I must search for clues as to her fate,그녀는 호린 시에서 마지막으로 목격되었으므로 그곳에서 그녀의 행방에 대한 단서를 찾아야 한다
I found Embla in the town of Horryn,호린 마을에서 엠블라를 찾았다
Events have conspired however to make it impossible to return to the mainland,하지만 불행한 사건들이 겹쳐 본토로 돌아갈 수 없게 되었다
Instead we must venture to end the madness that has engulfed the region,"대신, 이 지역을 집어삼킨 광기를 끝내기 위해 모험을 떠나야 한다"
This quest has failed,퀘스트 실패
Refugees of Horryn,호린의 난민들
"Marcus the Chamberlain, the de-facto leader of the refugees, has pleaded with me to help the camp","난민들의 실질적인 지도자인 시종장 마르쿠스는 내게 캠프를 도와달라고 간청했다"
Food is running low and he’s requested I talk to Frantzo,식량이 부족하니 프란초와 이야기해 보라고 했다
There is also a disease outbreak in camp and I should talk to Drahl the cleric about that,"또한 캠프에 질병이 돌고 있으니, 이에 대해 성직자 드랄과 상의해야 한다"
Both can be found in the camp,두 사람 모두 캠프 내에서 찾을 수 있다
I’ve done what I can for the camp and the refugees have certainly been given a fighting chance,"캠프와 난민들을 위해 할 수 있는 일은 다 했고, 이제 그들에게도 살아남을 희망이 생겼을 것이다"
Mouths to Feed,먹여 살려야 할 입들
"Frantzo, the camp’s cook and de-facto quartermaster, needs me to find food supplies for the refugees","캠프의 요리사이자 실질적인 병참 장교인 프란초는 난민들을 위한 식량을 구해달라고 했다"
He needs a large supply of it and soon as people have begun dying from starvation,사람들이 굶어 죽기 시작했으므로 대량의 식량이 시급하다
I’ve provided the Frantzo with the food he needs to keep the refugees fed for the foreseeable future,당분간 난민들을 먹여 살릴 수 있을 만큼의 식량을 프란초에게 제공했다
Jakub's Goats,야쿱의 염소들
