original,translate
#General,#General
Prologue,프롤로그
Chapter,장
Quest Completed,퀘스트 완료
Two Weeks Earlier,2주 전
Quest Started,퀘스트 시작
#,#
# Books,# Books
#,#
#DeadSmugglerJournal,#DeadSmugglerJournal
I hate these jobs,이런 일은 정말 질색이야.
Dropped off and told to guard the cargo until the next ship picks you up,내려놓고 다음 배가 올 때까지 화물을 지키라니.
And in this bloody cave no less,그것도 이 빌어먹을 동굴 안에서 말이야.
I sometimes think the Imperial dungeons would be preferable,차라리 제국 지하 감옥이 낫겠다는 생각이 들 정도군.
Read on,계속 읽기
Leave,떠나기
We spent some time exploring the cave today and it seems there is a side tunnel,오늘 동굴을 좀 둘러봤는데 샛길이 있는 것 같다.
"It's blocked off but if we had a pickaxe, I'm certain we could clear in with ease",막혀 있긴 하지만 곡괭이만 있다면 쉽게 뚫을 수 있을 것 같아.
Bryn says the area gives him the chills and that we better keep away,브린은 그곳이 으스스하다며 가까이 가지 않는 게 좋겠다고 한다.
Coward!,겁쟁이 녀석!
Golden dead!,황금과 시체라니!
Bryn got attacked by a crab the size of a warhound today!,오늘 브린이 군견만 한 게에게 공격당했다!
Nearly took his leg off!,하마터면 다리가 잘릴 뻔했어!
Neither of us have seen anything like it before and we can only pray it was alone!,우리 둘 다 그런 건 처음 봤다. 그 녀석 혼자였기만을 기도할 뿐이다!
Hope the ship won't be delayed much longer,배가 너무 늦지 않았으면 좋겠는데.
Bryn is gone,브린이 사라졌다.
"Tore him up, they did!",놈들이 그를 갈갈이 찢어놨어!
No way out and no one is coming for me!,나갈 길은 없고, 날 구하러 올 사람도 없어!
Light is failing,빛이 꺼져가고 있다.
Mother,어머니...
#IntroSurgeonJournal,#IntroSurgeonJournal
Surgeon's Journal,외과 의사의 일지
Written on the day of departure from mainland,본토를 떠나는 날 작성함.
Left Adler's Helm today with a full cargo of passengers,오늘 아들러 헬름을 떠났다. 승객이 가득 찼다.
Mercenaries by the looks of it,보아하니 용병들인 것 같다.
Paid well,보수는 넉넉하다.
Ship was dispatched by Guild before we could fully restock medical supplies,의료품을 완전히 보충하기도 전에 길드에서 배를 출항시켰다.
Hopefully we won't need them,쓸 일이 없기를 바랄 뿐이다.
"Then again, our passengers make me uneasy",하지만 승객들을 보면 불안한 마음이 든다.
Writtern 5 days ago,5일 전 작성함.
Brawl in mess - had to set nose,식당에서 싸움이 나서 코뼈를 맞춰줘야 했다.
Men seem on edge,사람들이 예민해져 있는 것 같다.
"Also, Igan came to me today with a bite-wound that he sustained whilst working in the hold",또 오늘 이간이 선창에서 일하다 물렸다며 찾아왔다.
Didn't see creature and I would say it was a rat's bite if it weren't for the size and some aspect of the dentition that I find hard to explain properly,무슨 생물인지 보지는 못했다고 하는데, 크기나 말로 설명하기 힘든 치아 자국만 아니었다면 쥐에게 물린 거라고 생각했을 것이다.
I recommend captain sends detail to capture and kill creature,선장에게 인원을 보내 그 생물을 잡아 죽이라고 건의했다.
Written two days ago,이틀 전 작성함.
Was visited today by navigator Aslam,오늘 항해사 아슬람이 찾아왔다.
He asked for Whitefern - a sedative,진정제인 화이트펀을 달라고 했다.
Claimed he had trouble sleeping,잠을 잘 못 잔다고 하더군.
"Suspected he was not fully forthcoming and when pushed, he mumbled something about the stars being 'odd'",뭔가 숨기는 눈치라 추궁했더니, 별들이 '이상하다'는 둥 웅얼거렸다.
Not sure what he meant and he left before I could push him further,무슨 뜻인지 모르겠지만, 더 묻기도 전에 그는 자리를 떴다.
Written today,오늘 작성함.
Men are about to break,사람들이 무너지기 직전이다.
We cannot maintain our course for Idra,이드라로 향하는 항로를 유지할 수 없다.
Captain advised me today to make ready the surgery and to expect casualties,선장은 오늘 내게 수술실을 준비하고 사상자가 발생할 것에 대비하라고 했다.
I suspect he intends to inform our passengers that he refuses to land on the island,그 섬에 상륙하지 않겠다고 승객들에게 알릴 작정인 것 같다.
If this is my last,이게 내 마지막 기록이라면,
The entry trails off,기록은 여기서 끊겨 있다.
#,#
# Chapter_0,# Chapter_0
#,#
#IntroBerrynGuard,#IntroBerrynGuard
A guardsman dressed in the livery of the noble house Berryn,베린 귀족 가문의 제복을 입은 경비병이다.
The guard scowls somewhat at you,경비병이 당신을 보며 찌푸린 표정을 짓는다.
Armsmaster Lyra awaits you at the main entrance,무기술사 라이라 님께서 정문에서 기다리고 계십니다.
You best talk to her if you've not already done so,아직 안 만나보셨다면 어서 가보시는 게 좋을 겁니다.
You'll find the kitchen in the eastern end of the courtyard,주방은 안뜰 동쪽 끝에 있습니다.
The garden and hedge-maze is to the west,정원과 미로는 서쪽에 있고요.
And I needn't remind you that it's a poor idea to enter the maze without a lantern,등불 없이 미로에 들어가는 건 어리석은 짓이란 건 굳이 말씀 안 드려도 아시겠죠.
Have a good evening m'lord,좋은 저녁 되십시오, 나리.
Have a good evening m'lady,좋은 저녁 되십시오, 아가씨.
#IntroCato,#IntroCato
Cato stands - with poorly concealed effort,카토가 힘겨운 기색을 애써 감추며 일어선다.
And {PLAYER},그리고 {PLAYER},
"You stand, and meet his gaze","당신은 서서 그의 시선을 마주한다"
Return her to me,그 아이를 내게 데려와 주게.
There is no other outcome of this affair,이 일에 다른 결과란 있을 수 없네.
"Shake his hand, and leave","악수를 하고 떠난다"
"Remain silent, and leave","침묵을 지키며 떠난다"
"You have my word, Cato","약속하죠, 카토."
LEAVE,떠나기
Cato Berryn,카토 베린
"Cato Berryn sits tall in a tasteful, but modest reception room","카토 베린이 고상하지만 검소한 응접실에 꼿꼿이 앉아 있다."
He looks less imposing than you remember - and with a few more crow's feet,기억 속에 남아 있던 위압적인 모습은 덜하고, 눈가엔 주름이 좀 더 늘었다.
"Nonetheless, he's lost none of his composure or air of casual authority","그럼에도 그의 침착함과 자연스럽게 배어 나오는 권위는 여전하다."
Continue,계속
You take a seat across a formidable desk from him,당신은 그와 묵직한 책상을 사이에 두고 마주 앉는다.
"This study, like the rest of the villa, is half-lit, giving a morose cast to its opulence","이 서재는 저택의 다른 곳과 마찬가지로 어스름해서, 화려함 속에 침울한 기운이 감돈다."
"The older man's face creases into a tired, but genuine smile, which momentarily lifts some of the room's oppressive mood","노인의 얼굴에 지쳤지만 진심 어린 미소가 번지자, 방 안의 무거운 공기가 잠시나마 가벼워진다."
"It's a mercy to see you again - your own man, and in your prime","다시 보게 되어 다행이군. 이제 어엿한 사내로서 한창때가 되었어."
"Cato says, before a frown consumes his smile","카토가 말한다. 이내 미소는 찌푸린 표정으로 바뀐다."
It's just a shame our reunion is overshadowed by the fates of those we love,우리가 사랑하는 이들의 운명 때문에 재회가 빛을 잃어 안타까울 뿐이네.
"But perhaps, together, we can yet improve our collective circumstances?","하지만 우리가 함께라면 상황을 개선할 수 있지 않겠나?"
It's a mercy to see you again - your own woman and in your prime,"다시 보게 되어 다행이군. 이제 어엿한 여인으로서 한창때가 되었어."
Why have you summoned me?,왜 저를 부르셨습니까?
"So, you know my Father is dead","아버지가 돌아가신 건 알고 계시죠."
"Cato leans forward, hands clasped beneath his chin","카토가 턱을 괸 채 몸을 앞으로 기울인다."
I shan't deny it,부정하진 않겠네.
I was saddened to hear of his passing,그가 세상을 떠났다는 소식을 듣고 슬펐다네.
"Despite everything, I remember him fondly","모든 일에도 불구하고, 난 그를 좋게 기억하고 있어."
