original,translate
#Lore,#배경지식
Adler's Helm,아들러의 투구
Adler's Helm is a mining town and the main settlement on Gradla,아들러의 투구는 광산 마을이자 그라들라의 주요 정착지입니다
House Berryn,베린 가문
The House of Berryn is one of the richest and most influential houses in the North,베린 가문은 북부에서 가장 부유하고 영향력 있는 가문 중 하나입니다
The current head is the lord Cato Berryn,현재 가주는 카토 베린 경입니다
Erdahn,에르단
The continent where the Gallian Empire rose,갈리아 제국이 발흥한 대륙입니다
The central portion of Erdahn is known as 'the Heartland',에르단의 중앙 부분은 '심장부(Heartland)'로 알려져 있습니다
Eryll,에릴
A mid-sized island to the north of Idra,이드라 북쪽에 위치한 중간 크기의 섬입니다
The only settlement on Eryll is the village of Firgol,에릴의 유일한 정착지는 피르골 마을입니다
The Eternity Vale,영원의 계곡
The sacred valley containing the mausoleums of dead Emperors,죽은 황제들의 영묘가 있는 신성한 계곡입니다
The site is a source of immense magical energy and as such it is fervently guarded and maintained by the Court of the Magi,이곳은 막대한 마법 에너지의 원천이며 마법사 의회에 의해 철저하게 경비되고 관리됩니다
Excubitor,엑스큐비터 (불침번)
Excubitors are the personal guard of the Emperors and the only humans to see them without their masks,엑스큐비터는 황제의 친위대이며 가면을 쓰지 않은 황제를 볼 수 있는 유일한 인간들입니다
The name literally means “the ones out of bed” as it is said that they never sleep,이름은 문자 그대로 ""침대 밖에 있는 자들""을 의미하는데, 그들이 절대 잠을 자지 않는다고 전해지기 때문입니다
Firgol,피르골
Firgol is a small village on the island of Eryll,피르골은 에릴 섬에 있는 작은 마을입니다
Firgol is known for its orchards,피르골은 과수원으로 유명합니다
Free-Lenders Guild,대금업자 길드
A league of independent banks and financial institutions that have grown to prominence within the Empire in recent years,최근 몇 년 동안 제국 내에서 두각을 나타낸 독립 은행 및 금융 기관들의 연합입니다
Freythen,프레이든
A group of separatists who are plotting for the eventual overthrow of Imperial power in the Freymark,프레이마크에서 제국 권력을 전복시키려고 획책하는 분리주의자 집단입니다
Gallian the Great,대제 갈리안
Gallian,갈리안
Gallian the Great was the first Emperor and founder of the Empire more than three millennia ago,대제 갈리안은 3천 년 전 제국을 세운 초대 황제입니다
Gallian’s origin and much of his life is shrouded in mystery and apocrypha but it is written he came from the south and brought the laws of men and magics to the savage warlords of the Heartlands,"갈리안의 출신과 생애 대부분은 수수께끼와 외경에 싸여 있지만, 그가 남쪽에서 왔으며 심장부의 야만적인 군주들에게 인간의 법과 마법을 가져왔다고 기록되어 있습니다"
It is also said that he was born of three women and at the end of his reign did not die but rather became one with the reticulum,또한 그는 세 명의 여인에게서 태어났으며 통치 말기에 죽지 않고 레티큘럼과 하나가 되었다고 전해집니다
See Gallian’s Ascension,'갈리안의 승천' 참조
The Gallian Empire,갈리아 제국
Gallian Empire,갈리아 제국
A large but waning empire founded nearly 3000 years ago by the mythical first Emperor,신화적인 초대 황제에 의해 약 3000년 전에 세워진 거대하지만 쇠퇴하고 있는 제국입니다
Gallian’s Ascension,갈리안의 승천
"At the end of the reign of the first emperor, Gallian, he is said to have ascended and become one with the reticulum","초대 황제 갈리안은 통치 말기에 승천하여 레티큘럼과 하나가 되었다고 전해집니다"
"This was taken as a sign of not only his divinity, but the divinity and legitimacy of every Magos-Emperor since then","이것은 그의 신성함뿐만 아니라 그 이후의 모든 마법사 황제의 신성함과 정통성을 나타내는 징표로 받아들여졌습니다"
Gallian’s Ascension (GA) is used today as the start of the modern Imperial Calendar,"갈리안의 승천(GA)은 오늘날 현대 제국력의 기원으로 사용되며, 연도는 약어 ""GA""로 표기합니다"
Gradla,그라들라
"The northernmost island of the Outer Isles, Gradla is cold and barren","외곽 제도의 최북단 섬인 그라들라는 춥고 척박하며 사람이 거의 살지 않는 땅입니다"
"It’s sparsely settled and legend has it, it’s the site of the ruined monastery known as the Black Priory","전설에 따르면, 이곳은 검은 수도원이라고만 알려진 폐허가 된 수도원이 있는 곳이라고 합니다"
The only main settlement on Gradla is Adler's Helm,그라들라의 유일한 주요 정착지는 아들러의 투구입니다
Horryn,호린
A once prosperpus port and fishing village on the island of Idra,이드라 섬에 있는 한때 번영했던 항구이자 어촌 마을입니다
Hyalomancers,유리술사
Hyalomancers are Imperial magi specializing in the crafting of glass,유리술사는 유리 공예를 전문으로 하는 제국 마법사입니다
Idra,이드라
The main island of the Outer Isles,외곽 제도의 본섬입니다
Its main settlement is the port of Horryn,주요 정착지는 호린 항구입니다
The Outer Isles,외곽 제도
A North-Easterly archipelago that serves as a mid-way point between the Gallian Empire and its colonies,갈리아 제국과 식민지 사이의 중간 지점 역할을 하는 북동쪽 군도입니다
Its main port is located on the island of Idra,주요 항구는 이드라 섬에 위치해 있습니다
Reticulum,레티큘럼
The field of arcane energies that surrounds the planet of Warda,와르다 행성을 둘러싼 비전 에너지 장입니다
The Reticulum is the source of all power for the Imperial Magi,레티큘럼은 제국 마법사들의 모든 힘의 원천입니다
Sepulchites,세풀카이트
An Imperial religious order tasked with caring for the dead,망자를 돌보는 임무를 맡은 제국의 종교 단체입니다
Sylver,실버
A rare metal with strong reticular properties,강력한 레티큘럼 친화적 특성을 지닌 희귀 금속입니다
Used in the construction of arcane machinery and artifacts,비전 기계 장치와 유물을 제작하는 데 사용됩니다
Vauul,바울
Vauul is the Imperial capital and seat of the Magi-Emperors,바울은 제국의 수도이자 마법사 황제들이 거주하는 곳입니다
Warda,와르다
The planet upon which you find yourself,당신이 있는 행성입니다
Noticeable for the presence of the Reticulum,레티큘럼의 존재가 특징입니다
The dominant ruling power is the Gallian Empire,지배적인 통치 세력은 갈리아 제국입니다
#Rules,#규칙
Simulates rolling and adding up two six-sided dice,6면체 주사위 두 개를 굴려 합산하는 것을 시뮬레이션합니다
In other words a 2d6 roll generates a number between 2 and,"즉, 2d6 굴림은 2에서 12 사이의 숫자를 생성합니다"
Accuracy,정확도
Accuracy is added to an attacker’s Attack Roll when trying to hit an opponent,정확도는 적을 맞히려 할 때 공격자의 공격 굴림에 더해집니다
Accuracy is typically derived from a weapon’s quality,정확도는 일반적으로 무기의 품질에서 비롯됩니다
Armor Piercing,방어구 관통
An attack that is Armor Piercing ignores the target’s Soak value,방어구 관통 공격은 대상의 피해 흡수 수치를 무시합니다
This means that the damage is not reduced by armor,즉, 방어구에 의해 피해가 감소하지 않습니다
Attack Roll,공격 굴림
The Attack Roll is calulated in the following way,공격 굴림은 다음 방식으로 계산됩니다:
2d6 + Melee To Hit / Ranged To Hit + Misc,2d6 + (근접 명중 / 원거리 명중) + 기타
Bonuses + Accuracy Bonuses,보너스 + 정확도 보너스
Attunement per Level,레벨당 마력 조율
"Indicates how much of the game’s Magic resource, Attunement, is gained every time the character levels up","캐릭터가 레벨 업할 때마다 게임의 마법 자원인 '마력 조율'을 얼마나 획득하는지 나타냅니다"
Backstab,기습 (Backstab)
