original,translate
#Colors,#색상
Black,검정
Blue,파랑
Light Blue,연한 파랑
Brown,갈색
Light Brown,연한 갈색
Cyan,청록색
Gray,회색
DarkGray,짙은 회색
Light Gray,연한 회색
Green,초록
Light Green,연두색
Red,빨강
Light Red,분홍
Violet,보라
White,흰색
Yellow,노랑
"The major, defining attributes for the character",캐릭터를 정의하는 주요 능력치입니다
These influence most other attributes in the game,게임 내 대부분의 다른 능력치에 영향을 줍니다
Cancel,취소
All progress will be lost,모든 진행 상황이 손실됩니다
Disable,비활성화
Loot,전리품
Inv,인벤
Container,보관함
Get All,모두 획득
Transfer Stack,묶음 이동
Transfer Item,아이템 이동
Unequip,장착 해제
Place development points in them (gained as you level up) to gain benefits and new Abilities,"레벨 업으로 획득한 개발 점수를 투자하여 새로운 능력을 얻고 추가 혜택을 받을 수 있습니다"
Save and Exit,저장 후 종료
Male Human,인간 남성
Woman Human,인간 여성
Xp To Go,남은 경험치
Active Conditions,현재 상태
Move Character,캐릭터 이동
Overcast Night,흐린 밤
Can be removed by magic,마법으로 제거 가능
Adds Status Tag,상태 태그 추가
This list will only show entries with non-zero values,이 목록은 0이 아닌 값을 가진 항목만 표시합니다
The amount of experience to go until the character levels up,캐릭터가 레벨 업할 때까지 남은 경험치 양입니다
The current level of this character,이 캐릭터의 현재 레벨입니다
Cast a spell,주문 시전
There are no weapons nearby to attack,공격할 무기가 주변에 없습니다
You can't enter combat without enemies within combat range,전투 범위 내에 적이 없으면 전투에 돌입할 수 없습니다
You wait a short while,잠시 기다립니다
Pass a turn,턴 넘기기
Recipes,제작법
Workstation,작업대
Craft,제작
Clear,비우기
You currently don't have any recepies to add to the crafting table,작업대에 추가할 제작법이 없습니다
Try experimenting with ingredients or look for recipes in the world,재료로 실험을 하거나 세상 곳곳에서 제작법을 찾아보세요
An unknown recipe,알려지지 않은 제작법
POTION OF STRENGTH RECIPE,힘의 물약 제작법
"To craft items, you must add ingredients to the crafting grid","아이템을 제작하려면 제작 그리드에 재료를 추가해야 합니다"
Do this by double-clicking on ingredients from your inventory,인벤토리의 재료를 더블 클릭하여 추가하십시오
Clicking a recipe to view ingredients required,제작법을 클릭하여 필요한 재료를 확인하십시오
Green recipes are available,녹색 제작법은 제작 가능합니다
No crafting ingredients added!,제작 재료가 추가되지 않았습니다!
This is not a valid recipe!,유효한 제작법이 아닙니다!
DICE ROLL TEST,주사위 굴림 판정
Roll Dice,주사위 굴림
+ 2d6,+ 2d6
must roll,굴려야 함
or above on 2d6 to succeed on this,(이어서) 2d6 굴림에서 이 값 이상이 나와야
skill check!,기술 판정에 성공합니다!
Pick,따기
Force,부수기
Pick or force the lock until its HP reaches zero,HP가 0이 될 때까지 자물쇠를 따거나 부수십시오
Party has,파티 보유:
You cannot rest anywhere in this area,이 구역에서는 휴식할 수 없습니다
You must look for a suitable camp-site elsewhere,다른 곳에서 적절한 야영지를 찾아야 합니다
Use,사용
Adventuring,모험
SUCCESS,성공
beats Difficulty,난이도 초과 달성
You bring glory upon thine Ancestors!,조상님들께 영광을 돌립니다!
{ITEM} Recipe,{ITEM} 제작법
A recipe for crafting {ITEM},{ITEM} 제작을 위한 제작법
Ingredients,재료
{PLAYER} has a Crafting skill of,{PLAYER}의 제작 기술:
versus Difficulty,난이도:
to produce a larger amount,더 많은 양을 생산하기 위해
Journal,일지
Consumed 1 {ITEM},{ITEM} 1개 소비됨
You add {ITEM} to your party,{ITEM}을(를) 파티에 추가했습니다
Removes Conditions with Tag: #{ITEM},상태 태그 제거: #{ITEM}
Consumed,소비됨
The party does not have a lightsource to equip,파티에 장착할 광원이 없습니다
Find a lantern!,랜턴을 찾으십시오!
Restores {ITEM} (+{ITEM},{ITEM} 회복 (+{ITEM}
Heals {ITEM} (+{ITEM},{ITEM} 치유 (+{ITEM}
View Inventory,인벤토리 보기
View the Journal,일지 보기
{ITEM} ended,{ITEM} 종료됨
Added some items to inventory!,인벤토리에 아이템이 추가되었습니다!
Updated Journal,일지 업데이트됨
Adds Conditions,상태 추가
Adds Condition,상태 추가
Faction is {ITEM},세력: {ITEM}
NEUTERAL,중립
You created,제작 완료:
Main quests that have not yet been completed,아직 완료되지 않은 메인 퀘스트입니다
FAILURE,실패
You have been found wanting,자격이 부족합니다
does not beat Difficulty,난이도 미달
SNEAKING,은신 중
Status,상태
Safe,안전함
Tile Mod,타일 보정
Unsafe,위험함
Unlocked,잠금 해제됨
Loot the corpses of your enemies!,적들의 시체에서 전리품을 획득하십시오!
Read,읽기
Raining Night,비 오는 밤
You have died - The Dragon awakens,당신은 죽었습니다 - 용이 깨어납니다...
Reload a previous save or restart the game!,이전 저장 파일을 불러오거나 게임을 다시 시작하십시오!
Game too difficult?,게임이 너무 어렵나요?
You can set the Difficulty in Settings -> Difficulty,설정 -> 난이도 메뉴에서 난이도를 조절할 수 있습니다
Load Last Save,마지막 저장 불러오기
Load Other Save,다른 저장 불러오기
Restart Game,게임 다시 시작
Game Over!,게임 오버!
{PLAYER} does not have Thieves Tools!,{PLAYER}에게 도둑 도구가 없습니다!
The adventure begins!,모험이 시작됩니다!
You see,발견:
You must destribute all your attribute points before you can proceed!,진행하기 전에 모든 능력치 포인트를 분배해야 합니다!
Can't be far now?,이제 멀지 않았겠지?
Name,이름
New Recipe,새로운 제작법
