original,translate
#Armor,#Армор
Heavy Armor Use,Использование тяжелой брони
Reduced the encumberance of the armor when using this type of armor,Уменьшено обременение брони при использовании этого типа доспехов
Light Armor Use,Использование легких доспехов
Mage Armor Use,Использование доспехов мага
Medium Armor Use,Использование средней брони
Shield Use,Использование щита
Added to Dodge when using a shield,Добавлено к уклонению при использовании щита
Unarmored Mastery,Мастерство без брони
Added to Dodge when unarmored,"Добавляет к уклонению, когда не бронирован"
#Combat Attributes,#Комбат Атрибуты
Crit Chance,Шанс крита
Describes the percentage of Hits that are upgraded to Critical Hits,"Описывает процент попаданий, которые повышаются до критических."
Melee Dmg,Ближ. Урон
A bonus that is added to the melee damage range based on the characters strength,"Бонус, который добавляется к диапазону урона ближнего боя в зависимости от силы персонажа"
This is added to the current weapon's damage range for a total damage range,"Это значение добавляется к дальности урона текущего оружия, чтобы получить общую дальность урона"
Initiative,Инициатива
Initiative determines who goes first in combat,"Инициатива определяет, кто первым вступит в бой"
Melee To Hit,Метк. ближн.
The character's skill at attacking with melee weapons,Умение персонажа атаковать оружием ближнего боя
Determines hit chance,Определяет шанс попадания
Ranged To Hit,Метк. дальн.
The characters skill at attacking with ranged weapons,Умение персонажей атаковать с помощью дальнобойного оружия
#ConditionResistances,#ConditionResistances
Blindness Resistance,Устойчивость к слепоте
Resistance to a condition represents the percentage chance to avoid contracting the condition,Устойчивость к заболеванию представляет собой процентный шанс избежать заражения этим заболеванием
An attribute value of 100% or above means immunity to the condition in question,Значение атрибута 100% или выше означает невосприимчивость к данному заболеванию
Charm Resistance,Сопротивление чарам
Confusion Resistance,Сопротивление запутыванию
Crit,Крит
Hits Resistance,Сопротивление ударам
Deafness Resistance,Сопротивление глухоте
Disease Resistance,Устойчивость к болезням
Immobilization Resistance,Устойчивость к иммобилизации
Insanity Resistance,Сопротивление безумию
Panic Resistance,Сопротивление панике
Paralysis Resistance,Сопротивление параличу
Poison Resistance,Сопротивление ядам
Silence Resistance,Сопротивление молчанию
