original,translate
#Backgrounds,#Backgrounds
Acolyte,Аколит
You claim a connection with the divine that goes far deeper than most,"Вы утверждаете, что связь с божественным идет гораздо глубже, чем у большинства"
"Whether legitimate of not, you’re always ready to dispense holy wisdom; Be it Imperial gospel or the profane ramblings of the heretic","Законно ли, нет ли, вы всегда готовы поделиться святой мудростью, будь то Имперское Евангелие или бредни еретика."
Thug,Головорез
"Punch first, ask questions later","Сначала бейте, потом задавайте вопросы"
You have perfected the noble art of solving problems with brute force,Вы в совершенстве овладели благородным искусством решать проблемы с помощью грубой силы
Courtier,Придворный
Your time spent kissing noble arses has made you a master of navigating the cut-throat politics of the Imperial lay-courts,"Время, проведенное за поцелуями благородных задниц, сделало вас мастером ориентироваться в жестокой политике имперских светских судов."
Criminal,Преступник
You are an esteemed member of the Empire’s teeming underworld with a special knack for getting in and out of places you shouldn’t be,"Вы - уважаемый член кишащего преступного мира Империи, обладающий особым умением проникать туда, куда не следует."
Fortune's Fool,Дурак Фортуны
Deluxe Edition class,Класс Deluxe Edition
You have unnaturally good luck and seem to find much more gold than others after combat,"Вам неестественно везет, и после боя вы находите гораздо больше золота, чем другие."
Savant,Savant
You’re a very fast learner and advance more rapidly through levels,Вы очень быстро учитесь и быстрее проходите уровни.
Scout,Скаут
You’re remarkably fleet of foot,Вы удивительно ловки.
Entertainer,Авантюрист
"In equal parts despised and adored by the wealthy of the Empire, the traveling entertainer can make a pretty penny off their blinding charisma and nimble fingers","В равной степени презираемые и обожаемые богачами Империи, странствующие артисты могут заработать неплохие деньги на своей ослепительной харизме и ловких пальцах."
Guilder,Гильдия
"Like so many of the Empires young and promising, you were recruited into guild service at a fairly early age","Как и многие молодые и перспективные имперцы, вы были приняты на службу в гильдию в довольно раннем возрасте"
"As the saying goes, work for the illustrious guilds tends to leave you with 'gold in your purse and blood on your hands'","Как говорится, работа на прославленные гильдии приводит к тому, что вы остаетесь с ""золотом в кошельке и кровью на руках""."
Laborer,Рабочий
You’ve spent years toiling under the oppressive yoke of hard labor,Вы провели годы под гнетущим игом каторжного труда.
"Though it may not have left you with much coin in your pocket, it has given you an unnatural resistance to hardship","Пусть в кармане у вас не так много монет, но зато вы приобрели неестественную стойкость к трудностям."
Ex-Legionary,Бывший легионер
A member of the ‘old breed’; forged and tempered by the hardships of soldiering,"Представитель ""старой породы""; закаленный и закаленный тяготами солдатской службы."
You now belong to the ever-growing fraternity of fellow men and women with scarred bodies and broken minds who roam the Empire in search for a quiet piece of land to call home,"Теперь вы принадлежите к постоянно растущему братству мужчин и женщин со шрамами на теле и сломленным разумом, которые бродят по Империи в поисках тихого уголка земли, чтобы назвать его домом."
Sellsword,Наёемник
"With the once-mighty legions of the Empire in decline, this is an age of sellswords and mercenaries","Когда некогда могущественные легионы Империи пришли в упадок, наступила эпоха продажных мечей и наемников."
There is no shortage of those willing to pay professionals to wreak violence on others and you are very good at your job,"Нет недостатка в тех, кто готов платить профессионалам за насилие над другими, и вы очень хороши в своем деле."
Monastic,Монастырь
You have served one of the holy orders of the Empire from the safety of one of its walled monastic communities,"Вы служили одному из святых орденов Империи, находясь в безопасности одной из ее обнесенных стенами монашеских общин."
Pray the world has not grown too cruel in your absence,"Молитесь, чтобы мир не стал слишком жестоким в ваше отсутствие."
Noble,Благородный
"An individual of old blood, you learned long ago that wealth and connections tend to open doors that are otherwise closed to the filthy masses","Будучи человеком старой крови, вы давно поняли, что богатство и связи открывают двери, которые иначе закрыты для грязных масс."
Sailor,Матрос
You’ve heard the call of the Mother of Maelstroms and salt water now runs in your veins,"Вы услышали зов Матери Метельстромов, и теперь в ваших жилах течет соленая вода"
"Whether on the deck of a Guilder caravel or manning the sails of a meager fishing sloop, you feel most at home when you’re at sea","Будь то на палубе гильдейской каравеллы или под парусами скромного рыбацкого шлюпа, вы чувствуете себя как дома, когда находитесь в море."
Street Rat,Уличная крыса
Spending your formative years fending for yourself on the hard streets of the Empire’s sprawling cities has left you with a preternatural instinct for surviving,"Проведенные в детстве годы, когда вы сами добывали себе пропитание на суровых улицах разросшихся городов Империи, привели к тому, что у вас развился сверхъестественный инстинкт выживания."
No crime is too petty - no meat too mysterious,"Ни одно преступление не является слишком мелким, ни одно мясо не является слишком загадочным"
Vagabond,Бродяга
"Having spent most of your teenage years’ on the road, you are a free spirit with no allegiance to any one person or place","Проведя большую часть подросткового возраста в дороге, вы - свободный дух, не привязанный ни к одному человеку или месту"
"Drifting from place to place, you go where there is work, food and a warm bed to be had","Переезжая с места на место, вы идете туда, где есть работа, еда и теплая постель."
Wildling,Одичавшие
"As the light of civilization fades, the vast wildernesses of the Empire encroach on the civilized folk","По мере того как свет цивилизации меркнет, бескрайние дикие земли Империи наступают на цивилизованных людей."
Thankfully you don’t count yourself among those,"К счастью, вы не относите себя к тем."
The sky is your temple and the howling of wolves your litany,"Небо - твой храм, а вой волков - твоя литания."
Nomad,Кочевник
"You’ve spent years across the seas, living with the desert nomads","Вы провели годы за морями, живя с кочевниками в пустыне"
"Though ever the outsider, the nomads deemed you trust-worthy enough to become an initiate in the mysteries of their pagan fire-worship","Хотя кочевники всегда были чужаками, они сочли вас достаточно достойным доверия, чтобы посвятить в тайны своего языческого поклонения огню."
Snake-Cultist,Змеиный культист
Writhing with serpents in darkened cellars and hidden temples has left you immune to the snake’s kiss,"Взаимодействуя со змеями в темных подвалах и скрытых храмах, вы стали невосприимчивы к поцелую змеи"
#NPC Backgrounds,#NPC Backgrounds
Citizen,Гражданин
Craftsman,Craftsman
Farmer,Фермер
Fisherman,Рыбак
Guild Sailor,Гильдия моряков
Insane,Безумие
Official,Официальный сайт
Refugee,Беженцы
Servant,Слуга
Vagrant,Vagrant
Shipwrecked,Потерпевший кораблекрушение
