original,translate
#Animals,#Животные
Chicken,Курица
Dog,Собака
The dog is roaming around restlessly,Собака беспокойно бродит вокруг
Goat,Коза
#Common Humanoids,#Обычные гуманоиды
Commoner,Commoner
Guard,Охранник
A guardsman dressed in the livery of the noble house Berryn scowls at you,"Гвардеец, одетый в ливрею благородного дома Беррин, хмуро смотрит на вас"
Armsmaster Lyra awaits you at the main entrance,Армсмастер Лира ждет вас у главного входа
You best talk to her if you've not already done so,"Вам лучше поговорить с ней, если вы еще не сделали этого."
Guest,Гость
Scullion,Скаллион
Good evening m'lord,"Добрый вечер, милорд."
Good evening m'lady,"Добрый вечер, миледи."
the red-faced scullion bows slightly,краснолицый скулион слегка кланяется
Servants,Слуги
Henchman,Прихвостень
Brigand Archer,Бригадный Лучник
Brigand Rogue,Бригадный Плут
Brigand Swordsman,Бригадный Мечник
Child,Ребенок
Jester,Шут
Farmer,Фермер
Fruit-Picker,Сборщик фруктов
Handmaid,Handmaid
Crewmember,Член экипажа
Refugee,Беженцы
"A ragged, hungry refugee from Horryn","Оборванный, голодный беженец из Хоррина."
Treasure Hunter,Охотник за сокровищами
Fire-Spitter,Огнеметчик
Mercenary,Наемник
"The mercenary looks at you, menacingly",Наемник угрожающе смотрит на вас.
Armorer,Оружейник
Arms Merchant,Торговец оружием
Food Merchant,Торговец продуктами питания
Potion Merchant,Торговец зельями
Reagent Merchant,Торговец реагентами
Spell Merchant,Торговец заклинаниями
Trinket Merchant,Торговец безделушками
Pilgrim,Пилигрим
Reaver Berserker,Берсеркер-рейвер
Reaver Brute,Ривер Брут
Reaver Scout,Разведчик рейверов
Reaver,Ривер
Reaver Blackguard,Черный страж Ривер
Reaver Mystic,Мистик Ривер
Cultist,Культист
Prisoner,Заключенный
Wretch,Wretch
Sailor,Матрос
Captain,Капитан
Mad Sailor,Безумный моряк
Mad Sailo,Безумный моряк
Guild Magos,Магос гильдии
Guild Mag,Маг Гильдии  
Wight,Уайт
Apprentice,Ученик
Feral Clone,Неистовый клон
#Monsters,#Монстры
Giant Bat,Гигантская летучая мышь
Giant Beetle,Гигантский жук
Rhino Beetle,Жук-носорог
Carrion Crawler,Ползучий убийца
Giant Centipede,Гигантская сороконожка
Fell Crab,Фелл Краб
Corpse Eater,Пожиратель трупов
Giant Crab,Гигантский краб
Crab,Краб
Rot Crab,Гнилой краб
Spider Crab,Краб-паук
Brood Guard,Страж выводка
Father,Отец
Deep One Priestess,Жрица Глубины
Deep One Queen,Deep One Queen
Deep One Warrior,Воин глубины
Devolved,Девелопмент
Ghoul,Упырь
Frost Ghoul,Морозный вурдалак
Giant Gnat,Гигантский комар
Cave Gnat,Пещерный комар
Fell Hog,Падший боров
Dire Hound,Страшная гончая
Fell Hound,Гончая из Фелла
Ice Hound,Ледяная гончая
Ice Strider,Ледяной страйдер
Shadow Stalker,Теневой сталкер
Giant Leech,Гигантская пиявка
Albino Leech,Пиявка-альбинос
Bloodletter,Bloodletter
Fell Lizard,Падающая ящерица
Alpha Lizard,Альфа-ящерица
Giant Lizard,Гигантская ящерица
Ice Salamander,Ледяная саламандра
Mold Child,Ребенок с плесенью
Ooze,Ooze
Flesh Ooze,Сочащаяся плотью
Medusa Jelly,"Желе ""Медуза"
Risen Ooze,Восставший омут
Magma Ooze,Магма Узе
Magmite,Магмит
Large Ooze,Большой омут
Giant Rat,Гигантская крыса
Dire Rat,Страшная крыса
Chitters-In-Darkness,Chitters-In-Darkness
Rabid Rat,Бешеная крыса
Shade,Оттенок
Dire Serpent,Страшный змей
Fell Serpent,Падающий змей
Giant Snake,Гигантская змея
Fleshstrider,Fleshstrider
Flying Polyp,Летающий полип
Dragon's Herald,Вестник дракона
Evolved,Evolved
Newborne,Ньюборн
Vessel,Судно
Stalker,Сталкер
Giant Spider,Гигантский паук
Large Spider,Большой паук
Shambler,Шамблер
Frost Shambler,Фрост Шамблер
#Unique Humanoids,#Уникальные гуманоиды
Big Lorn,Большой Лорн
