original,translate
#Apperances,#Apperances
Carylla,Carylla
#Difficulties,#Трудности
Narrative,Сюжет
Narrative mode is the difficulty for players who would like to experience the game’s story and setting with a minimum of focus on combat and grinding,"Режим Сюжет - это сложность для игроков, которые хотели бы познакомиться с сюжетом и сеттингом игры, уделяя минимум внимания бою и шлифовке"
Easy,Легко
Easy mode is a great way for players who are new to this style of roleplaying game to experience Skald,"Легкий режим - отличный способ познакомиться со Skald для тех, кто только начинает играть в этот стиль ролевых игр"
Combat is forgiving and there should be little need to optimize character builds,Боевые действия просты и не требуют особой оптимизации персонажей
Dice rolls are weighted in the player’s favor,Броски кубиков взвешиваются в пользу игрока
Normal,Норм.
Normal mode is the game’s intended difficulty setting,Нормальный режим — рекомендованная разработчиками сложность игры
There is only very limited artificial smoothing of certain dice rolls,Существует лишь очень ограниченное искусственное сглаживание некоторых бросков костей
Hard,Тяж.
Hard mode is intended to offer the player a challenge without feeling unfair,"Тяжелый режим предназначен для того, чтобы бросить игроку вызов, но при этом не чувствовать себя нечестным"
Dice rolls are slightly weighted in the opponent's favor making them more deadly,"Броски кубиков немного смещены в пользу противника, что делает их более смертоносными"
#Encounters,#Encounters
Brigands,Бриганды
You’ve been beset by brigands!,На вас напали разбойники!
Stand and deliver!,Выступайте!
Abandoned Cargo,Брошенный груз
There is some abandoned cargo strewn on the road ahead of you,Впереди вас на дороге валяется какой-то брошенный груз
Horrors from the deep,Ужасы из глубин
You're being attacked by enormous fell-crabs!,На вас напали огромные крабы!
Crawlers,Гусеницы
Foul creatures swarm from holes in the ground!,Из дыр в земле кишат мерзкие твари!
Devolved,Девелопмент
"More beast than man, devolved troglodytes charge towards you!","Больше звери, чем люди, - эти троглодиты с развитой психикой устремляются к вам!"
Flotsam,Flotsam
You come across some flotsam,Вы натыкаетесь на какие-то обломки
Giant Insects,Гигантские насекомые
Giant insects scurry towards you!,Гигантские насекомые устремляются к вам!
Giant insects swarm you!,Гигантские насекомые кишат на вас!
White Hounds,Белые гончие
Foul slavering beasts barrel towards you!,Неистовые брезгливые звери устремляются к вам!
Crabs,Крабы
You're being swarmed by monsterously over-grown crabs!,Вас кишат чудовищно разросшиеся крабы!
Rot Crabs,Гнилые крабы
Horribly changes crustaceans shamble towards you!,Ужасно изменившиеся ракообразные ковыляют к вам!
Spider Crabs,Паукообразные крабы
You're being charged by Spider-Crabs!,Вас обвиняют пауки-крабы!
Fell Hounds,Гончие из Фелла
You've been beset by prowling Fell-Hounds!,На вас напали бродячие фелл-хаунды!
Fell Hogs,Падшие свиньи
Fell hogs have caught your scent!,Падшие свиньи уловили ваш запах!
Rats!,Крысы!
You're being swarmed by monsterously over-grown rats!,Вас кишат чудовищно разросшиеся крысы!
Reavers,Риверы
