original,translate
#Accessory,#Аксессуар
Armored Boots,Бронированные сапоги
Masterwork Armored Boots,Мастерские бронированные сапоги
Noble's Boots,Сапоги благородных
Masterwork Noble's Boots,Сапоги благородного мастера
Leather Boots,Кожаные сапоги
Masterwork Leather Boots,Сапоги из натуральной кожи
Travelers Boots,Сапоги для путешественников
Masterwork Travelers Boots,Сапоги для путешественников
The Farstriders,Фарстрайдеры
These legendary boots increase the Carrying Capacity of the wearer by 30 lb as well as conferring a +1 bonus to their Fortitude,"Эти легендарные ботинки увеличивают грузоподъемность владельца на 30 фунтов, а также дают бонус +1 к стойкости"
The Tyrant,Тиран
This helmet increases the user’s Awareness and Spell Aptitude by +1,Этот шлем повышает Внимание и Магический талант носителя на +1
Armored Gauntlets,Бронированные перчатки
Masterwork Armored Gauntlets,Мастерские бронированные перчатки
Noble's Gloves,Благородные перчатки
Masterwork Noble's Gloves,Перчатки благородного мастера
Leather Gloves,Кожаные перчатки
Masterwork Leather Gloves,Мастерские кожаные перчатки
Mailed Gauntlets,Присланные по почте перчатки
Masterwork Mailed Gauntlets,Мастерские почтовые перчатки
Travelers Gloves,Перчатки для путешественников
Masterwork Travelers Gloves,Перчатки для путешественников Masterwork
Headwear,Головной убор
Hat,Шляпа
Bonnet,Капот
Leather Coif,Кожаный коиф
Rag,Тряпка
Hood,Капюшон
Antlers,Панты
Reaver Crown,Корона ривера
"A wide-brimmed, felt hat",Широкополая фетровая шляпа
It is quite stylish but offers little protection,"Он очень стильный, но не обеспечивает достаточной защиты"
Wreath,Венок
Mail Coif,Почтовый каре
Coif and Helmet,Шинель и шлем
Masterwork Mail Coif,Мастерский почтовый каре
Full Helmet,Полный шлем
Masterwork Full Helmet,Мастерский полный шлем
Horned Helmet,Рогатый шлем
Masterwork Horned Helmet,Мастерский рогатый шлем
Steel Helmet,Стальной шлем
Masterwork Steel Helmet,Стальной шлем мастерской работы
Plumed Helmet,Шлем с плюмажем
Masterwork Plumed Helmet,Мастерский шлем с плюмажем
Round Helmet,Круглый шлем
Soldier's Helmet,Солдатская каска
Officer's Helmet,Офицерский шлем
Jester's Cap,Шапка шута
#Adventuring Items,#Авантюрные предметы
Crowbar,Ломик
An iron crowbar,Железный лом
Perfect for breaking and entering,Идеально подходит для взлома и проникновения
Lantern,Фонарь
A small lantern,Маленький фонарь
Press 'T' to equip it whilst exploring,"Нажмите 'T', чтобы экипировать его во время исследования"
Thieves' Tools,Воровские инструменты
Tools used for lockpicking,"Инструменты, используемые для взлома замков"
You lose a few each time you pick a lock so take care to gather a supply,"Каждый раз, когда вы взламываете замок, вы теряете несколько штук, поэтому позаботьтесь о том, чтобы собрать запас"
Pickaxe,Пикакс
A pickeaxe used for mining,"Кирка, используемая для добычи полезных ископаемых"
In the right hands it could be used as a weapon,В умелых руках его можно использовать как оружие
Rope,Веревка
A 20-foot coil of hemp rope,20-футовый моток пеньковой веревки
Indispensable for spelunkers and mountaineers,Незаменим для спелеологов и альпинистов
Sewer Map,Карта канализации
A hand-drawn map depicting the sewers underneath Horryn,Нарисованная от руки карта с изображением канализации под Хоррином
Shovel,Лопата
Used for digging in the ground!,Используется для копания в земле!
#Ammo,#Боеприпасы
Bodkin Arrow,Стрела Бодкина
Broadhead Arrow,Стрела с широким наконечником
Fire Arrow,Огненная стрела
Hunting Arrow,Охотничья стрела
Poison Arrow,Ядовитая стрела
Poor Arrow,Бедная стрела
#Armors,#Броня
Light Armor,Легкая броня
