original,translate
#Chapter 0,#Глава 0
Man Over Board,Человек над доской
Roland fell overboard,Роланд упал за борт
An Old Boar,Старый кабан
"I encountered one of my father’s old friends, Kydeon, at the Berryn estate","В поместье Беррин я встретил одного из старых друзей моего отца, Кайдеона."
It was good to see the old boar again,Было приятно снова увидеть старого кабана.
Waking up,Пробуждение
I woke up in the hold of the Zephyr to find something is wrong on the ship,"Я проснулся в трюме ""Зефира"" и обнаружил, что на корабле что-то не так."
#Chapter 1,#Глава 1
A Foul Cave,Неистовая пещера
I discovered a cave near the spot where I landed on Idra,"Я обнаружил пещеру недалеко от того места, где я приземлился на Идре."
A foul stench of rotting flesh and seaweed lies thick inside,Внутри стоит отвратительный запах гниющей плоти и морских водорослей.
Driina the Sepulchite,Дрина Гробокопательница
I was joined by a Sepulchite cleric by the name Driina,Ко мне присоединилась клирик сепулькитов по имени Дрина.
She intends to search for a way into the city of Horryn which has apparently been overrun by cultists,"Она намерена найти путь в город Хоррин, который, судя по всему, захватили культисты."
"Before we leave the camp, she insists we make a stop by the camp’s de-facto leader","Прежде чем мы покинем лагерь, она настаивает на том, чтобы мы заглянули к фактическому лидеру лагеря."
Someone named Markus who is holed up in a stable nearby,"Некто Маркус, спрятавшийся в конюшне неподалеку."
A Floating Corpse,Плавающий труп
I found a lost soul in the underwater cave system under the lighthouse,Я нашел заблудшую душу в системе подводных пещер под маяком.
The poor wretch must have gotten lost in the darkness and drowned,"Бедняга, должно быть, заблудился в темноте и утонул."
I must take care I do not share his fate,"Я должен позаботиться о том, чтобы не разделить его судьбу."
There was a key on the corpse,На трупе был ключ.
Embla in Horryn,Эмбла в Хоррине
Frantzo the former innkeeper just told me that Embla stayed at his inn in Horryn in the days leading up to the calamities that saw the city overrun,"Францо, бывший трактирщик, только что рассказал мне, что Эмбла останавливался в его трактире в Хоррине в дни, предшествовавшие бедствиям, в результате которых город был разрушен."
The Gates are Sealed,Врата запечатаны
I searched for a way into Horryn but had little luck,"Я искал путь в Хоррин, но безуспешно."
"For now, it seems I must carve out some other way of surviving on this barren island until an opportunity presents itself","Пока что, похоже, мне придется искать другой способ выжить на этом бесплодном острове, пока не представится возможность."
"Till then, the island no doubt overflows with desperate wretches in need of assistance","До тех пор остров, несомненно, переполнен отчаявшимися несчастными, нуждающимися в помощи."
"Till then, Driina suggests we must return to the refugee camp and do all we can to aid them in their desperate plight","А пока Дриина предлагает вернуться в лагерь беженцев и сделать все возможное, чтобы помочь им в их отчаянном положении."
A Ritual Dagger,Ритуальный кинжал
I recovered a strange dagger of indeterminate age from the underwater caves beneath the lighthouse on Idra,Я нашел странный кинжал неопределенного возраста в подводных пещерах под маяком на Идре.
It appears to have been a form of ritual implement and I suspect it might still hold both significance and power,"Судя по всему, это был ритуальный инструмент, и я подозреваю, что он до сих пор сохраняет свое значение и силу."
Astronomer's Journal,Журнал астронома
I found a strange journal that seems to have belonged to an Imperial astronomer,"Я нашел странный дневник, который, похоже, принадлежал имперскому астроному."
"It appears the poor man felt the stars are somehow ""wrong"" after spotting a strange star-cluster in the southeastern quadrant","Похоже, бедняге показалось, что звезды какие-то ""неправильные"", после того как он заметил странное звездное скопление в юго-восточном квадранте."
A Feast for Lizards,Пир для ящериц
I found scraps of rotting flesh in the lizard-cave on Idra,Я нашел обрывки гниющей плоти в пещере ящерицы на Идре.
I wonder if the reptiles would gorge themselves if they had more flesh?,"Интересно, стали бы пресмыкающиеся обжираться, если бы у них было больше плоти?"
Goat Gold,Козье золото
"Jakub the farmer, paid me a small bribe to keep quiet about his hidden goats","Фермер Якуб дал мне небольшую взятку, чтобы я молчал о его спрятанных козах."
Jakub is Done Talking,Якуб закончил говорить
"Jakub, the Idran goat farmer, has made it clear he has nothing more to say regarding the issue of his hidden goats","Якуб, фермер, выращивающий коз в Идране, дал понять, что ему больше нечего сказать по поводу его спрятанных коз."
The Gravedigger,Могильщик
I met a poor fellow outside the Idran refugee camp,Я встретил бедняка возле лагеря беженцев Идран
Ha had the thankless task of burying dead refugees,На Ха легла неблагодарная обязанность хоронить погибших беженцев.
I offered to help him before the horrid entities that roam the island made short work of him,"Я предложил ему помощь, пока ужасные сущности, которые бродят по острову, не расправились с ним."
"Needless to say, he didn’t think twice","Не стоит и говорить, что он не раздумывал."
The Hidden Glen,Скрытый глен
I learned the way to a hidden glen near the refugee camp on Idra,Я узнал дорогу к укромному уголку возле лагеря беженцев на Идре.
The best way to get there is to find and follow the goat tracks behind the old goat enclosure on Jakub’s farm,Лучший способ добраться туда - найти и пройти по козьим следам за старым загоном для коз на ферме Якуба.
A Survivor,Выживший
I found a sailor named Andry cowering in the foul caves near my landing site on Idra,"Я нашел моряка по имени Андри, который прятался в грязных пещерах неподалеку от места моей высадки на Идре."
He thanked me profusely for the help and made his way out to look for fellow survivors,Он горячо поблагодарил меня за помощь и отправился на поиски выживших.
The Lighthouse,Маяк
I made it to the lighthouse and met its keeper Mathias,Я добрался до маяка и познакомился с его смотрителем Матиасом
A haggard old fellow that had barricaded himself on the top floor of the structure,"Больной старик, забаррикадировавшийся на верхнем этаже здания."
"To his credit, he’s managed to keep the lighthouse running throughout the calamities that are befalling this island","К его чести, он умудряется поддерживать работу маяка во время всех бедствий, которые обрушиваются на остров."
No doubt this is critical to the survival of those still caught out at sea,"Несомненно, это имеет решающее значение для выживания тех, кто все еще находится в море."
The second keeper,Второй хранитель
The lighthouse in Idra seems to have had a second keeper,"У маяка в Идре, похоже, был второй смотритель."
A man named Caspar who seemingly went mad dreaming about caves underneath the lighthouse,"Человек по имени Каспар, который, похоже, сошел с ума, мечтая о пещерах под маяком."
His writing mentions a “blade” calling him there,"В его письме упоминается ""клинок"", зовущий его туда."
Monoliths,Монолиты
There are strange monoliths on Idra,На Идре есть странные монолиты.
"Though they appear to be ancient, it seems someone is still performing rituals at them","Хотя они кажутся древними, кажется, что кто-то до сих пор проводит в них ритуалы."
Surviving Sailors,Выжившие моряки
I came across a group of survivors from the Zephyr,"Я наткнулся на группу выживших с корабля ""Зефир""."
"They were hold up in some abandoned fishing huts and their leader, Snow, asked that I send any other survivors from the Zephyr to their camp","Их держали в заброшенных рыбацких хижинах, и их лидер, Сноу, попросил, чтобы я отправил в их лагерь всех выживших с ""Зефира""."
The Telescope,Телескоп
"Though I cannot really put into words what I saw, I used the astronomer’s telescope and I saw terrible things","Хотя я не могу выразить словами то, что я видел, я пользовался телескопом астронома и видел ужасные вещи."
I am beset by a deep certainty that something is gravely wrong on this island,"Меня не покидает глубокая уверенность в том, что на этом острове что-то серьезно не так."
The Weathermaiden's Plight,Участь флюгерши
A crewman from the ship “Weathermaiden” has asked that I seek out the first mate Zhara,"Член экипажа с корабля ""Дева погоды"" попросил меня разыскать первого помощника Жару."
They are holed up in a large sea-cave at position 66 by 91 on the Outer Isles map,Они прячутся в большой морской пещере в позиции 66 на 91 на карте Внешних островов.
That should make it north-west of the refugee-camp,Это должно быть к северо-западу от лагеря беженцев.
An Abandoned Farm,Заброшенная ферма
I came across a small abandoned farm near the beach where I came ashore on Idra,"Я наткнулся на небольшую заброшенную ферму неподалеку от пляжа, где я сошел на берег Идры."
It’s pretty derelict but it might serve well enough as a makeshift camp,"Он довольно заброшен, но вполне может сойти за временный лагерь."
Markus the Chamberlain,Маркус Камердинер
I met and spoke with the de-facto leader of the refugee camp north of Horryn,Я встретился и поговорил с фактическим лидером лагеря беженцев к северу от Хоррина.
Apparently the town has been overrun by crazed cultists,"Судя по всему, город захватили обезумевшие культисты."
"Worse, the city-gates are apparently sealed making it impossible to get back in","Хуже того, городские ворота запечатаны, и попасть обратно невозможно."
For now my energy might be well spent trying to ease the plight of the refugees,"Пока же я могу потратить свою энергию на то, чтобы облегчить участь беженцев."
Smuggler's Cache,Тайник контрабандиста
I found an abandoned smuggler's cache in one of the Caves on Idra,Я нашел заброшенный тайник контрабандистов в одной из пещер на Идре.
Perhaps there are more like it to be found on the Outer Isles?,"Может быть, на Внешних островах есть еще что-то подобное?"
The Wreck Picker,Сборщик затонувших кораблей
I met a strange old wreck picker by the name of Basilo,Я встретил странного старого сборщика развалин по имени Басило.
"Though I should be careful in trusting him, he has offered to buy any scrap I find on the beach","Хотя я должен быть осторожен в доверии к нему, он предложил купить любой лом, который я найду на пляже."
I can find him in an old farm house north of where I landed on Idra,"Я могу найти его в старом фермерском доме к северу от того места, где я высадился на Идре."
The Zephyr,Зефир
Apparently the wreck of the Zephyr has shifted enough in the tides that it is now possible to enter it,"Судя по всему, затонувшее судно ""Зефир"" достаточно сместилось под действием приливов, и теперь в него можно войти."
#Chapter 2,#Глава 2
Oleg's Plan,План Олега
I told Oleg that the Butcher has gotten hold of his unholy tablets,"Я сказал Олегу, что Мясник завладел его нечестивыми скрижалями."
The news caused the old chieftain to decide to attempt to end the Butcher,Эта новость заставила старого вождя принять решение покончить с Мясником.
"I suspect that Oleg doesn’t stand a chance against him alone so perhaps I should ask the third chieftain, Kala, to side with Oleg?","Я подозреваю, что в одиночку у Олега нет ни единого шанса против него, так что, возможно, мне стоит попросить третьего вождя, Кала, встать на сторону Олега?"
Together they might be able to take down the Butcher,Вместе они смогут одолеть Мясника.
Oleg the Gray is Dead,Олег Серый мертв
The Reaver chief Oleg the Gray is dead,Вождь бродяг Олег Серый мертв
Oleg's Right to Rule,Право Олега на власть
I met one of the three Reaver chieftains,Я встретился с одним из трех вождей бродяг.
Oleg,Олег
He’s the oldest of the three and claims to hold ‘sacred’ tablets that gives him the right to rule over his siblings; Kala and the Butcher,"Он самый старший из троих и утверждает, что владеет ""священными"" скрижалями, которые дают ему право управлять своими братьями и сестрами: Калой и Мясником."
He’s asked me to seek them out and remind them of that fact,Он попросил меня найти их и напомнить им об этом факте.
Queen Kala is Dead,Королева Кала мертва
The Reaver chief 'queen' Kala is dead,"Королева Кала, вождь риверов, мертва"
The Butcher is Dead,Мясник мертв
The Reaver chief known as 'the Butcher' is dead,"Вождь бродяг, известный как ""Мясник"", мертв"
The Reaver Tablets,Планшеты The Reaver
