original,translation
Select,Выбрать
Abort,Отменить
Pick a Difficulty,Выберите сложность
Character Creation,Создание персонажа
Class,Класс
Background,Прошлое
Attributes,Атрибуты
Appearance,Внешность
Welcome to character creation!,Добро пожаловать в создание персонажа!
Start by picking a DIFFICULTY for your playthrough,Начните с выбора СЛОЖНОСТИ для прохождения
Are you sure you want to abort?,"Уверены, что хотите отменить?"
Difficulty can be changed during play,Сложность можно менять в ходе игры
Bard,Бард
Battlemagos,Боевой маг
Champion,Чемпион
Hierophant,Иерофант
Hospitaller,Госпитальер
Officer,Офицер
Ranger,Рейнджер
Thief,Вор
Select a Class,Выберите класс
ARMSMASTER,МАСТЕР ОРУЖИЯ
Archetype,Архетип
Warrior,Воин
The Main Attribute for this Class is Strength,Основной атрибут класса — Сила
Start,Старт
DP,ОР
HP/Lvl,ОЗ/Ур
Magic/Lvl,Магия/Ур
May use any armor,Может использовать любую броню
"May use all weapons of type Blade, Axe, Club and Bow","Может использовать всё оружие типов: клинки, топоры, дубины и луки"
"Next, select a CLASS for your character!",Теперь выберите КЛАСС персонажа!
Classes define a character's role in the party by adding certain exclusive abilities,"Классы определяют роли в отряде, открывая эксклюзивные способности"
DEVELOPMENT POINTS,ОЧКИ РАЗВИТИЯ
Development Points are gained when leveling up and used to buy ranks in Feats,Очки развития получаются при повышении уровня и используются для покупки рангов в Умениях
This unlocks new Abilities for the Character making them more powerful,Открывает новые Способности и усиливает персонажа
MAIN ATTRIBUTE,ОСНОВНОЙ АТРИБУТ
The Main Attribute is the Attribute that is the most important for this Class,Главный атрибут — это наиболее важный атрибут данного класса.
STRENGTH,СИЛА
Attribute - Primary,Атрибут – Основной
A measure of a character's brawn and physical power,Показатель физической силы и мощи персонажа
ATTUNEMENT PER LEVEL,МАНА ЗА УРОВЕНЬ
"Indicates how much of the game’s Magic resource, Attunement, is gained every time the character levels up","Указывает, сколько магического ресурса игры, Маны, персонаж получает при каждом повышении уровня"
VITALITY PER LEVEL,ЖИЗНЬ ЗА УРОВЕНЬ
"Indicates how much of the game’s Hitpoint resource, Vitality, is gained every time the character levels up","Указывает, сколько ресурса здоровья, Живучести, персонаж получает при каждом повышении уровня"
BARD,БАРД
Rogue,Плут
The Bard mixes the Rogue’s decent combat skills and high maneuverability with the use of arcane magic,Бард сочетает достойные боевые навыки и высокую манёвренность Плута с использованием тайной магии
The Main Attribute for this Class is Presence,Главный атрибут этого класса — Харизма
May wear Light armor,Может носить лёгкую броню
"May use Light and Medium weapons of type Blade, Axe, Club and Bow","Может использовать лёгкие и средние клинки, топоры, дубины и луки"
ROGUE,ПЛУТ
The Rogue combines important non-combat skills with a large damage output against single targets,Плут объединяет важные небоевые умения с высоким уроном по одиночным целям
BATTLEMAGOS,БОЕВОЙ МАГ
"Unlike other Magi, they also get access to a few basic combat-related Feats and may wear light armor","В отличие от других магов, он получает доступ к нескольким базовым боевым умениям и может носить лёгкую броню"
The Main Attribute for this Class is Intellect,Главный атрибут этого класса — Интеллект
"May use Light weapons of type Blade, Club and Bow","Может использовать лёгкие клинки, дубины и луки"
CHAMPION,ЧЕМПИОН
Cleric,Клирик
The Champion is a Cleric who excels in the use of blades and armor whilst still having limited divine spell-casting abilities,"Чемпион — это клирик, превосходно владеющий клинком и бронёй, но всё ещё обладающий ограниченными божественными заклинаниями"
May use all weapons of type Blade and Club,Может использовать все Клинки и Дубины
GUILD-MAGOS,ГИЛЬДИЙСКИЙ МАГ
This comes at the cost of having absolutely no combat related Feats,За это приходится расплачиваться полным отсутствием боевых Умений
May not wear armor,Не может носить броню
HIEROPHANT,ИЕРОФАНТ
A Hierophant is a Cleric who can develop all the different Divine Spell Schools fully,"Иерофант — это клирик, способный полностью развить все школы божественной магии"
May use Light and Medium weapons of type Club,Может использовать лёгкие и средние дубины
HOSPITALLER,ГОСПИТАЛЬЕР
The Hospitaller is a Cleric who serves as a front line healer,"Госпитальер — это клирик, служащий лекарем на передовой"
"Well armed and armored, they can stand their ground against overwhelming foes whilst also getting access to the highest tiers of the Body Magic School","Хорошо вооружённый и бронированный, он способен удерживать позицию против превосходящих сил, получая доступ к высшим рангам Школы Магии Тела"
OFFICER,ОФИЦЕР
The Officer is a skilled warrior who serves as a force multiplier through their tactical skills,"Офицер — опытный воин, усиливающий отряд своими тактическими навыками"
"Issuing orders across the battlefield, they vastly improve the performance of their fellow party-members","Отдавая приказы по всему полю боя, он значительно повышает эффективность соратников"
RANGER,РЕЙНДЖЕР
The Ranger is a Warrior specializing in ranged combat and with access to limited nature magic,"Рейнджер — воин, специализирующийся на дальнем бою и имеющий доступ к ограниченной природной магии"
THIEF,ВОР
The Thief is a Rogue who uses Stealth to set up devestating Backstab attacks,"Вор — это плут, использующий Скрытность для подготовки сокрушительных ударов в спину"
The Main Attribute for this Class is Agility,Главный атрибут этого класса — Ловкость
STEALTH,СКРЫТНОСТЬ
Attribute - Skill,Атрибут – Навык
Stealth is used during adventuring,Скрытность применяется в ходе приключений
In particular it determines if NPCs notice the party as it moves around,"В частности она определяет, заметят ли NPC отряд во время перемещения"
AGILITY,ЛОВКОСТЬ
"A measure of hand-eye coordination, nimbleness and dexterity","Показатель координации, проворства и ловкости"
BACKSTAB,УДАР В СПИНУ
A character that has activated the Ability to Backstab will automatically perform Backstabbing Attacks against opponents that are either Flanked or Vulnerable,"Персонаж, активировавший способность «Удар в спину», автоматически наносит удары в спину противникам, которые находятся во фланге или являются уязвимыми"
