original,translate
#Beds,#Кровати
Bed,Кровать
Bedroll,Спальник
#Containers,#Контейнеры
Armor Stand,Подставка для доспехов
Armor Stands,Подставки для доспехов
Backpack,Рюкзак
Arrows,Стрелки
A Barrel,Бочка
"A barrel of standard Imperial measurements, used to carry cargo on Guild ships","Бочка стандартных имперских размеров, используемая для перевозки грузов на кораблях Гильдии."
Barrels,Бочки
Bookshelf,Книжная полка
Box,Коробка
A solid box,Прочная коробка
Brandy Crates,Коньячные ящики
Cabinet,Шкаф
A Chest,Сундук
A sturdy wooden chest,Прочный деревянный сундук
A shoddy wooden chest,Непрочный деревянный сундук
Cocoon,Кокон
The Butcher,Мясник
Corpse,Труп
Sailor's Corpse,Труп моряка
Kala,Кала
Oleg,Олег
Mauled Corpses,Растерзанные трупы
A Crate,Ящик
A well made wooden crate that carries the brand of the Nautical Guild,"Хорошо сделанный деревянный ящик, на котором изображен бренд Гильдии мореплавателей."
Crates,Ящики
Small wooden crates,Небольшие деревянные ящики
Alcove,Альков
Shelves,Полки
Desk,Стол
Apothecary's Desk,Стол аптекаря
Flower,Цветок
Secret Compartment,Секретное отделение
Your Luggage,Ваш багаж
A very sturdy wooden chest,Очень прочный деревянный сундук
A sturdy chest,Прочный сундук
Table of Notes,Таблица примечаний
Sacks,Мешки
Sarcophagus,Саркофаг
Reagent Shelf,Полка для реагентов
Smuggler's Corpse,Труп контрабандиста
Table,Таблица
Surgical Tools,Хирургические инструменты
#Decoratives,#Декоративные элементы
Cave-In,Cave-In
Aquarium,Аквариум
Cauldron,Котел
An empty cauldron,Пустой котел
Eyes,Глаза
Fountain,Фонтан
Glowstaff,Glowstaff
Reefs,Рифы
Empty Grave,Пустая могила
Pile of Straw,Куча соломы
Infestation,Заражение
Ancient Pottery,Древняя керамика
"Ancient clay pottery covered in strange, ornate circular patterns","Древняя глиняная посуда, покрытая странными, витиеватыми круговыми узорами"
Hole,Отверстие
Scarecrow,Пугало
#Doors,#Двери
Barred Gate,Заградительные ворота
Door,Дверь
Gate,Ворота
A Door,A Door
A double wooden door,Двойная деревянная дверь
A simple wooden door,Простая деревянная дверь
A flimsy wooden door,Хлипкая деревянная дверь
A Hidden Door,Скрытая дверь
Stone Slab,Каменная плита
"A massive, reinforced door","Массивная, укрепленная дверь"
This door appears to be barricaded from the other side,"Эта дверь, похоже, забаррикадирована с другой стороны."
It cannot be opened from this side,Его нельзя открыть с этой стороны
Barred Door,Дверь с решеткой
Inn Door,Дверь гостиницы
Portal,Портал
Web,Веб-сайт
The web of some giant arachnid,Паутина какого-то гигантского арахнида
#Inspectables,#Inspectables
The piece of paper seems to contain a work order,"На листе бумаги, похоже, написано распоряжение о работе."
"and as can clearly be observed, the tunnel’s support pillar is close to giving in","и, как можно видеть, опорная стойка тоннеля близка к тому, чтобы поддаться"
"If this last piece of support was to be removed, it is highly likely that the tunnel would collapse completely","Если убрать эту последнюю опору, велика вероятность того, что туннель полностью обрушится."
continue the previous day’s work of expanding the tunnel eastwards,продолжить работу по расширению туннеля на восток.
I believe you should be very close to breaking through,"Я считаю, что вы должны быть очень близки к тому, чтобы прорваться"
Doing so will allow us to create a short-cut to the mine’s entrance and I don’t need to tell you how much this would improve logistics,"Это позволит нам создать короткий путь к входу в шахту, и мне не нужно говорить вам, насколько это улучшит логистику."
Barricade,Баррикады
A barricade constructed from debris blocks this path,Этот путь преграждает баррикада из обломков.
It is too large to dismantle before retaking the city and for now you must find some way around it,"Он слишком велик, чтобы демонтировать его до захвата города, поэтому сейчас вы должны найти способ обойти его."
Cave In,Пещера
A portion of the cave has collapsed behind you,Часть пещеры обрушилась позади вас.
There is no going back this way,Обратного пути нет.
Spider Corpse,Паучий труп
The mauled corpse of a giant spider,Истерзанный труп гигантского паука
Grave,Могила
A fresh grave with a simple marker made of sticks,Свежая могила с простой табличкой из палок
No name can be found upon it,На нем нет ни одного имени.
The corpse belongs to a graying old man,Труп принадлежит седому старику.
His face is serene and there is nothing to indicate he did not die of natural causes,"Его лицо безмятежно, и ничто не указывает на то, что он умер не от естественных причин."
"Leaning over the body however, you spot thin strands of some bizarre purplish fungal growth protruding from the man's mouth and nose","Наклонившись над телом, вы заметили тонкие нити какого-то причудливого пурпурного грибка, торчащие изо рта и носа мужчины."
"Strange vines of some unknown, purplish growth bursts forth from the masonry",Из каменной кладки вырываются странные лианы неизвестного фиолетового цвета.
"As you lean in, fine strands reach greedily towards you","Когда вы наклоняетесь, тонкие пряди жадно тянутся к вам."
You recoil in disgust and decide it’s best to not touch the growths,"Вы отшатываетесь с отвращением и решаете, что лучше не трогать наросты."
Dead Body,Мертвое тело
A body lies broken upon the ground,На земле лежит изломанное тело.
"Though it has been gnawed by hounds, it seems clear that this person fell or jumped from the cliffs above","Хотя она была изгрызена гончими, кажется очевидным, что этот человек упал или спрыгнул со скалы, расположенной выше."
Old Crates,Старые ящики
