original,translate
#Main Quests,#Основные квесты
A Twilight Meeting,Сумеречная встреча
I’ve been summoned to the estate of the lord Cato Berryn,Меня вызвали в имение лорда Като Беррина
My father’s old patron,Бывший покровитель моего отца
"Though I grew up here, I’ve not been back for decades due to the unfortunate manner in which my father left the service of House Berryn","Хотя я вырос здесь, не возвращался десятилетиями из-за того, как отец покинул службу Дома Беррин"
I do not know why Cato summons me now and I must venture to find out,Я не знаю причины вызова Като и должен отправиться выяснить это
The lord Berryn has tasked me to find his daughter,Лорд Беррин поручил мне отыскать свою дочь
"My childhood friend, Embal","Моя подруга детства, Эмбла"
Rescue Embla,Спасти Эмблу
"My father's old patron, Lord Cato Berryn, has tasked me to rescue his daughter from the island of Idra","Старый покровитель отца, лорд Като Беррин, поручил мне спасти дочь с острова Идра"
She was last seen in the city of Horryn and I must search for clues as to her fate,Последний раз её видели в Хоррине; нужно выяснить её судьбу
I found Embla in the town of Horryn,Я нашёл Эмблу в Хоррине
Events have conspired however to make it impossible to return to the mainland,Однако обстоятельства не позволяют вернуться на материк
Instead we must venture to end the madness that has engulfed the region,"Придётся положить конец безумию, охватившему эти земли"
This quest has failed,Задание провалено
Refugees of Horryn,Беженцы Хоррина
"Marcus the Chamberlain, the de-facto leader of the refugees, has pleaded with me to help the camp","Маркус-камердинер, фактический глава беженцев, умоляет помочь лагерю"
Food is running low and he’s requested I talk to Frantzo,Еда на исходе; он велел поговорить с Францо
"There is also a disease outbreak in camp and I should talk to Drahl the cleric about that","В лагере вспышка болезни; стоит поговорить с клириком Дралом"
Both can be found in the camp,Обоих можно найти в лагере
"I’ve done what I can for the camp and the refugees have certainly been given a fighting chance","Я сделал всё возможное: у беженцев появился шанс выжить"
Mouths to Feed,Надо кормить
"Frantzo, the camp’s cook and de-facto quartermaster, needs me to find food supplies for the refugees","Францо, повар и интендант лагеря, просит достать провизию"
He needs a large supply of it and soon as people have begun dying from starvation,Нужно много и быстро — люди умирают от голода
"I’ve provided the Frantzo with the food he needs to keep the refugees fed for the foreseeable future","Я доставил Францо еды, которой хватит беженцам надолго"
Jakub's Goats,Козы Якуба
Frantzo suggests looking into the farmer’s missing herd of goats,Францо советует разобраться с пропавшим козьим стадом фермера
He suspects the farmer hid them away to keep them from being eaten by starving refugees,"Он думает, что фермер спрятал коз от голодных беженцев"
Bring the Goats to Camp,Привести коз в лагерь
"I found Jakub's hidden goats up in a secluded mountain glen","Я нашёл спрятанных коз Якуба в горной лощине"
Now I must bring the herd of goats to the refugee camp,Теперь нужно отвести коз в лагерь беженцев
"If I don't get Jakub to agree first there may be consequences","Если не заручиться согласием Якуба, могут быть последствия"
Convince Jakub,Убедить Якуба
"Perhaps I should talk to Jakub and see if convince him to let me bring the goats back to camp","Нужно поговорить с Якубом и уговорить его отдать коз"
"Jakub, the Idran goat farmer, has come to his senses and agreed to let me bring the goats to camp so they can be eaten","Козовод Якуб образумился и согласился отдать коз в лагерь"
He asks that I go and help his son,Он просит помочь его сыну
Return to Frantzo,Вернуться к Францо
"I must return to Frantzo and tell him that I've brought Jakub's goats to camp","Нужно доложить Францо о доставке коз"
Search for the Goats,Найти коз
"I need to start by looking for a clue as to where the herd could be located","Сначала надо найти следы стада"
An Alternate Supply,Альтернативный источник
"Look for an alternate solution to the food-crisis in the refugee camp","Найти другой способ решить продовольственный кризис"
Sea's Bounty,Дары моря
"The quartermaster of the Weathermaiden has enough food-supplies to feed the refugee camp","Интендант «Девичьей Непогоды» имеет достаточно провизии для лагеря"
"The downside is it will cost me 500 pieces of gold","Проблема — это стоит 500 золотых"
"I’ve acquired the food-supplies needed to feed the refugees","Я достал еду для беженцев"
"Now all that remains is to return to Frantzo and tell him the good news","Остаётся сообщить Францо хорошие новости"
Outbreak,Эпидемия
"There is an outbreak in camp and the aged cleric, Drahl, has asked me to help him look for a cure","В лагере эпидемия, и клирик Драл просит помочь найти лекарство"
He suggests I start by talking to Hannah,Он советует начать с Ханны
"The mother of a sick child who appears to have a suggestion for a cure","Она мать больного ребёнка и, кажется, знает средство"
She can be found in a cottage south of camp,Она живёт в домике к югу от лагеря
"I provided Drahl with a cure for the outbreak and it appears to be having the intended effect","Я передал Дралу лекарство, и оно действует"
A Mother's Love,Материнская любовь
"A young mother in the refugee camp has pleeded with me to help save her child","Молодая мать умоляет спасти её ребёнка"
"The boy's fallen ill and she begs me to seek out an old crone living in the forest in the islands interior","Мальчик болен, и она просит найти старуху-знахарку в глубине острова"
