original,translate
#Lore,#Lore
Adler's Helm,Шлем Адлера
Adler's Helm is a mining town and the main settlement on Gradla,Хелм Адлера - шахтерский город и главное поселение на Градле
House Berryn,Дом Беррин
The House of Berryn is one of the richest and most influential houses in the North,Дом Берринов - один из самых богатых и влиятельных домов на Севере
The current head is the lord Cato Berryn,Нынешний глава - лорд Катон Беррин
Erdahn,Эрдан
The continent where the Gallian Empire rose,"Континент, на котором возвысилась Галльская империя"
The central portion of Erdahn is known as 'the Heartland',"Центральная часть Эрдана известна как ""Сердцевина"""
Eryll,Эрилл
A mid-sized island to the north of Idra,Остров среднего размера к северу от Идры
The only settlement on Eryll is the village of Firgol,Единственное поселение на Эрилле - деревня Фиргол
The Eternity Vale,Долина вечности
The sacred valley containing the mausoleums of dead Emperors,Священная долина с мавзолеями умерших императоров
The site is a source of immense magical energy and as such it is fervently guarded and maintained by the Court of the Magi,"Это место является источником огромной магической энергии, и поэтому оно ревностно охраняется и поддерживается Двором Магов"
Excubitor,Excubitor
Excubitors are the personal guard of the Emperors and the only humans to see them without their masks,"Экскурсанты - личная охрана императоров и единственные люди, которые могут видеть их без масок"
The name literally means “the ones out of bed” as it is said that they never sleep,"Название буквально означает ""те, кто не спит"", так как говорят, что они никогда не спят"
Firgol,Фиргол
Firgol is a small village on the island of Eryll,Фиргол - небольшая деревня на острове Эрилл
Firgol is known for its orchards,Фиргол известен своими фруктовыми садами
Free-Lenders Guild,Гильдия свободных кредиторов
A league of independent banks and financial institutions that have grown to prominence within the Empire in recent years,"Лига независимых банков и финансовых учреждений, которые в последние годы приобрели широкую известность в Империи"
Freythen,Freythen
A group of separatists who are plotting for the eventual overthrow of Imperial power in the Freymark,"Группа сепаратистов, замышляющих свержение имперской власти во Фреймарке"
Gallian the Great,Галлиан Великий
Gallian,Галлиан
Gallian the Great was the first Emperor and founder of the Empire more than three millennia ago,Галлиан Великий был первым императором и основателем империи более трех тысячелетий назад
Gallian’s origin and much of his life is shrouded in mystery and apocrypha but it is written he came from the south and brought the laws of men and magics to the savage warlords of the Heartlands,"Происхождение Галлиана и многое из его жизни окутано тайнами и апокрифами, но известно, что он пришел с юга и принес законы людей и магию диким военачальникам Сердечных земель"
