original,translate
#Combat Tutorials,#Учебники по бою
Charging,Зарядка
Moving at least 2 tiles in a straight line before performing an attack allows characters with a Melee weapon to perform a Charge Attack,Перемещение не менее чем на 2 плитки по прямой перед выполнением атаки позволяет персонажам с оружием ближнего боя выполнить атаку зарядом
Charge attacks significantly increase your likelihood to hit,Зарядные атаки значительно повышают вероятность попадания
Charge attacks add a bonus to your hit chance depending on how far you manage to move before attacking,"Атаки с зарядом добавляют бонус к шансу попадания в зависимости от того, как далеко вы успели продвинуться перед атакой"
The teal pips over the character indicate how much momentum is built up by the charge,"Тигровые точки над символом указывают на то, какой импульс набирает заряд"
"The more momentum, the bigger the charge bonus","Чем больше импульс, тем больше заряд"
A successful charge will give the following text printing the bonus that was added to the character’s To-Hit roll,"Успешный заряд дает следующий текст, печатающий бонус, который был добавлен к броску ""Удар"" персонажа"
Tactical View,Тактический взгляд
Pressing SHIFT in combat brings up the tactical overlay and makes it easier to see the exact positioning of characters and the underlying grid,Нажатие SHIFT в бою вызывает тактический оверлей и облегчает просмотр точного расположения персонажей и основной сетки
"In the settings menu, you can toggle the tactical overlay to be always on during the player’s turn","В меню настроек вы можете включить тактический оверлей, чтобы он всегда был включен во время хода игрока"
Holding LEFT TRIGGER in combat brings up the tactical overlay and makes it easier to see the exact positioning of characters and the underlying grid,Удержание LEFT TRIGGER в бою вызывает тактический оверлей и облегчает просмотр точного расположения персонажей и основной сетки
Conditions,Условия
You have contracted a disease from your fight with the rats,"Вы заразились болезнью, сражаясь с крысами"
You may see what conditions are affecting you by opening the Character Sheet,"Вы можете посмотреть, какие условия влияют на вас, открыв Лист персонажа"
Click your portraits or press ‘C’ to do so,"Щелкните по своим портретам или нажмите ""C"", чтобы сделать это"
Not all conditions are negative!,Не все условия являются негативными!
Press the Y BUTTON to do so,Для этого нажмите кнопку Y
Negative conditions can often be cured by magic or rest,Негативные состояния часто можно вылечить с помощью магии или отдыха
This disease can be cured by a potion,Эту болезнь можно вылечить с помощью зелья
Pick up and equip the lantern to search the area!,Возьмите фонарь и используйте его для поиска!
Hint,Подсказка
Some containers are hidden until your character “spots” them,"Некоторые контейнеры скрыты до тех пор, пока ваш персонаж не ""заметит"" их"
Difficulty,Трудности
Warda is a dangerous place where you can quickly end up facing very dangerous beings,"Варда - опасное место, где вы можете быстро столкнуться с очень опасными существами"
Sometimes the best tactic is to leave a fight for later as you level up and gather more equipment and allies,"Иногда лучшая тактика - оставить бой на потом, когда вы поднимете уровень и соберете больше снаряжения и союзников"
Remember that you can change the difficulty of the game at any time,"Помните, что вы можете изменить сложность игры в любой момент"
You can even create your own custom difficulty!,Вы даже можете создать свою собственную сложность!
Play the game the way YOU want it!,"Играйте в игру так, как хотите ВЫ!"
Flanking,Фланкировка
A character can be Flanked if opponents occupy the tile above and below it or to the left and right of it,"Персонаж может быть обойдён с фланга, если противники занимают тайлы над и под ним или слева и справа от него"
It is much easier to hit a Flanked character,"По персонажу, находящемуся на фланге, гораздо легче попасть"
A Rogue will automatically Backstab Flanked targets to deal massive amounts of damage,"Плут автоматически наносит удар в спину фланговым целям, чтобы нанести им колоссальный урон"
Here the main character has moved to the right of the mercenary,Здесь главный герой переместился вправо от наемника
And then Roland moves to the left of the mercenary who is now Flanked,"Затем Роланд перемещается влево от наемника, который теперь находится во фланге"
Note the red double-arrow icon that indicates when a character is Flanked,"Обратите внимание на красный значок с двойной стрелкой, который указывает, когда персонаж находится на фланге"
Initiative,Инициатива
"In combat, characters act in order of initiative",В бою персонажи действуют в порядке инициативы
You can view the initiative order by using the Initiative Widget on the left side of the screen,Вы можете просмотреть порядок инициатив с помощью виджета инициатив в левой части экрана
Moving the cursor over the widget makes it pop out,При наведении курсора на виджет он выводится на экран
Note that moving the cursor over a name will make that character's outline flash on the battlefield,"Обратите внимание, что при наведении курсора на имя персонажа на поле боя появляется его контур"
Injuries,Травмы
Your character is critically injured!,Ваш персонаж тяжело ранен!
This means you have taken enough damage to reduce BOTH your Vitality and Wounds,"Это означает, что вы получили достаточно урона, чтобы уменьшить и вашу Живучесть и Очки Ран"
The green bar under your Character’s portrait represents your Vitality score,Зеленая полоска под портретом вашего персонажа представляет собой показатель Живучести
Vitality is a buffer to your wounds and as long as you have Vitality left you won’t take (serious,"Живучесть - это буфер к вашим ранам, и пока у вас есть жизнеспособность, вы не получите (серьезного"
Wound damage,Урона от Раны
Vitality is easily lost and easily regained!,Живучесть теряется легко — и так же легко восстанавливается!
Potions and healing magic restores Vitality - even during combat,Зелья и лечебная магия восстанавливают Живучесть - даже во время боя
"The second, purple bar represents your Wounds","Вторая, фиолетовая полоса представляет ваши Очки Ран"
Losing Wounds is much more serious than losing Vitality,"Потеря Очков Ран гораздо серьезнее, чем потеря Живучести"
Reaching 0 wounds means your character falls unconscious,"Достижение 0 очков ран означает, что ваш персонаж падает без сознания"
Wounds can also only be recovered by resting (or leveling up,Очки ран также могут быть восстановлены только во время отдыха (или повышения уровня
Try to avoid taking Wound damage at all costs!,Старайтесь любой ценой избежать ранений!
"Whenever you take Wound damage, you gain an Injury Condition as indicated by the icon on the portrait","Каждый раз, когда вы получаете урон от раны, вы получаете состояние ""Травма"", обозначенное значком на портрете"
Injuries confer serious penalties to your character and can only be removed by resting,Травмы накладывают серьезные наказания на вашего персонажа и могут быть сняты только отдыхом
A party full of injured party members has its combat effectiveness severely reduced!,"Боевая эффективность партии, полной раненых членов, сильно снижается!"
Making camp and resting is the surest way to restore an injured character!,Разбить лагерь и отдохнуть - самый верный способ восстановить травмированного персонажа!
