original,traducido
#Combat Manuevers,#Maniobras de combate
Wild Swing,Columpio salvaje
Critical Strike,Golpe critico
Defend Ally,Defender a un aliado
Mark Target,Marcar objetivo
The Target gets the Marked Condition which confers a -2 penalty to Dodge for the rest of the encounter,"El objetivo obtiene la condición marcado, que le otorga una penalización de -2 a Esquivar por el resto del encuentro."
Radiate Fear,Irradiar miedo
Blizzard Aura,Aura de ventisca
Aura of Fire,Aura de fuego
Fire Lance,Lanza de fuego
Howl of Terror,Aullido de terror
Lightning Lash,Látigo relámpago
Spit Acid,Ácido escupido
Spit Poison,Escupir veneno
Spray Acid,Ácido en aerosol
Attack!,¡Ataque!
Forwards!,¡Hacia adelante!
Regroup!,¡Reagruparse!
Stand Your Ground!,¡Mantén tu posición!
Precise Strike,Golpe preciso
Rapid Shot,Disparo rápido
The character makes a ranged attack,El personaje realiza un ataque a distancia.
"If that attack is successful, they may make another, free attack","Si ese ataque tiene éxito, podrás realizar otro ataque gratuito."
Pierce Armor,Perforar Armadura
Vein Strike,Golpe a la arteria
Savage Strike,Golpe salvaje
Shake the Earth,Sacudir la tierra
Shield Rush,Acometida de escudo
Perform an attack that pushes your opponent back one square if successfull,Realiza un ataque que empuja a tu oponente una casilla hacia atrás si tiene éxito
Deals normal damage,Inflige daño normal
Spellburn,Quemadura de hechizo
Storm of Steel,Tormenta de acero
Stunning Blow,Golpe impresionante
Thrust And Parry,Empuje y parada
Dash,Carrera
Hide in Combat,Esconderse en combate
You gain the ability to hide whilst in Combat,Obtienes la habilidad de esconderte mientras estas en combate.
Attacking whilst hidden triggers the Backstab attack,Atacar mientras estas oculto activa el ataque Puñalada por la espalda.
Infect,Infectar
Ice Breath,Aliento de hielo
Imperial Litany,Letanía imperial
Hamstring,Tendones
Second Wind,Segundo aliento
#Passive Abilitiy,#Habilidad pasiva
Backstabber,Traidor
Allows the character to perform Backstab Attacks against voulnerable targets,Permite al personaje realizar ataques de puñalada por la espalda contra objetivos vulnerables.
Evasive,Evasivo
Disengaging from Melee does not cause your turn to end,Desconectarse del combate cuerpo a cuerpo no hace que su turno termine.
Fancy Footwork,Trabajo de pies elegante
Swapping Places with allies not longer causes your Turn to end,Intercambiar lugares con aliados ya no provoca que tu turno termine.
Activate Spellcasting,Activar el lanzamiento de hechizos
Allows the character to begin studying schools of spellcasting,Permite al personaje comenzar a estudiar escuelas de lanzamiento de conjuros.
"To learn spells, pick and invest in one or more such schools","Para aprender hechizos, elige e invierte en una o mas de estas escuelas."
Increased Agiliy,Mayor agilidad
Increased Heavy Armor Use,Mayor uso de armadura pesada
Increased Light Armor Use,Mayor uso de armadura ligera
Increased Medium Armor Use,Mayor uso de armadura media
Increased Athletics,Aumento del atletismo
Increased Attunement,Mayor sintonía
Spell Aura Radius Increase,Aumento del radio del aura del hechizo
Increased Awareness,Mayor conciencia
Increased Backstab Damage,Aumento del daño por puñalada por la espalda
Pack Mule,Mula de carga
Increased Crafting,Aumento de elaboración
Critical Resistance,Resistencia critica
Increased Diplomacy,Mayor diplomacia
Increased Dodge,Mayor esquiva
Fletching,Emplumado
Doubles the chance of recovering a spent arrow after combat,Duplica la posibilidad de recuperar una flecha gastada después del combate.
Increased Fortitude,Mayor fortaleza
Increased Gold Drops,Aumento de las gotas de oro
Increased Healing,Mayor curación
Increased Initiative,Mayor iniciativa
Increased Intellect,Aumento del intelecto
Increased Lore,Conocimiento aumentado
Increased Max Cascade,Aumento de la cascada máxima
Increased Movement,Aumento del movimiento
Increased Presence,Mayor presencia
Increased Spell Aptitude,Mayor aptitud para hechizos
Increased Stealth,Mayor sigilo
Increased Strength,Mayor fuerza
You are powerfully built,Eres de complexión poderosa
to Strength Primary Attribute,Atributo principal de fuerza
Survival Increase,Aumento de la supervivencia
Increased Thievery,Aumento del robo
Increased Toughness,Mayor dureza
Increased Vitality,Mayor vitalidad
Increased Will,Mayor voluntad
Charger,Cargador
Axe Finesse,Delicadeza con hacha
Blade Finesse,Finura con hojas
Bow Finesse,Finura con arco
Club Finesse,Finura con garrotes
Light Weapon Finesse,Finura con armas ligeras
Vicious,Vicioso
Axe Damage,Daño de hacha
Blade Damage,Daño de la hoja
Bow Damage,Daño del arco
Club Damage,Daño al club
Brutal,Brutal
Heavy Weapon Damage,Daño de arma pesada
Light Weapon Damage,Daño de arma ligera
Piercing Damage,Daño por perforación
Phalanx,Falange
"While wielding a shield, get a dodge bonus for adjacent allies","Al blandir un escudo, obtienes una bonificación de esquiva para los aliados adyacentes."
Bonus is +1 per ally up to a maximum of the Phalanx Bonus attribute value (typically,La bonificación es +1 por aliado hasta un máximo del valor del atributo Bonificación de Falange (normalmente
Shield Training,Entrenamiento con escudo
Acid Immunity,Inmunidad al ácido
Blindness Immunity,Inmunidad a la ceguera
Cold Immunity,Inmunidad al frio
Critical Immunity,Inmunidad critica
Deafness Immunity,Inmunidad a la sordera
Disease Immunity,Inmunidad a las enfermedades
Lightning Immunity,Inmunidad a los rayos
Fire Immunity,Inmunidad al fuego
Non Magical Damage Immunity,Inmunidad al daño no mágico
Panic Immunity,Inmunidad al pánico
Paralysis Immunity,Inmunidad a la parálisis
Poison Immunity,Inmunidad al veneno
Sleep Immunity,Inmunidad del sueño
Fell Illumination,Iluminación caída
Multi Attack,Ataque múltiple
Gain 1 extra Attack per Turn,Gana 1 ataque adicional por turno
Greater Increased Attunement,Mayor sintonía aumentada
Major Natural Armor,Armadura natural mayor
Medium Natural Armor,Armadura natural media
Minor Natural Armor,Armadura natural menor
Greater Natural Weapons,Armas naturales mayores
Natural Weapons,Armas naturales
Point Blank Shot,Disparo a quemarropa
You can use Ranged Weapons even when in Melee,Puedes usar armas a distancia incluso en combate cuerpo a cuerpo.
Resistance,Resistencia
Slashing,Cuchillada
Blunt,Desafilado
Piercing,Perforación
Magical,Magfco
Cold,Frio
Acid,Ácido
Kinetic,Cinético
Sublime,Sublime
Electric,Eléctrico
Fire,Fuego
Psychic,Psíquico
Minor Resistance,Resistencia menor
Lightning,Relámpago
Physical,Físico
Increased Aura Radius,Radio del aura aumentado
Increased Line Effects,Efectos de línea aumentados
Increased Sphere Effects,Efectos de esfera aumentados
Air Magic Focus,Foco de magia aérea
Bardic Magic Focus,Foco de magia bárdica
Body Magic Focus,Foco magia corporal
Earth Magic Focus,Foco magia tierra
Fire Magic Focus,Foco magia fuego
Mind Magic Focus,Foco magia mental
Nature Magic Focus,Foco magia naturaleza
Spirit Magic Focus,Foco magia espiritual
Axe Accuracy,Precisión del hacha
Blade Accuracy,Precisión de la cuchilla
Bow Accuracy,Precisión del arco
Club Accuracy,Precisión del palo
General Accuracy,Precisión general
Heavy Weapon Accuracy,Precisión de armas pesadas
Light Weapon Accuracy,Precisión de armas ligeras
Melee Accuracy,Precisión cuerpo a cuerpo
Ranged Accuracy,Precisión a distancia
Vulnerability,Vulnerabilidad
Cold,Frio
Sublime,Sublime
Bonus XP Percentage,Porcentaje de XP adicional
Blessing of Agility,Bendición de agilidad
Blessing of Fortitude,Bendición de fortaleza
Blessing of Intellect,Bendición del intelecto
Blessing of Presence,Bendición de Presencia
Blessing of Strength,Bendición de fuerza
#Spells,#Hechizos
Spells,Hechizos
Armor of Thorns,Armadura de espinas
Heroic Aura,Aura heroica
Aura of Condemnation,Aura de condenación
Aura of Fear,Aura de miedo
Miasma,Miasma
Aura of Silence,Aura de silencio
Searing Light,Luz abrasadora
Smothering Blanket,Manto asfixiante
Sight to Behold,Una vista para contemplar
Eye-Shine,Brillo de ojos
Fire Sprite,Espíritu del fuego
Fireworks,Fuegos artificiales
Heroic Tune,Melodía heroica
Now you See Me,Ahora me ves
Lambent Dance,Danza laberíntica
Lifting Tune,Melodía de elevación
Light Please,Luz por favor
Raise the Curtain,Levanta el telón
Shadow Step,Paso de sombra
Song of Soothing,Canción tranquilizadora
Sparkledust,Polvo brillante
Whisper of Confusion,Susurro de confusión
Barkskin,Piel de corteza
Bear's Strength,La fuerza del oso
Blessing Aura,Aura de bendición
Blessing Touch,Toque de bendición
Blink,Parpadear
Mark of Blurring,Marca de desenfoque
Breath Glass,Aliento de cristal
Blinding Bolt,Rayo cegador
Circle of Corporeal Restoration,Circulo de Restauración Corpórea
Circle of Healing,Circulo de sanación
Circle of Mental Restoration,Circulo de Restauración Mental
Clear Senses,Sentidos despejados
Command of Paralyzation,Comando de Paralización
Cure Moderate Disease,Curar la enfermedad moderada
Heal Mind,Sanar la mente
Fleet of Foot,Flota de pies
Cure Moderate Poison,Curar el veneno moderado
Diamond Form,Forma de diamante
Dispel Magic,Disipar magia
Distort Mass,Distorsionar la masa
Divine Intervention,Intervención divina
Aura of Flame,Aura de llama
Fireball,Bola de fuego
Breath of the Ancients,Aliento de los Antiguos
Flaming Fists,Puños llameantes
Fire Frenzy,Frenesí de fuego
Inferno,Infierno
Searing Lash,Látigo abrasador
Aura of Fire Resistance,Aura de resistencia al fuego
Fire Warrior,Guerrero del fuego
