original,traducido
#Armor,#Armadura
Heavy Armor Use,Uso de armadura pesada
Reduced the encumberance of the armor when using this type of armor,Se redujo el peso de la armadura al usar este tipo de armadura.
Light Armor Use,Uso de armadura ligera
Mage Armor Use,Uso de armadura de mago
Medium Armor Use,Uso de armadura media
Shield Use,Uso del escudo
Added to Dodge when using a shield,Se agrego a Esquivar al usar un escudo.
Unarmored Mastery,Maestría sin armadura
Added to Dodge when unarmored,Se agrego a Esquivar cuando no se esta blindado.
#Combat Attributes,#Atributos de combate
Crit Chance,Probabilidad critica
Describes the percentage of Hits that are upgraded to Critical Hits,Describe el porcentaje de golpes que se mejoran a golpes críticos
Melee Dmg,Daño cuerpo a cuerpo
A bonus that is added to the melee damage range based on the characters strength,Una bonificación que se agrega al rango de daño cuerpo a cuerpo según la fuerza del personaje.
This is added to the current weapon's damage range for a total damage range,Esto se agrega al rango de daño del arma actual para un rango de daño total.
Initiative,Iniciativa
Initiative determines who goes first in combat,La iniciativa determina quien va primero en el combate.
Melee To Hit,Golpear cuerpo a cuerpo
The character's skill at attacking with melee weapons,La habilidad del personaje para atacar con armas cuerpo a cuerpo.
Determines hit chance,Determina la probabilidad de impacto
Ranged To Hit,Golpear a distancia
The characters skill at attacking with ranged weapons,La habilidad de los personajes para atacar con armas a distancia.
#ConditionResistances,#ResistenciasDeCondicion
Blindness Resistance,Resistencia a la ceguera
Resistance to a condition represents the percentage chance to avoid contracting the condition,La resistencia a una enfermedad representa el porcentaje de probabilidad de evitar contraer la enfermedad.
An attribute value of 100% or above means immunity to the condition in question,Un valor de atributo de 100% o superior significa inmunidad a la condición en cuestión
Charm Resistance,Resistencia al encanto
Confusion Resistance,Resistencia a la confusión
Crit,Crit
Hits Resistance,Resistencia a los golpes
Deafness Resistance,Resistencia a la sordera
Disease Resistance,Resistencia a las enfermedades
Immobilization Resistance,Resistencia a la inmovilizacion
Insanity Resistance,Resistencia a la locura
Panic Resistance,Resistencia al pánico
Paralysis Resistance,Resistencia a la parálisis
Poison Resistance,Resistencia al veneno
Silence Resistance,Resistencia al silencio
Sleep Resistance,Resistencia al sueño
#DamageBonuses,#BonificacionesDeDaño
Damage Bonus vs,Bonificación de daño vs.
Abominations,Abominaciones
Creature Damage bonuses increase the Damage dealt against certain types of creatures,Las bonificaciones de daño de criaturas aumentan el daño infligido contra ciertos tipos de criaturas.
Animals,Animales
Undead,No muertos
Vermin,Alimañas
Magic Damage Bonus,Bonificación de daño mágico
Damage bonuses increase the Damage dealt when using the indicated attack type,Las bonificaciones de daño aumentan el daño infligido al usar el tipo de ataque indicado.
Melee Damage Bonus,Bonificación de daño cuerpo a cuerpo
Ranged Damage Bonus,Bonificación de daño a distancia
Unarmed Damage Bonus,Bonificación de daño sin armas
Acid Damage Bonus,Bonificación por daño ácido
Damage Type bonuses increase the Damage dealt when the Damage is of the indicated type,Las bonificaciones de tipo de daño aumentan el daño infligido cuando el daño es del tipo indicado.
Blunt Damage Bonus,Bonificación de daño contundente
Cold Damage Bonus,Bonificación de daño por frio
Corruption Damage Bonus,Bonificación de daño por corrupción
Fire Damage Bonus,Bonificación de daño por fuego
Kinetic Damage Bonus,Bonificación de daño cinético
Piercing Damage Bonus,Bonificación de daño perforante
Slashing Damage Bonus,Bonificación de daño cortante
Sublime Damage Bonus,Bonificación de daño sublime
Axe Damage Bonus,Bonificación de daño del hacha
