original,traducido
#Backgrounds,#Fondos
Acolyte,Acólito
You claim a connection with the divine that goes far deeper than most,Afirmas tener una conexión con lo divino mucho mas profunda que la mayoría.
"Whether legitimate of not, you’re always ready to dispense holy wisdom; Be it Imperial gospel or the profane ramblings of the heretic","Legitimo o no, siempre estas dispuesto a dispensar santa sabiduría; Sea evangelio imperial o divagaciones profanas del hereje."
Thug,Matón
"Punch first, ask questions later","Golpea primero, pregunta después"
You have perfected the noble art of solving problems with brute force,Has perfeccionado el noble arte de resolver problemas con fuerza bruta
Courtier,Cortesano
Your time spent kissing noble arses has made you a master of navigating the cut-throat politics of the Imperial lay-courts,El tiempo que has pasado besando culos nobles te ha convertido en un maestro de la política despiadada de los tribunales laicos imperiales...
Criminal,Criminal
You are an esteemed member of the Empire’s teeming underworld with a special knack for getting in and out of places you shouldn’t be,Eres un estimado miembro de los bajos fondos del Imperio con un don especial para entrar y salir de lugares donde no deberías estar.
Fortune's Fool,El tonto de la fortuna
Deluxe Edition class,Clase Edición de lujo
You have unnaturally good luck and seem to find much more gold than others after combat,Tienes una suerte anormalmente buena y parece que encuentras mucho mas oro que los demás después del combate
Savant,Sabio
You’re a very fast learner and advance more rapidly through levels,Aprendes muy rápido y avanzas mas rápido a lo largo de los niveles
Scout,Explorador
You’re remarkably fleet of foot,Eres notablemente ágil
Entertainer,Artista
"In equal parts despised and adored by the wealthy of the Empire, the traveling entertainer can make a pretty penny off their blinding charisma and nimble fingers","Despreciado y adorado a partes iguales por los ricos del Imperio, el artista ambulante puede ganar mucho dinero con su carisma cegador y sus ágiles dedos."
Guilder,Florín
"Like so many of the Empires young and promising, you were recruited into guild service at a fairly early age","Como muchos de los prometedores jóvenes del Imperio, fuiste reclutado por el gremio a una edad bastante temprana."
"As the saying goes, work for the illustrious guilds tends to leave you with 'gold in your purse and blood on your hands'","Como dice el refrán, trabajar para los gremios ilustres suele dejarte «oro en la bolsa y sangre en las manos»."
Laborer,Obrero
You’ve spent years toiling under the oppressive yoke of hard labor,Has pasado años esforzándote bajo el opresivo yugo de los trabajos forzados
"Though it may not have left you with much coin in your pocket, it has given you an unnatural resistance to hardship","Aunque puede que no te haya dejado muchas monedas en el bolsillo, te ha dado una resistencia antinatural a las penurias"
Ex-Legionary,Ex legionario
A member of the ‘old breed’,Un miembro de la ‘vieja estirpe’
You now belong to the ever-growing fraternity of fellow men and women with scarred bodies and broken minds who roam the Empire in search for a quiet piece of land to call home,Ahora perteneces a la creciente fraternidad de hombres y mujeres con cuerpos llenos de cicatrices y mentes rotas que vagan por el Imperio en busca de un pedazo de tierra tranquilo al que llamar hogar.
Sellsword,Mercenario
"With the once-mighty legions of the Empire in decline, this is an age of sellswords and mercenaries","Con las otrora poderosas legiones del Imperio en declive, esta es una época de mercenarios y espadachines."
There is no shortage of those willing to pay professionals to wreak violence on others and you are very good at your job,No faltan quienes están dispuestos a pagar a profesionales para que ejerzan la violencia sobre los demás y tu eres realmente bueno en eso
Monastic,Monástico
You have served one of the holy orders of the Empire from the safety of one of its walled monastic communities,Has servido a una de las ordenes sagradas del Imperio desde la seguridad de una de sus comunidades monásticas amuralladas
Pray the world has not grown too cruel in your absence,Reza para que el mundo no se haya vuelto demasiado cruel en tu ausencia
Noble,Noble
"An individual of old blood, you learned long ago that wealth and connections tend to open doors that are otherwise closed to the filthy masses","Un individuo de sangre antigua, que aprendió hace mucho tiempo que la riqueza y las conexiones tienden a abrir puertas que de otro modo están cerradas para los pueblerinos."
Sailor,Marinero
You’ve heard the call of the Mother of Maelstroms and salt water now runs in your veins,Has oído la llamada de la Madre de los remolinos marinos y ahora corre agua salada por tus venas
"Whether on the deck of a Guilder caravel or manning the sails of a meager fishing sloop, you feel most at home when you’re at sea","Ya sea en la cubierta de una carabela de los comerciantes o manejando las velas de un misero balandro de pesca, uno se siente como en casa cuando esta en el mar."
Street Rat,Ratero
Spending your formative years fending for yourself on the hard streets of the Empire’s sprawling cities has left you with a preternatural instinct for surviving,Pasar tus años de formación valiendote por ti mismo en las duras calles de las extensas ciudades del Imperio te ha dotado de un instinto preternatural para sobrevivir.
No crime is too petty - no meat too mysterious,"Ningún delito es demasiado pequeño, ninguna carne demasiado misteriosa"
Vagabond,Vagabundo
"Having spent most of your teenage years’ on the road, you are a free spirit with no allegiance to any one person or place","Habiendo pasado la mayor parte de su adolescencia en la calle, eres un espíritu libre sin lealtad a ninguna persona o lugar."
"Drifting from place to place, you go where there is work, food and a warm bed to be had","Vas de un lugar a otro, donde hay trabajo, comida y una cama caliente."
Wildling,Salvaje
"As the light of civilization fades, the vast wildernesses of the Empire encroach on the civilized folk","A medida que la luz de la civilización se desvanece, los vastos paramos del Imperio invaden al pueblo civilizado."
Thankfully you don’t count yourself among those,Afortunadamente no te cuentas entre esos
The sky is your temple and the howling of wolves your litany,El cielo es tu templo y el aullido de los lobos tu letanía
Nomad,Nómada
"You’ve spent years across the seas, living with the desert nomads","Has pasado años cruzando los mares, viviendo con los nómadas del desierto"
"Though ever the outsider, the nomads deemed you trust-worthy enough to become an initiate in the mysteries of their pagan fire-worship",Los nómadas te consideraron digno de confianza para iniciarte en los misterios de su culto pagano al fuego...
Snake-Cultist,Cultista de la serpiente
Writhing with serpents in darkened cellars and hidden temples has left you immune to the snake’s kiss,Retorcerte con serpientes en sótanos oscuros y templos ocultos te ha hecho inmune al beso de la serpiente.
#NPC Backgrounds,#Fondos de NPC
Citizen,Ciudadano
Craftsman,Artesano
Farmer,Agricultor
Fisherman,Pescador
Guild Sailor,Marinero del Gremio
Insane,Loco
Official,Oficial
Refugee,Refugiado
Servant,Servidor
Vagrant,Vagabundo
Shipwrecked,Naufrago
