original,traducido
#Animals,#Animales
Chicken,Pollo
Dog,Perro
The dog is roaming around restlessly,El perro esta deambulando inquieto
Goat,Cabra
#Common Humanoids,#Humanoides comunes
Commoner,Plebeyo
Guard,Guardia
A guardsman dressed in the livery of the noble house Berryn scowls at you,Un guardia vestido con la librea de la noble casa Berryn te mira con el ceño fruncido
Armsmaster Lyra awaits you at the main entrance,La maestra de armas Lyra te espera en la entrada principal
You best talk to her if you've not already done so,Sera mejor que hables con ella si aun no lo has hecho
Guest,Invitado
Scullion,Pinche
Good evening m'lord,Buenas noches  mi señor
Good evening m'lady,Buenas noches mi señora
the red-faced scullion bows slightly,El pinche de cara roja hace una ligera reverencia
Servants,Servicio
Henchman,Secuaz
Brigand Archer,Arquero bandido
Brigand Rogue,Bandido picaro
Brigand Swordsman,Espadachin bandido
Child,Niño
Jester,Bufon
Farmer,Agricultor
Fruit-Picker,Recolector de frutas
Handmaid,Criada
Crewmember,Miembro de la tripulacion
Refugee,Refugiado
"A ragged, hungry refugee from Horryn",Un refugiado harapiento y hambriento de Horryn
Treasure Hunter,Cazador de tesoros
Fire-Spitter,Escupe fuego
Mercenary,Mercenario
"The mercenary looks at you, menacingly",El mercenario te mira amenazadoramente
Armorer,Armero
Arms Merchant,Comerciante de armas
Food Merchant,Comerciante de alimentos
Potion Merchant,Comerciante de pociones
Reagent Merchant,Comerciante de reactivos
Spell Merchant,Comerciante de hechizos
Trinket Merchant,Comerciante de baratijas
Pilgrim,Peregrino
Reaver Berserker,Berserker devorador
Reaver Brute,Bruto reaver
Reaver Scout,Explorador Reaver
Reaver,Saqueador
Reaver Blackguard,Reaver Blackguard
Reaver Mystic,Mistico Reaver
Cultist,Cultista
Prisoner,Prisionero
Wretch,Desgraciado
Sailor,Marinero
Captain,Capitan
Mad Sailor,Marinero loco
Mad Sailo,Sailo loco
Guild Magos,Magos del gremio
Guild Mag,Revista del gremio
Wight,Wight
Apprentice,Aprendiz
Feral Clone,Clon salvaje
#Monsters,#Monstruos
Giant Bat,Murcielago gigante
Giant Beetle,Escarabajo gigante
