original,translate
Victory!,¡Victoria!
Combat!,¡Combate!
There are no enemies. Press ENTER to leave combat!,No hay enemigos. Pulsa ENTER para salir del combate
Auto-resolving round!,¡Ronda de autorresolucion!
Press any key to stop!,¡Pulse cualquier tecla para parar!
The combatants stare at each other from across the battlefield,Los combatientes se miran fijamente desde el otro lado del campo de batalla
The party has been attacked!,¡El grupo ha sido atacado!
Prepare for combat!,¡Preparate para el combate!
REMEMBER: You can press RETURN on your turn to auto-resolve combat!,RECUERDA: ¡Puedes pulsar ENTRAR en tu turno para resolver automaticamente el combate!
Round,Turno
Deploy Your Party!,Despliega al grupo!
Begin Combat!,¡Gloria y Honor!
Deploy your party and press {ITEM},Despliega tu grupo y pulsa {ITEM}
Deploy Party,Despliegue Grupo
Out of range,Fuera de rango
Pass turn and defend,Pasar turno y defender
Open the current character's Inventory,Abrir el Inventario del personaje actual
Hold action until end of turn,Mantener la accion hasta el final del turno
Slashing Damage,Daño cortante
Bloodied!,Ensangrentado!
Charge {ITEM},Cargar {ITEM}
Select an Item to use,Seleccione un articulo para utilizar
View combat log,Ver registro de combate
Repeat last action,Repetir la ultima accion
No Maneuvers to perform,Sin maniobras que realizar
No spells available,Sin hechizos disponibles
Perform attack,Realizar ataque
Select a Maneuver to perform,Selecciona una Maniobra a realizar
Fire-Spit,Hoguera
Electric Damage,Daños electricos
Fire Damage,Daños por fuego
Mercenary begun,Mercenario iniciado
An option!,¡Una opcion!
Critical Hit!,¡Golpe critico!
