original,translation
#Apperances,#Apariencias
Carylla,Carylla
#Difficulties,#Dificultades
Narrative,Narrativo
Narrative mode is the difficulty for players who would like to experience the game’s story and setting with a minimum of focus on combat and grinding,El modo Narrativo es la dificultad para los jugadores que quieran experimentar la historia y el escenario del juego centrándose lo menos posible en el combate y el desgaste
Easy,Fácil
Easy mode is a great way for players who are new to this style of roleplaying game to experience Skald,El modo Fácil es una buena forma de experimentar Skald para los jugadores que son nuevos en este estilo de juego de rol
Combat is forgiving and there should be little need to optimize character builds,El combate es indulgente y debería haber poca necesidad de optimizar la construcción de los personajes
Dice rolls are weighted in the player’s favor,Las tiradas de dados se ponderan a favor del jugador
Normal,Normal
Normal mode is the game’s intended difficulty setting,El modo Normal es la dificultad prevista del juego
There is only very limited artificial smoothing of certain dice rolls,Sólo hay un suavizado artificial muy limitado de ciertas tiradas de dados
Hard,Difícil
Hard mode is intended to offer the player a challenge without feeling unfair,El modo Difícil pretende ofrecer al jugador un desafío sin que se sienta injusto.
Dice rolls are slightly weighted in the opponent's favor making them more deadly,"Las tiradas de dados están ligeramente ponderadas a favor del oponente, lo que las hace más mortíferas"
#Encounters,#Encounters
Brigands,Brigadas
You’ve been beset by brigands!,¡Has sido acosado por bandidos!
Stand and deliver!,¡Levántate y enfréntate!
Abandoned Cargo,Carga abandonada
There is some abandoned cargo strewn on the road ahead of you,Hay una carga abandonada esparcida por el camino delante de ti
Horrors from the deep,Horrores de las profundidades
You're being attacked by enormous fell-crabs!,¡Te atacan unos cangrejos enormes!
Crawlers,Orugas
Foul creatures swarm from holes in the ground!,¡Horribles criaturas pululan por los agujeros del suelo!
Devolved,Devolved
"More beast than man, devolved troglodytes charge towards you!","¡Más bestias que hombres, los trogloditas devolucionados cargan hacia ti!"
Flotsam,Fragmentos flotantes
You come across some flotsam,Te encuentras con restos flotantes
Giant Insects,Insectos gigantes
Giant insects scurry towards you!,¡Insectos gigantes se abalanzan sobre ti!
Giant insects swarm you!,Insectos gigantes
White Hounds,Sabuesos blancos
Foul slavering beasts barrel towards you!,¡Bestias hediondas y voraces se abalanzan sobre ti!
Crabs,Cangrejos
You're being swarmed by monsterously over-grown crabs!,¡Te acosan cangrejos monstruosamente crecidos!
Rot Crabs,Cangrejos podridos
Horribly changes crustaceans shamble towards you!,¡Crustáceos horriblemente cambiados se arrastran hacia ti!
