original,translation,
#Chapter 0,#Capitulo 0,
Man Over Board,Hombre a bordo,
Roland fell overboard,Roland cayó por la borda,
An Old Boar,Un viejo jabalí,
"I encountered one of my father’s old friends, Kydeon, at the Berryn estate","Me encontré con Kydeon, uno de los viejos amigos de mi padre, en la finca de Berryn",
It was good to see the old boar again,Me alegró volver a ver al viejo jabalí,
Waking up,Despertar,
I woke up in the hold of the Zephyr to find something is wrong on the ship,Me desperté en la bodega del Céfiro y descubrí que algo iba mal en el barco.,
#Chapter 1,#Capítulo 1,
A Foul Cave,Una cueva asquerosa,
I discovered a cave near the spot where I landed on Idra,Descubrí una cueva cerca del lugar donde aterricé en Idra,
A foul stench of rotting flesh and seaweed lies thick inside,Un hedor nauseabundo a carne podrida y algas yace en el interior,
Driina the Sepulchite,Driina la Sepulcita,
I was joined by a Sepulchite cleric by the name Driina,Me acompañó una clériga Sepulcita llamada Driina,
She intends to search for a way into the city of Horryn which has apparently been overrun by cultists,Ella pretende buscar un camino hacia la ciudad de Horryn que aparentemente ha sido invadida por cultistas,
"Before we leave the camp, she insists we make a stop by the camp’s de-facto leader","Antes de que dejemos el campamento, ella insiste en que hagamos una parada en el campamento de- líder de facto del campamento",
Someone named Markus who is holed up in a stable nearby,Alguien llamado Markus que está escondido en un establo cercano,
A Floating Corpse,Un cadáver flotante,
I found a lost soul in the underwater cave system under the lighthouse,Encontré un alma perdida en el sistema de cuevas submarinas bajo el faro,
The poor wretch must have gotten lost in the darkness and drowned,El pobre desgraciado debe haberse perdido en la oscuridad y se ahogó,
I must take care I do not share his fate,Debo tener cuidado de no compartir su destino,
There was a key on the corpse,Había una llave en el cadáver había una llave en el cadáver,
Embla in Horryn,Embla en Horryn,
Frantzo the former innkeeper just told me that Embla stayed at his inn in Horryn in the days leading up to the calamities that saw the city overrun,"Frantzo, el antiguo posadero, acaba de decirme que Embla se alojó en su posada de Horryn en los días previos a las calamidades que asolaron la ciudad",
The Gates are Sealed,Las puertas están selladas,
