original,translation
Select,Seleccionar
Abort,Abortar
Pick a Difficulty,Elige una dificultad
Character Creation,Creación del personaje
Class,Clase
Background,Trasfondo
Attributes,Atributos
Appearance,Apariencia
Welcome to character creation!,¡Bienvenido a la creación de personajes!
Start by picking a DIFFICULTY for your playthrough,Empieza por elegir una DIFICULTAD para tu partida
Are you sure you want to abort?,¿Seguro que quieres abortar?
Difficulty can be changed during play,Dificultad modificable durante el juego
Bard,Bardo
Battlemagos,Battlemagos
Champion,Campeon
Hierophant,Hierofante
Hospitaller,Hospitalario
Officer,Oficial
Ranger,Guardabosque
Thief,Ladron
Select a Class,Seleccione una clase
ARMSMASTER,MAESTRO DE ARMAS
Archetype,Arquetipo
Warrior,Guerrero
The Main Attribute for this Class is Strength,El atributo principal de esta clase es la fuerza
Start,Comenzar
DP,DP
HP/Lvl,PG/ Nivel
Magic/Lvl,Magia/ Nvl
May use any armor,Puede utilizar cualquiera armadura
"May use all weapons of type Blade, Axe, Club and Bow","Puede usar todas las armas de tipo Hoja, Hacha, Garrote y Arco"
"Next, select a CLASS for your character!","A continuación, selecciona una CLASE para tu personaje."
Classes define a character's role in the party by adding certain exclusive abilities,Las clases definen el papel de un personaje en el grupo añadiendo ciertas habilidades exclusivas.
DEVELOPMENT POINTS,PUNTOS DE DESARROLLO
Development Points are gained when leveling up and used to buy ranks in Feats,Los puntos de desarrollo se obtienen al subir de nivel y se utilizan para comprar rangos en hazañas.
This unlocks new Abilities for the Character making them more powerful,"Esto desbloquea nuevas habilidades para el personaje, haciéndolo más poderoso."
MAIN ATTRIBUTE,ATRIBUTO PRINCIPAL
The Main Attribute is the Attribute that is the most important for this Class,El Atributo Principal es el Atributo más importante para esta Clase
STRENGTH,FUERZA
Attribute - Primary,Atributo - Primario
A measure of a character's brawn and physical power,Medida de la fuerza muscular y física de un personaje.
ATTUNEMENT PER LEVEL,AFINACIÓN POR NIVEL
"Indicates how much of the game’s Magic resource, Attunement, is gained every time the character levels up","Indica la cantidad del recurso mágico del juego, Attunement, que se obtiene cada vez que el personaje sube de nivel."
VITALITY PER LEVEL,VITALIDAD POR NIVEL
"Indicates how much of the game’s Hitpoint resource, Vitality, is gained every time the character levels up","Indica la cantidad de Vitalidad, el recurso de puntos de vida del juego, que se obtiene cada vez que el personaje sube de nivel."
BARD,BARDO
Rogue,Picaro
The Bard mixes the Rogue’s decent combat skills and high maneuverability with the use of arcane magic,El Bardo mezcla las decentes habilidades de combate y la gran maniobrabilidad del Pícaro con el uso de la magia arcana.
The Main Attribute for this Class is Presence,El principal atributo de esta clase es la presencia
May wear Light armor,Puede llevar armadura ligera
"May use Light and Medium weapons of type Blade, Axe, Club and Bow","Puede usar armas ligeras y medianas de tipo hoja, hacha, garrote y arco."
ROGUE,PICARO
The Rogue combines important non-combat skills with a large damage output against single targets,El pícaro combina importantes habilidades no relacionadas con el combate con una gran capacidad de daño contra objetivos individuales.
BATTLEMAGOS,MAGOS DE BATALLA
"Unlike other Magi, they also get access to a few basic combat-related Feats and may wear light armor","A diferencia de otros Magos, también tienen acceso a algunas proezas básicas relacionadas con el combate y pueden llevar armadura ligera."
The Main Attribute for this Class is Intellect,El atributo principal de esta clase es el intelecto.
"May use Light weapons of type Blade, Club and Bow","Puede usar armas ligeras de tipo Hoja, Garrote y Arco"
CHAMPION,CAMPEON
Cleric,Clerigo
The Champion is a Cleric who excels in the use of blades and armor whilst still having limited divine spell-casting abilities,"El Campeón es un Clérigo que sobresale en el uso de espadas y armaduras, al tiempo que posee habilidades limitadas para lanzar hechizos divinos."
May use all weapons of type Blade and Club,Puede usar todas las armas de tipo Espada y Club
GUILD-MAGOS,MAGOS DEL GREMIO
This comes at the cost of having absolutely no combat related Feats,Esto tiene el coste de no tener ninguna hazaña relacionada con el combate.
May not wear armor,No puede llevar armadura
HIEROPHANT,HIEROFANTE
A Hierophant is a Cleric who can develop all the different Divine Spell Schools fully,Un Hierofante es un Clérigo que puede desarrollar completamente todas las diferentes Escuelas de Hechizos Divinos.
May use Light and Medium weapons of type Club,Puede utilizar armas ligeras y medianas de tipo garrote
HOSPITALLER,HOSPITALARIO
The Hospitaller is a Cleric who serves as a front line healer,El Hospitalario es un clérigo que actúa como sanador de primera línea.
"Well armed and armored, they can stand their ground against overwhelming foes whilst also getting access to the highest tiers of the Body Magic School","Bien armados y blindados, pueden hacer frente a enemigos abrumadores y, al mismo tiempo, acceder a los niveles más altos de la Escuela de Magia Corporal."
OFFICER,OFICIAL
The Officer is a skilled warrior who serves as a force multiplier through their tactical skills,El oficial es un guerrero experto que actúa como multiplicador de fuerzas gracias a sus habilidades tácticas.
"Issuing orders across the battlefield, they vastly improve the performance of their fellow party-members","Al dar órdenes en el campo de batalla, mejoran enormemente el rendimiento de sus compañeros."
RANGER,GUARDABOSQUE
The Ranger is a Warrior specializing in ranged combat and with access to limited nature magic,El guardabosques es un guerrero especializado en el combate a distancia y con acceso a magia de la naturaleza limitada.
THIEF,LADRON
The Thief is a Rogue who uses Stealth to set up devestating Backstab attacks,El Ladrón es un Pícaro que utiliza el Sigilo para preparar devastadores ataques de Puñalada Trapera.
The Main Attribute for this Class is Agility,El Atributo Principal de esta Clase es la Agilidad
STEALTH,SIGILO
Attribute - Skill,Atributo - Habilidad
Stealth is used during adventuring,El sigilo se utiliza durante las aventuras
In particular it determines if NPCs notice the party as it moves around,"En particular, determina si los PNJ se fijan en el grupo cuando se desplaza."
AGILITY,AGILIDAD
"A measure of hand-eye coordination, nimbleness and dexterity","Una medida de la coordinación mano-ojo, la agilidad y la destreza."
BACKSTAB,PUÑALADA POR LA ESPALDA
A character that has activated the Ability to Backstab will automatically perform Backstabbing Attacks against opponents that are either Flanked or Vulnerable,Un personaje que haya activado la habilidad Puñalada trapera realizará automáticamente ataques de puñalada trapera contra los oponentes que estén flanqueados o sean vulnerables.
A successful Backstab Attack adds the character’s Backstab Bonus Multiplied by the Weapon’s Crit Modifier to the damage roll,Una Puñalada Trapera exitosa añade el Bono de Puñalada Trapera del personaje Multiplicado por el Modificador de Crítico del Arma a la tirada de daño.
FLANKING,FLANQUEO
A character can be Flanked if opponents occupy the tile above and below it or to the left and right of it,Un personaje puede ser Flanqueado si sus oponentes ocupan la baldosa por encima y por debajo de él o a la izquierda y a la derecha de él.
Attacking a Flanked target allows the Attacker to add their Flanking Bonus to the Attack Roll,Atacar a un objetivo flanqueado permite al atacante sumar su bonificación de flanqueo a la tirada de ataque.
Rogues may Backstab Flanked Characters,Los pícaros pueden apuñalar por la espalda a los personajes flanqueados
BACKSTAB BONUS,BONIFICACION DE PUÑALADA POR LA ESPALDA
"If a successful Backstab Attack is performed, this Attribute is multiplied by the Weapon’s Crit multiplier and added to the total Damage","Si se realiza un ataque de puñalada trapera con éxito, este atributo se multiplica por el multiplicador de crítico del arma y se añade al daño total."
VULNERABLE,VULNERABLE
A Vulnerable character cannot defend themselves,Un personaje vulnerable no puede defenderse
This makes them much easier to hit and it also means they can be Backstabbed,Esto hace que sean mucho más fáciles de golpear y también significa que pueden ser Backstabbed
WARRIOR,GUERRERO
A Warrior is a front-line fighter who can take and deal large amounts of damage,Un guerrero es un luchador de primera línea que puede recibir e infligir grandes cantidades de daño.
PRESENCE,PRESENCIA
A character's ability to read and react to the surrounding environment and people,Capacidad del personaje para leer y reaccionar ante el entorno y las personas que lo rodean.
ATTUNEMENT,ATENCIÓN
Attribute - Magic,Atributo - Magia
CLERIC,CLERIGO
The Cleric offers close-range support to their party through close ranged buffs and restorative spells,El clérigo ofrece apoyo cuerpo a cuerpo a su grupo mediante potenciadores a corta distancia y hechizos reconstituyentes.
BODY MAGIC SCHOOL,ESCUELA DE MAGIA CORPORAL
The value of this attribute indicates the highest Spell Tier of Body magic spells you may cast,El valor de este atributo indica el Nivel de Hechizo más alto de los hechizos de magia corporal que puedes lanzar
SPELL TIER,NIVEL DE HECHIZO
"By studying different Schools of Spellcasting, a character gains Spell Tiers in that School","Al estudiar diferentes Escuelas de Hechicería, un personaje gana Niveles de Hechizo en esa Escuela"
Spell Tiers qualify a character to learn spells and different spells have different Tier requirements,Los niveles de los hechizos permiten a un personaje aprender hechizos y cada hechizo tiene un nivel diferente.
MAGOS,MAGOS
"The Magos is a ranged strikers that can cast powerful, and often destructive, spells","El Magos es un atacante a distancia que puede lanzar poderosos hechizos, a menudo destructivos."
INTELLECT,INTELECTO
"Mental acuity, recall and analytical skill","Agudeza mental, memoria y capacidad de análisis"
FIRE MAGIC SCHOOL,ESCUELA DE MAGIA DE FUEGO
The value of this attribute indicates the highest Spell Tier of Fire magic spells you may cast,El valor de este atributo indica el Nivel de Hechizo más alto de los hechizos mágicos de Fuego que puedes lanzar
Acolyte,Acolito
Courtier,Cortesano
Entertainer,Artista
Ex-Legionary,Ex legionario
Guilder,Florin
Laborer,Obrero
Monastic,Monastico
Noble,Noble
Nomad,Nomada
Snake-Cultist,Cultista de la serpiente
Street Rat,Rata callejera
Thug,Maton
Vagabond,Vagabundo
Wildling,Salvaje
Select a Background,Seleccione un fondo
ACOLYTE,ACOLITO
You claim a connection with the divine that goes far deeper than most,Afirmas tener una conexión con lo divino mucho más profunda que la mayoría.
"Whether legitimate of not, you’re always ready to dispense holy wisdom; Be it Imperial gospel or the profane ramblings of the heretic","Legítimo o no, siempre estás dispuesto a dispensar santa sabiduría; Sea evangelio imperial o divagaciones profanas del hereje."
+5 Attunement,+5 Atencion
Select a BACKGROUND for your character,Selecciona un FONDO para tu personaje
"BACKGROUNDS add points in skills, influence starting conditions and narrative content","Los ANTECEDENTES añaden puntos en las habilidades, influyen en las condiciones iniciales y en el contenido narrativo."
COURTIER,CORTESANO
Your time spent kissing noble arses has made you a master of navigating the cut-throat politics of the Imperial lay-courts,El tiempo que has pasado besando culos nobles te ha convertido en un maestro de la política despiadada de los tribunales laicos imperiales...
+1 Awareness,+1 Conciencia
+1 Diplomacy,+1 Diplomacia
NOBLE,NOBLE
"An individual of old blood, you learned long ago that wealth and connections tend to open doors that are otherwise closed to the filthy masses","Un individuo de sangre antigua, que aprendió hace mucho tiempo que la riqueza y las conexiones tienden a abrir puertas que de otro modo están cerradas a las masas sucias."
+1 Lore,+1 Conocimiento
DIPLOMACY,DIPLOMACIA
"Diplomacy is used to lie, bargain or sway others in negotiations","La diplomacia se utiliza para mentir, regatear o influenciar a otros en las negociaciones."
It influences prices at merchants,Influye en los precios de los comerciantes
LORE,CONOCIMIENTO
A general knowledge skill,Conocimientos generales
AWARENESS,CONCIENCIA
The ability to notice small details and hidden things,La capacidad de darse cuenta de pequeños detalles y cosas ocultas
You are an esteemed member of the Empire’s teeming underworld with a special knack for getting in and out of places you shouldn’t be,Eres un estimado miembro de los bajos fondos del Imperio con un don especial para entrar y salir de lugares donde no deberías estar.
+1 Stealth,+1 Sigilo
+1 Thievery,+1 Robo
THIEVERY,ROBO
Used to pick locks and pockets as well as to steal from shops,"Se utiliza para forzar cerraduras y bolsillos, así como para robar en tiendas"
ENTERTAINER,ARTISTA
"In equal parts despised and adored by the wealthy of the Empire, the traveling entertainer can make a pretty penny off their blinding charisma and nimble fingers","Despreciado y adorado a partes iguales por los ricos del Imperio, el artista ambulante puede ganar mucho dinero con su carisma cegador y sus ágiles dedos."
EX-LEGIONARY,EXLEGIONARIO
A member of the ‘old breed’,Un miembro de la ‘vieja estirpe’
You now belong to the ever-growing fraternity of fellow men and women with scarred bodies and broken minds who roam the Empire in search for a quiet piece of land to call home,Ahora perteneces a la creciente fraternidad de hombres y mujeres con cuerpos llenos de cicatrices y mentes rotas que vagan por el Imperio en busca de un pedazo de tierra tranquilo al que llamar hogar.
+30lbs Carrying Bonus,+30lbs Bonificación de carga
CARRYING BONUS,BONO A CARGA
