original,traducido
#Beds,#Camas
Bed,Cama
Bedroll,Saco de dormir
#Containers,#Contenedores
Armor Stand,Soporte de armadura
Armor Stands,Soportes de armadura
Backpack,Mochila
Arrows,Flechas
A Barrel,Un barril
"A barrel of standard Imperial measurements, used to carry cargo on Guild ships","Un barril de medidas imperiales estandar, utilizado para transportar carga en las naves del Gremio."
Barrels,Barriles
Bookshelf,Estante para libros
Box,Caja
A solid box,Una caja solida
Brandy Crates,Cajas de brandy
Cabinet,Gabinete
A Chest,Un cofre
A sturdy wooden chest,Un cofre de madera resistente
A shoddy wooden chest,Un cofre de madera de mala calidad
Cocoon,Capullo
The Butcher,El carnicero
Corpse,Cadaver
Sailor's Corpse,Cadaver del marinero
Kala,Kala
Oleg,Oleg
Mauled Corpses,Cadaveres mutilados
A Crate,Una caja
A well made wooden crate that carries the brand of the Nautical Guild,Una caja de madera bien hecha que lleva la marca del Gremio Nautico.
Crates,Cajas
Small wooden crates,pequeñas cajas de madera
Alcove,Hueco
Shelves,Estantes
Desk,Escritorio
Apothecary's Desk,Escritorio del boticario
Flower,Flor
Secret Compartment,Compartimento secreto
Your Luggage,Tu equipaje
A very sturdy wooden chest,Un cofre de madera muy resistente.
A sturdy chest,Un cofre robusto
Table of Notes,Tabla de notas
Sacks,Sacos
Sarcophagus,Sarcofago
Reagent Shelf,Estante para reactivos
Smuggler's Corpse,Cadaver del contrabandista
Table,Mesa
Surgical Tools,Herramientas quirurgicas
#Decoratives,#Decorativos
Cave-In,Derrumbe
Aquarium,Acuario
Cauldron,Caldera
An empty cauldron,Un caldero vacio
Eyes,Ojos
Fountain,Fuente
Glowstaff,Baston luminoso
Reefs,Arrecifes
Empty Grave,Tumba vacia
Pile of Straw,Pila de paja
Infestation,Infestacion
Ancient Pottery,Ceramica antigua
"Ancient clay pottery covered in strange, ornate circular patterns",Ceramica de arcilla antigua cubierta de extraños y ornamentados patrones circulares
Hole,Agujero
Scarecrow,Espantapajaros
#Doors,#Puertas
Barred Gate,Puerta enrejada
Door,Puerta
Gate,Puerta
A Door,Una puerta
A double wooden door,Una puerta doble de madera
A simple wooden door,Una sencilla puerta de madera
A flimsy wooden door,Una puerta de madera endeble
A Hidden Door,Una puerta oculta
Stone Slab,Losa de piedra
"A massive, reinforced door",Una puerta maciza y reforzada
This door appears to be barricaded from the other side,Esta puerta parece estar bloqueada desde el otro lado.
It cannot be opened from this side,No se puede abrir desde este lado.
Barred Door,Puerta enrejada
Inn Door,Puerta de la posada
Portal,Portal
Web,Web
The web of some giant arachnid,La red de algun aracnido gigante
#Inspectables,#Inspeccionables
The piece of paper seems to contain a work order,El trozo de papel parece contener una orden de trabajo.
"and as can clearly be observed, the tunnel’s support pillar is close to giving in","y como se puede observar claramente, el pilar de soporte del tunel esta a punto de ceder."
"If this last piece of support was to be removed, it is highly likely that the tunnel would collapse completely","Si se eliminara esta ultima pieza de soporte, es muy probable que el tunel se derrumbara por completo."
continue the previous day’s work of expanding the tunnel eastwards,Continuar el trabajo del dia anterior de ampliacion del tunel hacia el este.
I believe you should be very close to breaking through,Creo que deberias estar muy cerca de abrirte paso.
Doing so will allow us to create a short-cut to the mine’s entrance and I don’t need to tell you how much this would improve logistics,Hacerlo nos permitira crear un atajo a la entrada de la mina y no necesito decirles cuanto mejoraria esto la logistica.
Barricade,Barricada
A barricade constructed from debris blocks this path,Una barricada construida con escombros bloquea este camino.
It is too large to dismantle before retaking the city and for now you must find some way around it,Es demasiado grande para desmantelarlo antes de retomar la ciudad y por ahora debes encontrar alguna forma de rodearlo.
Cave In,Rendirse a
A portion of the cave has collapsed behind you,Una parte de la cueva se ha derrumbado detras de ti.
There is no going back this way,No hay vuelta atras por aqui
Spider Corpse,Cadaver de araña
The mauled corpse of a giant spider,El cadaver mutilado de una araña gigante
Grave,Tumba
A fresh grave with a simple marker made of sticks,Una tumba reciente con un marcador sencillo hecho con palos.
No name can be found upon it,No se puede encontrar ningun nombre en el
The corpse belongs to a graying old man,El cadaver pertenece a un anciano canoso.
His face is serene and there is nothing to indicate he did not die of natural causes,Su rostro esta sereno y no hay nada que indique que no murio por causas naturales.
"Leaning over the body however, you spot thin strands of some bizarre purplish fungal growth protruding from the man's mouth and nose","Sin embargo, al inclinarse sobre el cuerpo, se ven finas hebras de un extraño crecimiento fungico de color purpura que sobresalen de la boca y la nariz del hombre."
"Strange vines of some unknown, purplish growth bursts forth from the masonry",Extrañas vides de un crecimiento desconocido y violaceo brotan de la mamposteria.
"As you lean in, fine strands reach greedily towards you","A medida que te inclinas, los hilos finos se extienden con avidez hacia ti."
You recoil in disgust and decide it’s best to not touch the growths,Retrocedes con disgusto y decides que es mejor no tocar los crecimientos.
Dead Body,Cadaver
A body lies broken upon the ground,Un cuerpo yace destrozado en el suelo.
"Though it has been gnawed by hounds, it seems clear that this person fell or jumped from the cliffs above","Aunque ha sido roido por perros, parece claro que esta persona se cayo o salto desde los acantilados de arriba."
Old Crates,Cajas viejas
Old and ruined shipping crates litter this part of the cave,Cajas de envio viejas y en ruinas ensucian esta parte de la cueva.
Only smugglers would use a place like this to store their goods,Solo los contrabandistas utilizarian un lugar como este para almacenar sus mercancias.
"Perhaps there are other, similar caches to be found on the Outer Isles?",¿Quizas se puedan encontrar otros escondites similares en las Islas Exteriores?
A Note,Una nota
A note is scrawled in crude letters,Una nota esta garabateada en letras toscas.
Kook!,¡Que raro!
I cannot stand another meal of Salted Fish!,¡No puedo soportar otra comida de pescado salado!
"There is a limet to how long a man can live on salt, potatoes and perklin","Hay un limite al tiempo que un hombre puede vivir con sal, patatas y perklin."
"Take head, or git a dagger in the eye ye cheap basterd","¡Cogete la cabeza o te clavare una daga en el ojo, cabron tacaño!"
Strange Jar,Tarro extraño
An oddly shaped container of some unknown design,Un contenedor de forma extraña y diseño desconocido.
"The surface is smooth and metallic, but not of a material you recognize","La superficie es lisa y metalica, pero no de un material que reconozcas."
"Though the artifact is without a scratch, it still somehow conveys impossible age","Aunque el artefacto no tiene ni un rasguño, de alguna manera transmite una edad imposible."
Librarian’s Journal,Diario del bibliotecario
A book lies open on the librarian’s desk,Un libro esta abierto sobre el escritorio del bibliotecario.
"Brother Auran has once again made off with the key to the forbidden section, claiming it is ‘much more convenient for both me and him’ that he keeps it for the duration of his studies","El hermano Auran ha vuelto a fugarse con la llave de la seccion prohibida, alegando que «es mucho mas conveniente para mi y para el» que la conserve mientras duren sus estudios."
He’s assured me it’s well hidden in his study in the eastern tower whilst not in use,Me aseguro que esta bien escondido en su estudio en la torre este cuando no esta en uso.
Bloody fool,Maldito tonto
I’ll need to send lay-brother Theo to recover it next time Auran is sleeping,Tendre que enviar al hermano lego Theo para recuperarlo la proxima vez que Auran este durmiendo.
Sea-Caves,Cuevas marinas
The sea-caves lie abandoned and closed off,Las cuevas marinas se encuentran abandonadas y cerradas.
Scribbled in a shaky hand on ancient parchment is the following verse,Garabateado con mano temblorosa en un pergamino antiguo esta el siguiente verso:
