original,translation
#Main Quests,#Misiones principales
A Twilight Meeting,Un encuentro crepuscular
I’ve been summoned to the estate of the lord Cato Berryn,He sido convocado a la finca del señor Cato Berryn
My father’s old patron,El viejo patrón de mi padre
"Though I grew up here, I’ve not been back for decades due to the unfortunate manner in which my father left the service of House Berryn","Aunque crecí aquí, no he vuelto desde hace décadas debido a la desafortunada forma en que mi padre dejó el servicio de la Casa Berryn"
I do not know why Cato summons me now and I must venture to find out,No sé por qué Cato me convoca ahora y debo aventurarme a averiguarlo...
The lord Berryn has tasked me to find his daughter,El señor Berryn me ha encargado encontrar a su hija...
"My childhood friend, Embal","Mi amigo de la infancia, Embal"
Rescue Embla,Rescatar a Embla
"My father's old patron, Lord Cato Berryn, has tasked me to rescue his daughter from the island of Idra","El antiguo patrón de mi padre, Lord Cato Berryn, me ha encargado rescatar a su hija de la isla de Idra..."
She was last seen in the city of Horryn and I must search for clues as to her fate,Fue vista por última vez en la ciudad de Horryn y debo buscar pistas sobre su destino...
I found Embla in the town of Horryn,Encontré a Embla en la ciudad de Horryn
Events have conspired however to make it impossible to return to the mainland,"Sin embargo, los acontecimientos han conspirado para que sea imposible volver a tierra firme"
Instead we must venture to end the madness that has engulfed the region,"En su lugar, debemos aventurarnos a poner fin a la locura en la que se ha sumido la región"
This quest has failed,Esta búsqueda ha fracasado
Refugees of Horryn,Refugiados de Horryn
"Marcus the Chamberlain, the de-facto leader of the refugees, has pleaded with me to help the camp","Marcus el Chambelán, el líder de facto de los refugiados, me ha suplicado que ayude al campamento..."
Food is running low and he’s requested I talk to Frantzo,La comida se está acabando y me ha pedido que hable con Frantzo.
There is also a disease outbreak in camp and I should talk to Drahl the cleric about that,También hay un brote de la enfermedad en el campamento y debo hablar con Drahl el clérigo sobre eso
Both can be found in the camp,Ambos se encuentran en el campamento
I’ve done what I can for the camp and the refugees have certainly been given a fighting chance,He hecho lo que he podido por el campo y los refugiados han tenido una oportunidad de luchar.
Mouths to Feed,Bocas que alimentar
"Frantzo, the camp’s cook and de-facto quartermaster, needs me to find food supplies for the refugees","Frantzo, el cocinero e intendente del campamento, me necesita para encontrar comida para los refugiados."
He needs a large supply of it and soon as people have begun dying from starvation,Él necesita un gran suministro de la misma y tan pronto como la gente ha comenzado a morir de hambre
I’ve provided the Frantzo with the food he needs to keep the refugees fed for the foreseeable future,He proporcionado al Frantzo la comida que necesita para mantener alimentados a los refugiados en un futuro próximo.
Jakub's Goats,Las cabras de Jakub
Frantzo suggests looking into the farmer’s missing herd of goats,Frantzo sugiere investigar el rebaño de cabras desaparecido...
He suspects the farmer hid them away to keep them from being eaten by starving refugees,Sospecha que el granjero los escondió para evitar que se los comieran los refugiados hambrientos.
Bring the Goats to Camp,Lleva las cabras al campamento
I found Jakub's hidden goats up in a secluded mountain glen,Encontré las cabras escondidas de Jakub en una cañada aislada.
Now I must bring the herd of goats to the refugee camp,Ahora debo llevar el rebaño de cabras al campo de refugiados
If I don't get Jakub to agree first there may be consequences,"Si no consigo que Jakub esté de acuerdo primero, puede haber consecuencias."
Convince Jakub,Convence a Jakub
Perhaps I should talk to Jakub and see if convince him to let me bring the goats back to camp,Tal vez debería hablar con Jakub y ver si lo convenzo para que me deje llevar las cabras de vuelta al campamento.
"Jakub, the Idran goat farmer, has come to his senses and agreed to let me bring the goats to camp so they can be eaten","Jakub, el criador de cabras de Idran, ha entrado en razón y ha accedido a que lleve las cabras al campamento para que se las coman."
He asks that I go and help his son,Me pide que vaya a ayudar a su hijo
Return to Frantzo,Volver a Frantzo
I must return to Frantzo and tell him that I've brought Jakub's goats to camp,Debo volver a Frantzo y decirle que he traído las cabras de Jakub al campamento.
Search for the Goats,En busca de las cabras perdidas
I need to start by looking for a clue as to where the herd could be located,Tengo que empezar por buscar una pista de dónde podría estar el rebaño
An Alternate Supply,Un suministro alternativo
Look for an alternate solution to the food-crisis in the refugee camp,Buscar una solución alternativa a la crisis alimentaria en el campo de refugiados
Sea's Bounty,La generosidad del mar
The quartermaster of the Weathermaiden has enough food-supplies to feed the refugee camp,El intendente del Weathermaiden tiene provisiones suficientes para alimentar al campo de refugiados
The downside is it will cost me 500 pieces of gold,El inconveniente es que me costará 500 piezas de oro
