original,translate,
#General,#General,
Prologue,Prologo,
Chapter,Capitulo,
Quest Completed,Mision completada,
Two Weeks Earlier,Dos semanas antes,
Quest Started,Búsqueda iniciada,
#,#,
# Books,# Libros,
#,#,
#DeadSmugglerJournal,#DiarioDeContrabandistaMuerto,
I hate these jobs,Odio estos trabajos,
Dropped off and told to guard the cargo until the next ship picks you up,Te dejan y te dicen que vigiles la carga hasta que el próximo barco te recoja,
And in this bloody cave no less,Y nada menos que en esta maldita cueva,
I sometimes think the Imperial dungeons would be preferable,A veces pienso que las mazmorras imperiales serían preferibles,
Read on,Sigue leyendo,
Leave,Abandona,
We spent some time exploring the cave today and it seems there is a side tunnel,Hoy hemos pasado un rato explorando la cueva y parece que hay un túnel lateral,
"It's blocked off but if we had a pickaxe, I'm certain we could clear in with ease","Está bloqueado, pero si tuviéramos un pico, seguro que podríamos entrar con facilidad",
Bryn says the area gives him the chills and that we better keep away,Bryn dice que la zona le da escalofríos y que mejor nos mantengamos alejados,
Coward!,¡Cobarde!,
Golden dead!,¡Dorado muerto!,
Bryn got attacked by a crab the size of a warhound today!,¡Bryn fue atacado por un cangrejo del tamaño de un perro de guerra hoy!,
Nearly took his leg off!,Casi le arranca una pierna.,
Neither of us have seen anything like it before and we can only pray it was alone!,Ninguno de nosotros había visto algo así antes y sólo podemos rezar para que estuviera solo.,
Hope the ship won't be delayed much longer,Espero que el barco no se retrase mucho más,
Bryn is gone,Bryn se ha ido,
Tore him up they did!,¡Lo destrozaron!,
No way out and no one is coming for me!,¡No hay salida y nadie viene por mí!,
Light is failing,La luz está fallando,
Mother,Madre,
#IntroSurgeonJournal,#IntroSurgeonJournal,
Surgeon's Journal,Diario del Cirujano,
Written on the day of departure from mainland,Escrito el día de la salida de tierra firme,
Left Adler's Helm today with a full cargo of passengers,Dejamos el Timón de Adler hoy con un cargamento completo de pasajeros,
Mercenaries by the looks of it,Mercenarios por lo que parece,
Paid well,Pagaron bien,
Ship was dispatched by Guild before we could fully restock medical supplies,El barco fue despachado por el Gremio antes de que pudiéramos reabastecernos completamente de suministros médicos,
Hopefully we won't need them,Esperemos que no los necesitemos,
"Then again, our passengers make me uneasy","Por otra parte, ...nuestros pasajeros me inquietan.",
Writtern 5 days ago,Escríbeme hace 5 días.,
Brawl in mess - had to set nose,Pelea en el comedor. Tuve que arreglar la nariz.,
Men seem on edge,Los hombres parecen nerviosos.,
"Also, Igan came to me today with a bite-wound that he sustained whilst working in the hold","Además, Igan vino a verme hoy con una mordedura que sufrió mientras trabajaba en la bodega.",
Didn't see creature and I would say it was a rat's bite if it weren't for the size and some aspect of the dentition that I find hard to explain properly,No vi a la criatura y diría que fue una mordedura de rata si no fuera por el tamaño y algún aspecto de la dentición que encuentro difícil de explicar adecuadamente.,
I recommend captain sends detail to capture and kill creature,Recomiendo al capitán que envíe un destacamento para capturar y matar a la criatura,
Written two days ago,Escrito hace dos días,
Was visited today by navigator Aslam,El navegante Aslam me visitó hoy,
He asked for Whitefern - a sedative,Pidió Whitefern - un sedante,
Claimed he had trouble sleeping,Afirmó que tenía problemas para dormir,
"Suspected he was not fully forthcoming and when pushed, he mumbled something about the stars being 'odd'","Sospeché que no estaba del todo comunicativo y cuando le presioné, murmuró algo sobre que las estrellas eran «extrañas»",
Not sure what he meant and he left before I could push him further,No estoy seguro de lo que quería decir y se fue antes de que pudiera presionarle más,
Written today,Escrito hoy,
Men are about to break,Los hombres están a punto de romper,
We cannot maintain our course for Idra,No podemos mantener nuestro curso hacia Idra,
Captain advised me today to make ready the surgery and to expect casualties,El capitán me aconsejó hoy que preparara la cirugía y que esperara bajas,
I suspect he intends to inform our passengers that he refuses to land on the island,Sospecho que tiene la intención de informar a nuestros pasajeros de que se niega a aterrizar en la isla,
If this is my last,Si este es mi último,
The entry trails off,La entrada se interrumpe,
#,#,
# Chapter_0,# Chapter_0,
#,#,
#IntroBerrynGuard,#IntroGuardia Berryn,
A guardsman dressed in the livery of the noble house Berryn,Un guardia vestido con la librea de la noble casa Berryn,
The guard scowls somewhat at you,El guardia frunce un poco el ceño al verte,
Armsmaster Lyra awaits you at the main entrance,La maestra de armas Lyra te espera en la entrada principal,
You best talk to her if you've not already done so,Será mejor que hables con ella si no lo has hecho ya,
Leave,Sal,
You'll find the kitchen in the eastern end of the courtyard,Encontrarás la cocina en el extremo oriental del patio,
The garden and hedge-maze is to the west,El jardín y el laberinto de setos están al oeste,
And I needn't remind you that it's a poor idea to enter the maze without a lantern,Y no hace falta que te recuerde que es una mala idea entrar en el laberinto sin una linterna,
Have a good evening m'Lord,Que tenga buenas noches señor,
Have a good evening m'Lady,Que tenga buenas noches señora,
#IntroCato,#IntroCato,
Cato stands - with poorly concealed effort,Cato se levanta - con esfuerzo mal disimulado,
And {PLAYER},Y {PLAYER},
"You stand, and meet his gaze",Te quedas de pie y lo miras a los ojos,
Return her to me,Devuelvemela,
There is no other outcome of this affair,No hay otro resultado para este asunto,
New notes,Nuevas notas,
Cato,Cato,
Downplay the tone of him seeing Embla as his hopeless little girl,Rebaja el tono de que ve a Embla como su niña desesperada,
She is a pretty strong woman and Cato sees her as such,Es una mujer bastante fuerte y Cato la ve como tal,
He is also very much aware of Emblas true heritage and why she has seeked out the Priory,También es muy consciente de la verdadera herencia de Embla y de por qué ha buscado el Priorato,
"So we need to avoid going too deep in signaling a ""damsel in distress"" situation (even though we could subvert it later","Así que tenemos que evitar profundizar demasiado en señalar una situación de ""damisela en apuros"" (aunque podríamos subvertirla más tarde",
"Shake his hand, and leave","Dale la mano, y váyase",
"Remain silent, and leave",Permanezca en silencio y váyase,
"You have my word, Cato","Tiene mi palabra, Cato",
LEAVE,VÁYASE,
Cato Berryn,Cato Berryn,
"Cato Berryn sits tall in a tasteful, but modest reception room","Cato Berryn se sienta erguido en una sala de recepción de buen gusto, pero modesta",
He looks less imposing than you remember - and with a few more crow's feet,Parece menos imponente de lo que recuerda - y con unas cuantas patas de gallo más,
"Nonetheless, he's lost none of his composure or air of casual authority","No obstante, no ha perdido ni un ápice de su compostura ni su aire de autoridad despreocupada",
Continue,Continúa,
You take a seat across a formidable desk from him,"Tomas asiento frente a él, y a un formidable escritorio",
"This study, like the rest of the villa, is half-lit, giving a morose cast to its opulence","Este estudio, como el resto de la villa, está levemente iluminado, lo que confiere un tono contrario a su opulencia",
"The older man's face creases into a tired, but genuine smile, which momentarily lifts some of the room's oppressive mood","El rostro del hombre mayor se arruga en una sonrisa cansada pero genuina, que momentáneamente levanta parte del ambiente opresivo de la habitación",
It's a mercy to see you again - your own man and in your prime,"Es un placer volver a verte, en plena forma y en tu mejor momento.",
"Cato says, before a frown consumes his smile","dice Cato, antes de que un ceño fruncido consuma su sonrisa",
It's just a shame our reunion is overshadowed by the fates of those we love,Es una lástima que nuestra reunión se vea ensombrecida por los destinos de aquellos a quienes amamos,
"But perhaps, together, we can yet improve our collective circumstances?","Pero tal vez, juntos, podamos mejorar nuestras comunes circunstancias?",
It's a mercy to see you again - your own woman and in your prime,"Es un placer volver a verte, toda una mujer y en tu mejor momento.",
Why have you summoned me?,¿Por qué me has convocado?,
"So, you know my Father is dead",Así que sabes que mi padre ha muerto,
"Cato leans forward, hands clasped beneath his chin","Cato se inclina hacia delante, con las manos juntas bajo la barbilla",
I shan't deny it,No voy a negarlo,
I was saddened to hear of his passing,Me entristeció enterarme de su muerte,
"Despite everything, I remember him fondly","A pesar de todo, le recuerdo con cariño",
You drove him to drink and mercenary work,Le arrastraste a la bebida y a la vida de mercenario,
No need to dwell on the past,No hay necesidad de remover el pasado,
"Cato leans back again, and his eyes go distant","Cato vuelve a inclinarse hacia atrás, y sus ojos se vuelven distantes",
He failed in his duties,Fracasó en sus deberes,
"For an arms-master, there is no greater shame than a lapse of vigilance","Para un maestro de armas, no hay mayor vergüenza que una asuencia en la vigilancia",
He drove himself into exile,Se condeno a sí mismo al exilio,
Lyra shifts slightly behind Cato,Lyra se desplaza ligeramente detrás de Cato,
"If he failed, then it was never possible to succeed","Si fracasó, entonces nunca fue posible tener éxito",
Say nothing,No digas nada,
A pregnant pause,Una pausa embarazosa,
He failed her,Le falló,
Your father's exile was a sorrow to me,El exilio de tu padre fue una pena para mí,
Yet he could not remain in the household - for Embla's sake,"Sin embargo, no podía permanecer en la casa - por el bien de Embla",
"The loss of a mother is tragedy enough, without being reminded of it","La pérdida de una madre ya es suficiente tragedia, sin que te la recuerden",
Embla?,¿Embla?,
Do not hide behind your daughter,No te escondas detrás de tu hija,
The past is done with!,¡El pasado se acabó!,
Tell me why I'm here!,¡Dime por qué estoy aquí!,
That may be so,Puede que sea así,
But it is done,Pero ya está hecho,
I regret his loyalty could not be rewarded,Lamento que su lealtad no pudiera ser recompensada,
Sometimes...the tapestry's weave is not so easy to discern,A veces... la trama del tapiz no es fácil de discernir,
"Cato's face is still mild, yet you sense his tone hardening","El rostro de Cato aún es apacible, sin embargo percibes que su tono se endurece",
Fine,Bien,
I'm sure we've both moved on,Estoy seguro de que ambos hemos seguido adelante,
"By exiling him, you condemned me as well","Al exiliarlo, me condenaste a mí también",
Your anger is understandable,Tu ira es comprensible,
The hardships you must have suffered on the road are written in your face,Las penurias que debes haber sufrido en el camino están escritas en tu rostro,
"Such is the cost of mercenary work, I suppose","Tal es el costo del trabajo mercenario, supongo",
But do not presume to understand the forces that were at play,Pero no presumas de entender las fuerzas que estaban en juego,
And still are,Y aún lo están,
"Just tell me why I'm here, old man!","¡Sólo dime por qué estoy aquí, anciano!",
"Cato is caught off-guard for a moment, before letting out a deep breath","A Cato le pilla desprevenido un momento, antes de soltar un profundo suspiro",
Then the years have bestoweed you with wisdom,Entonces los años te han otorgado sabiduría,
"I am glad, for it has forsaken the House of Berryn","Me alegro, pues ha abandonado la Casa de Berryn",
Why have you called me here?,¿Por qué me has hecho venir?,
Embla is missing,Embla ha desaparecido,
"Cato's voice quivers momentarily, betraying his stoic features","La voz de Caton tiembla momentáneamente, delatando sus rasgos estoicos.",
"Now I beg of you, {PLAYER}","Ahora te lo ruego, {PLAYER}",
Help me find my daughter,Ayúdame a encontrar a mi hija,
"Help her return home, where she belongs","Ayudala a regresar a esta casa, donde pertenece.",
Why me?,¿Por que yo?,
What's happened to her?,¿Que le paso?,
Is it not obvious?,¿No es obvio?,
You've clearly grown to inherit your fathers resourcefulness - and besides - Embla has trusted you since before either of you could speak,"Está claro que has heredado el ingenio de tu padre y, además, Embla confía en ti desde antes de que ninguno de los dos supiera hablar.",
And now the fool has got herself into trouble?,¿Y ahora la tonta se ha metido en un lío?,
"She left without notice, a week ago","Se fue sin avisar, hace una semana",
"From the scant clues we had, we believe she boarded a ship bound for one of the Outer Isles, Idra","Por las escasas pistas que tenemos, creemos que embarcó con destino a Idra, una de las Islas Exteriores",
She went of her own free will,Se fue por voluntad propia,
At the time I thought little of it,En ese momento no pensé en ello,
Cato begins to glower,Cato empieza a fruncir el ceño,
"Since then, however, there have been 'reports'","Desde entonces, sin embargo, he recibido «informes»",
Grave ones,Graves,
Reports?,¿Informes?,
Something has been building in her for years,Algo ha estado creciendo en ella durante años,
An 'aptitude' of sorts,Una especie de «aptitud»,
But I suspect you already knew?,Pero sospecho que ya lo sabías...,
"In any case, it's grown much stronger lately and drives her in ways I cannot understand","En cualquier caso, últimamente ha crecido más fuerte, y la impulsa de maneras que no puedo entender",
I suspect she is looking for... answers,Sospecho que está buscando... respuestas,
But why Idra?,¿Pero por qué Idra?,
An aptitude?,¿Una aptitud?,
What am I to do?,¿Qué debo hacer?,
An aptitude of the worst kind,Una aptitud de la peor clase,
It does not spring from the canonical Imperial praxis,No surge de la praxis imperial canónica,
Instead it comes from elsewhere,"En cambio, viene de otra parte",
It is the kind the Empire does not suffer to exist,Es del tipo que el Imperio no permite que exista,
I hope it's only answers that she seeks,Espero que sólo sean respuestas lo que busca,
I see,Ya veo,
What can I do?,¿Qué puedo hacer?,
Why indeed?,¿Por qué?,
There is little on the island save the port of Horryn,Hay poco en la isla excepto el puerto de Horryn,
"If Idra was her destination, she must have landed there","Si Idra era su destino, debe haber desembarcado allí",
Horryn?,¿Horryn?,
What of her 'aptitude'?,¿Qué hay de su «aptitud»?,
Yes,Sí,
"An old Imperial port and home to a few hundred whalers, traders and the occasional smuggler","Un antiguo puerto imperial y el hogar de unos pocos cientos de balleneros, comerciantes y el contrabandista ocasional",
"We can only speculate as to what drew her there, but it's our only lead","Sólo podemos especular sobre lo que la atrajo allí, pero es nuestra única pista",
How can I help her?,¿Cómo puedo ayudarla?,
You mentioned her 'aptitude'?,¿Mencionaste su «aptitud»?,
"Hire mercenaries, travel to Idra and begin your search in the port of Horryn","Contrata mercenarios, viaja a Idra y comienza tu búsqueda en el puerto de Horryn",
"From there, I trust you to do what needs be done","Desde allí, confío en que harás lo que sea necesario",
"Spare no cost, just bring back my daughter","No escatimes en gastos, sólo trae de vuelta a mi hija",
Mercenaries?,¿Mercenarios?,
"The man is a grizzled veteran - he may have slowed with age, but his experience and reliability more than make up for it","El hombre es un veterano canoso - puede que se haya vuelto algo más lento con la edad, pero su experiencia y fiabilidad lo compensan con creces",
He's also much respected by similar men - and so will be instrumental in hiring a reliable crew,También es muy respetado por hombres de su misma condición - y por lo tanto será fundamental en la contratación de una tripulación fiable,
I'll take it into consideration,Lo tendré en cuenta,
"I trust your instincts, but I beseech you consider him - he's no great dinner guest, but he's been irreplaceable elsewhere","Confío en tus instintos, pero te ruego que lo consideres - no es un gran invitado a cenar, pero ha sido insustituible en otros lugares",
Is that so?,¿Es así?,
Very well,Muy bien,
"Cato shows you his upturned palms, beseeching,","Cato te muestra sus palmas levantadas, suplicante,",
I know this thing I ask of you is fraught with danger,Sé que esto que te pido está lleno de peligros,
"But this is your chance at improving your fortune - materially, and in honour","Pero esta es tu oportunidad de mejorar tu materialmente tu fortuna, como tu honor",
What say you?,¿Qué dices?,
I accept - for Embla's sake,Acepto - por el bien de Embla,
Very well - For my family's name,Muy bien - Por el nombre de mi familia,
I'll do it,Lo haré,
For the gold,Por el oro,
What makes you think I care?,¿Qué te hace pensar que me importa?,
"A chill draught causes a nearby candle to flicker, and you see the cold mirrored in Cato's features","Una corriente de aire frío hace que una vela cercana parpadee, y ves el frío reflejado en las facciones de Cato",
You are not to blame for the decline in your family's fortune,Tú no tienes la culpa del declive de la fortuna de tu familia,
But you could be responsible for restoring it,Pero podrías ser el responsable de restaurarla,
We'll see,Ya veremos,
I will be,Estaré,
"Cato smiles softly, visibly relieved, and for a moment he looks like the man you remember","Cato sonríe suavemente, visiblemente aliviado, y por un momento parece el hombre que recuerdas",
Have you any final questions or matters to discuss?,¿Tiene alguna ultima pregunta o algún otro asunto que discutir?,
"Time is, as I'm sure you appreciate, of the essence","El tiempo es, como estoy seguro de que comprenderás, esencial",
Let's just get on with it,Pongámonos manos a la obra,
"If nothing else, the port will be dangerous enough","Si no hay nada más, el puerto será lo suficientemente peligroso",
That is why I have summoned a Roland Greyeye to me - a crude but effective sell-sword - that I've made good use of before,Por eso he convocado a Roland Greye - un tosco pero efectivo espadachín - al que he dado buen uso antes,
He shall accompany you on this task,Él te acompañará en esta tarea,
Roland Greyeye?,¿Roland Greye?,
I work alone!,¡Trabajo solo!,
I met the man just before seeing you,Conocí al hombre justo antes de verte,
"No one, and no word has left Idra in days","Nadie, y ninguna palabra ha salido de Idra en días",
Rumor has it even the Imperial augurs are in the dark,Se rumorea que incluso los augures imperiales están en la oscuridad,
"I know not how this touches the fate of my daughter, but she must be returned to me, one way or another","No sé cómo afecta esto al destino de mi hija, pero debe serme devuelta, de una u otra manera",
Any idea why she left?,¿Alguna idea de por qué se fue?,
#IntroCellar,#IntroCellar,
Empty bottles litter the floor of this room,Botellas vacías ensucian el suelo de esta habitación,
You chuckle to yourself as you imagine the kitchen staff in their wine tasting sessions,Te ríes para tus adentros mientras imaginas al personal de cocina en sus sesiones de cata de vinos,
"No doubt, much revelry has taken place here","Sin duda, muchas fiestas han tenido lugar aquí",
Then a cool gust of air from the passage to the north,Sientes una ráfaga de aire fresco desde el pasadizo al norte,
The wine cellar lies that way and you can almost hear faint sobbing,La bodega está por allí y percibes escuchar débiles sollozos,
Ghosts no doubt,Fantasmas sin duda,
#IntroChef,#IntroChef,
Ha!,¡Ja!,
The old wretch is too cowardly to come himself so he sends you instead?,"¿El viejo es demasiado cobarde para venir él mismo, así que te envía a ti en su lugar?",
The brandy will be the end of him I say,El brandy será su fin,
"Then again, who am I to deny the old fool his few pleasures","Pero, ¿quién soy yo para negarle al viejo loco sus escasos vicios?",
You'll find a crate of fine Gorremian brandy in the north-east corner of the wine cellar,Encontrarás una caja de buen brandy de Gorremian en la esquina noreste de la bodega,
Hold on!,¡Espera!,
Let me see what you made!,¡Déjame ver lo que has hecho!,
Armand excitedly licks his lips,Armand se lame los labios con entusiasmo,
Present the Sandwich for inspection,Presenta el Sandwich para su inspección,
The chef offers a short bow and a tired but sincere smile,El chef ofrece una breve reverencia y una sonrisa cansada pero sincera.,
I am chef Armand and my humble kitchen is at your disposal m'Lord,Soy el chef Armand y mi humilde cocina está a su disposición señor,
I am chef Armand and my humble kitchen is at your disposal m'Lady,Soy el chef Armand y mi humilde cocina está a su disposición señora,
Sadly I was told of your arrival only minutes ago and my oven must be fired up again,Lamentablemente me han avisado de su llegada hace sólo unos minutos y mi horno debe encenderse de nuevo,
You must be famished?,¿Debe estar hambriento?,
Indeed I am,Así es,
Splendid!,¡Espléndido!,
"The pantry is west of the wine cellar, and the cheese is kept in the northernmost room","La despensa está al oeste de la bodega, y el queso se guarda en la habitación más al norte",
Return when you have the cured ham and cheddar and I shall provide bread and instructions,Vuelva cuando tenga el jamón curado y el cheddar y le proporcionaré pan e instrucciones,
