original,translate
#Info Tiles,#Info Baldosas
Dangerous Waters,Aguas peligrosas
Gradlan Forests,Bosques de Gradlan
Dark Hills,Colinas Oscuras
Soggy Moors,Páramos empapados
Plateau,Meseta
Rough Roads,Caminos accidentados
Perilous Shores,Orillas peligrosas
Tundra,Tundra
Idran Forests,Bosques de Idran
Idran Roads,Carreteras de Idran
Low Hills,Colinas bajas
Peninsula Moors,Páramos peninsulares
Worn Roads,Carreteras desgastadas
Penninsula Shores,Orillas de la península
Forests,Bosques
