original,Traducido
#Lore,#Trasfondo
Adler's Helm,Adler's Helm
Adler's Helm is a mining town and the main settlement on Gradla,Adler's Helm es una ciudad minera y el principal asentamiento de Gradla
House Berryn,Casa Berryn
The House of Berryn is one of the richest and most influential houses in the North,La Casa Berryn es una de las casas más ricas e influyentes del Norte
The current head is the lord Cato Berryn,El actual jefe es el señor Cato Berryn
Erdahn,Erdahn
The continent where the Gallian Empire rose,El continente donde surgió el Imperio Galo
The central portion of Erdahn is known as 'the Heartland',La parte central de Erdahn se conoce como «la Tierra del Corazón»
Eryll,Eryll
A mid-sized island to the north of Idra,Una isla de tamaño medio al norte de Idra El único asentamiento de Eryll es la aldea de Firgol El Valle de la Eternidad El valle sagrado que contiene los mausoleos de los emperadores muertos El lugar es una fuente de inmensa magia. Eryll Una isla de tamaño medio al norte de Idra
The only settlement on Eryll is the village of Firgol,El único asentamiento en Eryll es la aldea de Firgol
The Eternity Vale,El Valle de la Eternidad
The sacred valley containing the mausoleums of dead Emperors,El valle sagrado que contiene los mausoleos de los Emperadores muertos
The site is a source of immense magical energy and as such it is fervently guarded and maintained by the Court of the Magi,El lugar es una fuente de inmensa energía mágica y como tal está fervientemente custodiado y mantenido por la Corte de los Magos
Excubitor,Excubitor
Excubitors are the personal guard of the Emperors and the only humans to see them without their masks,Los Excubitors son la guardia personal de los Emperadores y los únicos humanos que pueden verlos sin sus máscaras
The name literally means “the ones out of bed” as it is said that they never sleep,"El nombre significa literalmente «los que están fuera de la cama», ya que se dice que nunca duermen"
Firgol,Firgol
Firgol is a small village on the island of Eryll,Firgol es un pequeño pueblo de la isla de Eryll
Firgol is known for its orchards,Firgol es conocido por sus huertos
Free-Lenders Guild,Free- Gremio de Prestamistas Libres
A league of independent banks and financial institutions that have grown to prominence within the Empire in recent years,Liga de bancos e instituciones financieras independientes que ha adquirido importancia en el Imperio en los últimos años
Freythen,Freythen
A group of separatists who are plotting for the eventual overthrow of Imperial power in the Freymark,Grupo de separatistas que conspiran para derrocar el poder imperial en la Marca Libre
Gallian the Great,Gallian el Grande
Gallian,Gallian
Gallian the Great was the first Emperor and founder of the Empire more than three millennia ago,Gallian el Grande fue el primer emperador y fundador del Imperio hace más de tres milenios
Gallian’s origin and much of his life is shrouded in mystery and apocrypha but it is written he came from the south and brought the laws of men and magics to the savage warlords of the Heartlands,"El origen de Gallian y gran parte de su vida están envueltos en el misterio y la apócrifa, pero está escrito que vino del sur y trajo las leyes de los hombres y la magia a los salvajes señores de la guerra de las Tierras Corazón."
It is also said that he was born of three women and at the end of his reign did not die but rather became one with the reticulum,"También se dice que nació de tres mujeres y que al final de su reinado no murió, sino que se fundió con el retículo"
See Gallian’s Ascension,Véase Ascensión de Galiano
The Gallian Empire,El Imperio Galiano
Gallian Empire,Imperio Galiano
A large but waning empire founded nearly 3000 years ago by the mythical first Emperor,Un gran imperio en decadencia fundado hace casi 3000 años por el mítico primer emperador
Gallian’s Ascension,Ascensión de Galiano
"At the end of the reign of the first emperor, Gallian, he is said to have ascended and become one with the reticulum","Al final del reinado del primer emperador, Galiano, se dice que ascendió y se hizo uno con el retículo"
"This was taken as a sign of not only his divinity, but the divinity and legitimacy of every Magos-Emperor since then","Esto se tomó como un signo no sólo de su divinidad, sino de la divinidad y legitimidad de cada Magos-Emperador desde entonces"
Gallian’s Ascension (GA) is used today as the start of the modern Imperial Calendar,La Ascensión de Galiano (AG) se utiliza hoy en día como el comienzo del Calendario Imperial moderno
Gradla,Gradla
"The northernmost island of the Outer Isles, Gradla is cold and barren","La isla más septentrional de las Islas Exteriores, Gradla es fría y estéril"
"It’s sparsely settled and legend has it, it’s the site of the ruined monastery known as the Black Priory","Está escasamente poblada y, según la leyenda, es el lugar donde se encuentran las ruinas del monasterio conocido como el Priorato Negro"
The only main settlement on Gradla is Adler's Helm,El único asentamiento principal de Gradla es el Yelmo de Adler
Horryn,Horryn
A once prosperpus port and fishing village on the island of Idra,Un puerto y pueblo pesquero en la isla de Idra
Hyalomancers,Hialománticos
Hyalomancers are Imperial magi specializing in the crafting of glass,Los hialománticos son magos imperiales especializados en la fabricación de cristal
Idra,Idra
The main island of the Outer Isles,La isla principal de las Islas Exteriores
Its main settlement is the port of Horryn,Su principal asentamiento es el puerto de Horryn
The Outer Isles,Las Islas Exteriores
A North-Easterly archipelago that serves as a mid-way point between the Gallian Empire and its colonies,Un archipiélago del noreste que sirve como punto de partida para el calendario imperial moderno. Archipiélago del noreste que sirve de punto intermedio entre el Imperio galo y sus colonias
Its main port is located on the island of Idra,Su puerto principal se encuentra en la isla de Idra
Reticulum,Retículo
The field of arcane energies that surrounds the planet of Warda,Campo de energías arcanas que rodea el planeta de Warda
The Reticulum is the source of all power for the Imperial Magi,El Retículo es la fuente de todo el poder de los magos imperiales
Sepulchites,Sepulquitas
An Imperial religious order tasked with caring for the dead,Orden religiosa imperial encargada de cuidar de los muertos
Sylver,Sylver
A rare metal with strong reticular properties,Un metal raro con fuertes propiedades reticulares
Used in the construction of arcane machinery and artifacts,Utilizado en la construcción de maquinaria y artefactos arcanos
Vauul,Vauul
Vauul is the Imperial capital and seat of the Magi-Emperors,Vauul es la capital imperial y sede de los Magi-Emperadores
Warda,Warda
The planet upon which you find yourself,El planeta en el que te encuentras
Noticeable for the presence of the Reticulum,Notable por la presencia del Reticulum
The dominant ruling power is the Gallian Empire,El poder dominante es el Imperio Galiano
#Rules,#Reglas
Simulates rolling and adding up two six-sided dice,Simula lanzar y sumar dos dados de seis caras
In other words a 2d6 roll generates a number between 2 and,"En otras palabras, una tirada de 2d6 genera un número entre 2 y"
Accuracy,Precisión
Accuracy is added to an attacker’s Attack Roll when trying to hit an opponent,La Precisión se añade a la Tirada de Ataque de un atacante cuando intenta golpear a un oponente
Accuracy is typically derived from a weapon’s quality,La Precisión se deriva típicamente de la calidad de un arma
Armor Piercing,Perforación de Armadura
An attack that is Armor Piercing ignores the target’s Soak value,Un ataque que es Perforación de Armadura ignora el valor de Empapamiento del objetivo
This means that the damage is not reduced by armor,Esto significa que el daño no se reduce por la armadura
Attack Roll,Tirada de Ataque
The Attack Roll is calulated in the following way,La tirada de ataque se calcula de la siguiente manera
2d6 + Melee To Hit / Ranged To Hit + Misc,2d6 + Melee To Hit / Ranged To Hit + Misc
Bonuses + Accuracy Bonuses,Bonuses + Accuracy Bonuses
Attunement per Level,Attunement per Level
"Indicates how much of the game’s Magic resource, Attunement, is gained every time the character levels up","Indica la cantidad del recurso mágico del juego, Sintonía, que se obtiene cada vez que el personaje sube de nivel."
Backstab,Puñalada por la espalda
A character that has activated the Ability to Backstab will automatically perform Backstabbing Attacks against opponents that are either Flanked or Vulnerable,Un personaje que ha activado la Habilidad de Puñalada Trapera realizará automáticamente Ataques de Puñalada Trapera contra oponentes que estén Flanqueados o Vulnerables
A successful Backstab Attack adds the character’s Backstab Bonus Multiplied by the Weapon’s Crit Modifier to the damage roll,Un Ataque de Puñalada Trapera exitoso añade el Bono de Puñalada Trapera del personaje Multiplicado por el Modificador de Crítica del Arma a la tirada de daño
Cascade,Cascada
Each spell has a Cascade Difficulty,Cada hechizo tiene una Dificultad de Cascada
