original,Traducido
#Combat Tutorials,#Tutoriales de Combate
Charging,Cargando
Moving at least 2 tiles in a straight line before performing an attack allows characters with a Melee weapon to perform a Charge Attack,Mover al menos 2 fichas en linea recta antes de realizar un ataque permite que los personajes con un arma cuerpo a cuerpo realicen un ataque de carga.
Charge attacks significantly increase your likelihood to hit,Los ataques de carga aumentan significativamente tu probabilidad de acertar.
Charge attacks add a bonus to your hit chance depending on how far you manage to move before attacking,Los ataques de carga agregan una bonificacion a tu probabilidad de golpe dependiendo de que tan lejos logres moverte antes de atacar.
The teal pips over the character indicate how much momentum is built up by the charge,Los puntos verde azulado sobre el personaje indican cuanto impulso se genera mediante la carga.
"The more momentum, the bigger the charge bonus","Cuanto mayor sea el impulso, mayor sera la bonificacion de carga."
A successful charge will give the following text printing the bonus that was added to the character’s To-Hit roll,Una carga exitosa otorgara el siguiente texto que imprime la bonificacion que se agrego a la tirada para golpear del personaje.
Tactical View,Vista tactica
Pressing SHIFT in combat brings up the tactical overlay and makes it easier to see the exact positioning of characters and the underlying grid,"Al presionar SHIFT en combate, aparece la superposicion tactica y es mas facil ver la posicion exacta de los personajes y la cuadricula subyacente."
"In the settings menu, you can toggle the tactical overlay to be always on during the player’s turn","En el menu de configuracion, puedes alternar la superposicion tactica para que este siempre activa durante el turno del jugador."
Holding LEFT TRIGGER in combat brings up the tactical overlay and makes it easier to see the exact positioning of characters and the underlying grid,Mantener presionado el GATILLO IZQUIERDO durante el combate muestra la superposicion tactica y facilita ver la posicion exacta de los personajes y la cuadricula subyacente.
Conditions,Condiciones
You have contracted a disease from your fight with the rats,Has contraido una enfermedad por tu pelea con las ratas.
You may see what conditions are affecting you by opening the Character Sheet,Puedes ver que condiciones te afectan abriendo la Hoja de Personaje
Click your portraits or press ‘C’ to do so,Haz clic en tus retratos o presiona 'C' para hacerlo
Not all conditions are negative!,¡No todas las condiciones son negativas!
Press the Y BUTTON to do so,Presione el BOTON Y para hacerlo
Negative conditions can often be cured by magic or rest,Las condiciones negativas a menudo se pueden curar con magia o descanso.
This disease can be cured by a potion,Esta enfermedad se puede curar con una pocion.
Pick up and equip the lantern to search the area!,¡Recoge y equipa la linterna para buscar en el area!
Hint,Pista
Some containers are hidden until your character “spots” them,Algunos contenedores estan ocultos hasta que tu personaje los “detecta”.
Difficulty,Dificultad
Warda is a dangerous place where you can quickly end up facing very dangerous beings,Warda es un lugar peligroso donde puedes acabar enfrentandote rapidamente a seres muy peligrosos.
Sometimes the best tactic is to leave a fight for later as you level up and gather more equipment and allies,"A veces, la mejor tactica es dejar una pelea para mas adelante, mientras subes de nivel y reunes mas equipo y aliados."
Remember that you can change the difficulty of the game at any time,Recuerda que puedes cambiar la dificultad del juego en cualquier momento.
You can even create your own custom difficulty!,¡Incluso puedes crear tu propia dificultad personalizada!
Play the game the way YOU want it!,¡Juega el juego como TU quieras!
Flanking,Flanqueando
A character can be Flanked if opponents occupy the tile above and below it or to the left and right of it,Un personaje puede ser flanqueado si los oponentes ocupan las casillas que estan encima y debajo de el o a la izquierda y derecha de el.
It is much easier to hit a Flanked character,Es mucho mas facil golpear a un personaje flanqueado.
A Rogue will automatically Backstab Flanked targets to deal massive amounts of damage,Un Picaro apuñalara automaticamente por la espalda a los objetivos flanqueados para causarles enormes cantidades de daño.
Here the main character has moved to the right of the mercenary,Aqui el personaje principal se ha movido a la derecha del mercenario.
And then Roland moves to the left of the mercenary who is now Flanked,Y luego Roland se mueve a la izquierda del mercenario que ahora esta flanqueado.
Note the red double-arrow icon that indicates when a character is Flanked,Tenga en cuenta el icono de doble flecha roja que indica cuando un personaje esta flanqueado.
Initiative,Iniciativa
"In combat, characters act in order of initiative","En combate, los personajes actuan en orden de iniciativa."
You can view the initiative order by using the Initiative Widget on the left side of the screen,Puede ver el orden de iniciativa utilizando el widget de iniciativa en el lado izquierdo de la pantalla.
Moving the cursor over the widget makes it pop out,"Al mover el cursor sobre el widget, este aparece"
Note that moving the cursor over a name will make that character's outline flash on the battlefield,"Tenga en cuenta que al mover el cursor sobre un nombre, el contorno de ese personaje parpadeara en el campo de batalla."
Injuries,lesiones
Your character is critically injured!,¡Tu personaje esta gravemente herido!
This means you have taken enough damage to reduce BOTH your Vitality and Wounds,Esto significa que has recibido suficiente daño para reducir TANTO tu vitalidad como tus heridas.
The green bar under your Character’s portrait represents your Vitality score,La barra verde debajo del retrato de tu personaje representa tu puntuacion de Vitalidad.
