original,translate,
#Colors,#Colores,
Black,Negro,
Blue,Azul,
Light Blue,Azul Claro,
Brown,Marrón,
Light Brown,Marrón Claro,
Cyan,Cían,
Gray,Gris,
DarkGray,Gris oscuro,
Light Gray,Gris claro,
Green,Verde,
Light Green,Verde claro,
Red,Rojo,
Light Red,Rojo claro,
Violet,Violeta,
White,Blanco,
Yellow,Amarillo,
"The major, defining attributes for the character",Los principales atributos que definen al personaje,
These influence most other attributes in the game,Influyen en la mayoría de los atributos del juego,
Cancel,Cancelar,
All progress will be lost,Todo el progreso se perderá,
Disable,Desactivar,
Loot,Botín,
Inv,Inv,
Container,Contenedor,
Get All,Coger todo,
Transfer Stack,Transferir pila,
Transfer Item,Transferir,
Unequip,Desequipar,
Place development points in them (gained as you level up) to gain benefits and new Abilities,Coloca en ellos puntos de desarrollo (que se obtienen al subir de nivel) para obtener beneficios y nuevas Habilidades,
Save and Exit,Guardar y salir,
Male Human,Hombre Humano,
Woman Human,Mujer Humana,
Xp To Go,Xp Para Subir,
Active Conditions,Condiciones activas,
Move Character,Mover personaje,
Overcast Night,Noche nublada,
Can be removed by magic,Puede eliminarse con magia,
Adds Status Tag,Añade etiqueta de estado,
This list will only show entries with non-zero values,Esta lista solo mostrara las entradas con valores distintos de cero,
The amount of experience to go until the character levels up,La cantidad de experiencia que falta para que el personaje suba de nivel,
The current level of this character,El nivel actual de este personaje,
Cast a spell,Lanzar un hechizo,
There are no weapons nearby to attack,No hay armas cerca para atacar,
You can't enter combat without enemies within combat range,No puedes entrar en combate sin enemigos dentro del rango de combate,
You wait a short while,Espera un poco,
Pass a turn,Pasar un turno,
Recipes,Recetas,
Workstation,Puesto de trabajo,
Craft,Artesanía,
Clear,Despejar,
You currently don't have any recepies to add to the crafting table,Actualmente no tienes ninguna receta para añadir a la mesa de artesanía,
Try experimenting with ingredients or look for recipes in the world,Prueba a experimentar con los ingredientes o busca recetas en el mundo,
An unknown recipe,Una receta desconocida,
POTION OF STRENGTH RECIPE,RECETA POCION DE FUERZA,
"To craft items, you must add ingredients to the crafting grid","Para fabricar objetos, debes añadir ingredientes a la parrilla de fabricación",
Do this by double-clicking on ingredients from your inventory,Para ello, haz doble clic en los ingredientes de tu inventario
Clicking a recipe to view ingredients required,Hacer clic en una receta para ver los ingredientes necesarios,
Green recipes are available,Hay recetas ecológicas disponibles,
No crafting ingredients added!,¡Sin ingredientes artesanales añadidos!,
This is not a valid recipe!,¡Esta no es una receta valida!,
DICE ROLL TEST,PRUEBA DE LANZAMIENTO DE DADOS,
Roll Dice,Tirar dados,
+ 2d6,+ 2d6,
must roll,deben rodar,
or above on 2d6 to succeed on this,o superior en 2d6 para tener éxito en esto,
skill check!,¡comprobación de habilidad!,
Pick,Elige,
Force,Forzar,
Pick or force the lock until its HP reaches zero,Forzar la cerradura hasta que su HP llegue a cero,
Party has,El grupo ha,
You cannot rest anywhere in this area,En esta zona no se puede descansar,
You must look for a suitable camp-site elsewhere,Debes buscar una zona de acampada adecuada en otro lugar,
Use,Usar,
Adventuring,Aventureros,
SUCCESS,EXITO,
beats Difficulty,bate Dificultad,
You bring glory upon thine Ancestors!,¡Traes gloria a tus antepasados!,
{ITEM} Recipe,{ITEM} Receta,
A recipe for crafting {ITEM},Una receta para crear {ITEM},
Ingredients,Ingredientes,
{PLAYER} has a Crafting skill of,{PLAYER} tiene una habilidad de Artesanía de,
versus Difficulty,frente a dificultad,
to produce a larger amount,para producir una mayor cantidad,
Journal,Diario,
Consumed 1 {ITEM},Consumido 1 {ITEM},
You add {ITEM} to your party,Añades {ITEM} a tu grupo,
Removes Conditions with Tag: #{ITEM},Elimina Condiciones con Etiqueta: #{ITEM},
Consumed,Consumido,
The party does not have a lightsource to equip,El grupo no tiene una fuente de luz para equipar,
Find a lantern!,¡Encuentra una linterna!,
Restores {ITEM} (+{ITEM},Restaura {ITEM} (+{ITEM},
Heals {ITEM} (+{ITEM},Cura {ITEM} (+{ITEM},
View Inventory,Ver inventario,
View the Journal,Ver el Diario,
{ITEM} ended,{ITEM} finalizo,
Added some items to inventory!,Se han añadido algunos artículos al inventario.,
Updated Journal,Diario actualizado,
Adds Conditions,Añade condiciones,
Adds Condition,Añade condición,
Faction is {ITEM},La facción es {ITEM},
NEUTERAL,NEUTRAL,
You created,Has creado,
Main quests that have not yet been completed,Misiones principales que aun no se han completado,
FAILURE,FRACASO,
You have been found wanting,Te han encontrado culpable,
does not beat Difficulty,no supera la dificultad,
SNEAKING,ENCONTRAR,
Status,Estado,
Safe,Seguro,
Tile Mod,Tile Mod,
Unsafe,Inseguro,
Unlocked,Desbloqueado,
Loot the corpses of your enemies!,¡Saquea los cadáveres de tus enemigos!,
Read,Leer,
Raining Night,Noche lluviosa,
You have died - The Dragon awakens,Has muerto - El Dragón despierta,
Reload a previous save or restart the game!,Recarga una partida guardada o reinicia el juego,
Game too difficult?,¿Demasiado difícil?,
You can set the Difficulty in Settings -> Difficulty,Puedes ajustar la dificultad en Ajustes -> Dificultad,
Load Last Save,Cargar ultimo guardado,
Load Other Save,Cargar otro Guardado,
Restart Game,Reiniciar el juego,
Game Over!,¡Se acabo!,
{PLAYER} does not have Thieves Tools!,{PLAYER} ¡no tiene Herramientas de ladrón!,
The adventure begins!,¡Comienza la aventura!,
You see,Puedes Ver,
You must destribute all your attribute points before you can proceed!,Debes asignar todos los puntos de atributo antes de poder continuar,
Can't be far now?,¿No puede estar lejos ahora?,
Name,Nombre,
New Recipe,Nueva receta,
