Core 1.0.7d,Core 1.0.7d
Spanish,Español
stealth,sigilo
"Note that a turn does not progress until all the character’s pop-up text is gone, so adjusting this number will also adjust how quickly combat turns pass","Ten en cuenta que un turno no avanza hasta que todo el texto emergente del personaje desaparece, por lo que ajustar este número también ajustará la rapidez con la que transcurren los turnos de combate."
On,Activado
If enabled it will use the game’s blended lighting system,"Si se activa, utilizará el sistema de iluminación combinada del juego."
This is what a quote looks like,
Core 1.0.7d,Core 1.0.7d
Core 1.0.7d,Core 1.0.7d
vitality,vitalidad
salt,sal
noble,noble
A member of the ‘old breed’  forged and tempered by the hardships of soldiering,Un miembro de la «vieja raza» forjado y templado por las penurias del servicio militar.
Spanish,Español
stealth,sigilo
"Note that a turn does not progress until all the character’s pop-up text is gone, so adjusting this number will also adjust how quickly combat turns pass","Ten en cuenta que un turno no avanza hasta que todo el texto emergente del personaje desaparece, por lo que ajustar este número también ajustará la rapidez con la que transcurren los turnos de combate."
On,Activado
TWO-HANDED INITIATE,INICIADO A DOS MANOS
You can't make camp on this map,No se puede acampar en este mapa
HP,PG
Alerted,Alertado
Rabid Rat begun,Rata Rabiosa iniciada
Saved,Guardado
Immune,Inmune
Gained,¡Obtenidos
XP!,XP!
Let’s go,Vamos.
SKALD Core 1.0.7d,SKALD Core 1.0.7d
Press TAB to exit or ESC to clear console,Pulse TAB para salir o ESC para borrar la consola
Some helpful commands,Algunos comandos útiles
heals the party fully - adds 1000 gold. - Wins any combat,Cura completamente al grupo - Añade 1000 de oro. - Gana cualquier combate
crafting,artesanía
potatoes,patatas
perklin,perklin
Blunt Damage,Daño contundente
Aaron is occupied!,¡Aaron está ocupado!
Key,llave
TWO-HANDER,DOS MANOS
development points,puntos de desarrollo
I believe you - but my contract with these men does not mention your survival,Te creo - pero mi contrato con estos hombres no menciona tu supervivencia
Some pierce straight through the deck - Others snap the masts like they were matchsticks,"Algunos atraviesan la cubierta, otros rompen los mástiles como si fueran cerillas."
Berryn,Berryn
Save Game,Guardar partida
OVERWRITE,SOBREESCRIBIR
Type a name and press 'Save'!,Escribe un nombre y pulsa «Guardar».
Name must be between 3 and 60 characters long and must be a valid file-name,El nombre debe tener entre 3 y 60 caracteres y debe ser un nombre de archivo válido.
Come here whelp!,¡Ven aquí cachorro!
will automatically,
FAIL,FALLO
this skill check due to having low Skill Score versus the Difficulty,de habilidad frente a la dificultad
Woof,Woof
I hear master Cato isn't seeing anyone,He oído que el maestro Cato no está viendo a nadie
Sub-Quest Started,Sub-búsqueda iniciada
